Movie,Year,IMDb,Rating,Runtime,Genre,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Tropic Thunder,2008,7.0,R,107,"Action, Comedy, War","Aug 13, 2008",90000000,110515313,191145256
Godzilla: King of the Monsters,2019,6.0,PG-13,132,"Action, Adventure, Fantasy","May 29, 2019",170000000,110500138,383299915
Valentine's Day,2010,5.7,PG-13,125,"Comedy, Romance","Feb 12, 2010",52000000,110485654,217569328
The Grudge,2004,5.9,PG-13,91,"Horror, Mystery, Thriller","Oct 22, 2004",10000000,110359362,187281115
Freaky Friday,2003,6.1,PG,97,"Comedy, Family, Fantasy","Aug 6, 2003",26000000,110222438,160822438
Trainwreck,2015,6.2,R,125,"Comedy, Drama, Romance","Jul 17, 2015",35000000,110212700,141123897
Bedtime Stories,2008,6.0,PG,99,"Comedy, Family, Fantasy","Dec 25, 2008",80000000,110101975,221468935
Scary Movie 3,2003,5.5,PG-13,84,"Comedy, Horror","Oct 24, 2003",45000000,110000082,155200000
Creed,2015,7.6,PG-13,133,"Drama, Sport","Nov 25, 2015",37000000,109767581,173567581
Star Trek IV: The Voyage Home,1986,7.3,PG,119,"Adventure, Comedy, Sci-Fi","Nov 26, 1986",24000000,109713132,133000000
Couples Retreat,2009,5.5,PG-13,113,Comedy,"Oct 8, 2009",60000000,109205660,172450423
A Time to Kill,1996,7.5,R,149,"Crime, Drama, Thriller","Jul 24, 1996",40000000,108766007,152266007
Black Hawk Down,2001,7.7,R,144,"Drama, History, War","Dec 28, 2001",95000000,108638745,159691085
Ace Ventura: When Nature Calls,1995,6.4,PG-13,90,"Adventure, Comedy, Crime","Nov 10, 1995",30000000,108360063,212400000
The Princess Diaries,2001,6.3,G,111,"Comedy, Family, Romance","Aug 3, 2001",30000000,108244774,165334774
Little Women,2019,7.9,PG,135,"Drama, Romance","Dec 25, 2019",42000000,108095955,209065465
Hop,2011,5.4,PG,95,"Animation, Adventure, Comedy","Apr 1, 2011",63000000,108085305,188657593
Pulp Fiction,1994,8.9,R,154,"Crime, Drama","Sep 10, 1994",8000000,107928762,212911910
Baby Driver,2017,7.6,R,113,"Action, Crime, Drama","Jun 28, 2017",34000000,107825862,228104185
A League of Their Own,1992,7.3,PG,128,"Comedy, Drama, Family","Jul 1, 1992",40000000,107533925,132440066
Epic,2013,6.7,PG,102,"Animation, Adventure, Family","May 24, 2013",100000000,107518682,262794441
Watchmen,2009,7.6,R,162,"Action, Drama, Mystery","Mar 6, 2009",138000000,107509799,186976250
Captain Phillips,2013,7.8,PG-13,134,"Biography, Crime, Drama","Oct 11, 2013",55000000,107136417,220648184
Black Swan,2010,8.0,R,108,"Drama, Thriller","Dec 3, 2010",13000000,106954678,331266710
Analyze This,1999,6.7,R,103,"Comedy, Crime","Mar 5, 1999",30000000,106885658,176885658
Chicken Run,2000,7.0,G,84,"Animation, Adventure, Comedy","Jun 21, 2000",42000000,106793915,227793915
Miss Congeniality,2000,6.2,PG-13,109,"Action, Comedy, Crime","Dec 22, 2000",45000000,106807667,213420951
Driving Miss Daisy,1989,7.4,PG,99,Drama,"Dec 13, 1989",7500000,106593296,106593296
300: Rise of an Empire,2014,6.2,R,102,"Action, Drama","Mar 7, 2014",110000000,106580051,330780051
The Italian Job,2003,7.0,PG-13,111,"Action, Crime, Thriller","May 30, 2003",60000000,106126012,176262839
How to Lose a Guy in 10 Days,2003,6.4,PG-13,116,"Comedy, Romance","Feb 7, 2003",50000000,105807520,178503788
The First Wives Club,1996,6.4,PG,103,Comedy,"Sep 20, 1996",30000000,105489203,181489203
Robin Hood,2010,6.6,PG-13,140,"Action, Adventure, Drama","May 14, 2010",210000000,105487148,322459006
Interview with the Vampire: The Vampire Chronicles,1994,7.6,R,123,"Drama, Horror","Nov 11, 1994",50000000,105264608,223564608
Pitch Perfect 3,2017,5.8,PG-13,93,"Comedy, Music","Dec 21, 2017",45000000,104897530,185736412
Phenomenon,1996,6.4,PG,123,"Drama, Fantasy, Romance","Jul 5, 1996",32000000,104636382,152036382
American Wedding,2003,6.3,R,96,Comedy,"Aug 1, 2003",55000000,104354205,126425115
Road to Perdition,2002,7.7,R,117,"Crime, Drama, Thriller","Jul 12, 2002",80000000,104054514,183354514
The Princess and the Frog,2009,7.1,G,97,"Animation, Adventure, Comedy","Nov 25, 2009",105000000,104400899,270997378
Daddy Day Care,2003,5.6,PG,92,"Comedy, Family","May 9, 2003",60000000,104148781,164285587
Paranormal Activity 3,2011,5.8,R,83,"Horror, Mystery, Thriller","Oct 21, 2011",5000000,104028807,207039844
Journey 2: The Mysterious Island,2012,5.8,PG,94,"Action, Adventure, Comedy","Feb 2, 2012",79000000,103860290,318146162
The Mule,2018,7.0,R,116,"Crime, Drama, Thriller","Dec 14, 2018",50000000,103804407,173671418
Dick Tracy,1990,6.1,PG,105,"Action, Comedy, Crime","Jun 15, 1990",47000000,103738726,162738726
Rise of the Guardians,2012,7.3,PG,97,"Animation, Action, Adventure","Nov 20, 2012",145000000,103412758,306900902
Dreamgirls,2006,6.5,PG-13,130,"Drama, Music, Musical","Dec 15, 2006",75000000,103365956,155708695
Independence Day: Resurgence,2016,5.2,PG-13,120,"Action, Adventure, Sci-Fi","Jun 22, 2016",165000000,103144286,384169424
The Expendables,2010,6.5,R,103,"Action, Adventure, Thriller","Aug 13, 2010",82000000,103068524,268268174
Scream,1996,7.2,R,111,"Horror, Mystery","Dec 20, 1996",15000000,103046663,173046663
Jaws 2,1978,5.8,PG,116,"Adventure, Horror, Thriller","Jun 16, 1978",20000000,102922376,208900376
Murder on the Orient Express,2017,6.5,PG-13,114,"Crime, Drama, Mystery","Nov 3, 2017",55000000,102826543,345922730
Bambi,1942,7.3,G,70,"Animation, Drama, Family","Aug 13, 1942",858000,102797000,268000000
The General's Daughter,1999,6.4,R,116,"Crime, Drama, Mystery","Jun 18, 1999",60000000,102705852,149705852
The Aviator,2004,7.5,PG-13,170,"Biography, Drama","Dec 17, 2004",110000000,102608827,208370892
American Pie,1999,7.0,R,95,Comedy,"Jul 9, 1999",12000000,101800948,234723148
Daredevil,2003,5.3,PG-13,103,"Action, Crime","Feb 14, 2003",80000000,102543518,182782518
The Girl with the Dragon Tattoo,2011,7.8,R,158,"Crime, Drama, Mystery","Dec 20, 2011",90000000,102515793,239373970
The Mummy: Tomb of the Dragon Emperor,2008,5.2,PG-13,112,"Action, Adventure, Fantasy","Aug 1, 2008",175000000,102491776,405760225
The Maze Runner,2014,6.8,PG-13,113,"Action, Mystery, Sci-Fi","Sep 11, 2014",34000000,102427862,348319861
Butch Cassidy and the Sundance Kid,1969,8.0,PG,110,"Biography, Crime, Drama","Oct 24, 1969",6000000,102308900,102310653
Mary Poppins,1964,7.8,G,139,"Comedy, Family, Fantasy","Aug 26, 1964",6000000,102272145,102295122
Annabelle: Creation,2017,6.5,R,109,"Horror, Mystery, Thriller","Aug 2, 2017",15000000,102092201,305384865
The Equalizer 2,2018,6.7,R,121,"Action, Crime, Thriller","Jul 18, 2018",77000000,102084362,190376181
Jackass Presents: Bad Grandpa,2013,6.5,R,92,Comedy,"Oct 23, 2013",15000000,102003019,160903019
Pacific Rim,2013,6.9,PG-13,131,"Action, Adventure, Sci-Fi","Jul 11, 2013",190000000,101802906,411002906
Journey to the Center of the Earth,2008,5.8,PG,93,"Action, Adventure, Family","Jul 11, 2008",45000000,101704370,243180937
Gone in 60 Seconds,2000,6.5,PG-13,118,"Action, Crime, Thriller","Jun 9, 2000",103300000,101643008,232643008
The Equalizer,2014,7.2,R,132,"Action, Crime, Thriller","Sep 26, 2014",55000000,101530738,192903624
Scream 2,1997,6.2,R,120,"Horror, Mystery","Dec 12, 1997",24000000,101363301,172363301
Eraser,1996,6.1,R,115,"Action, Drama, Thriller","Jun 21, 1996",100000000,101295562,234400000
The Prince of Egypt,1998,7.1,PG,99,"Animation, Adventure, Drama","Dec 18, 1998",60000000,101413188,218613188
Noah,2014,5.7,PG-13,138,"Action, Adventure, Drama","Mar 27, 2014",130000000,101200044,352831065
Unforgiven,1992,8.2,R,130,"Drama, Western","Aug 7, 1992",14400000,101157447,159157447
The Cat in the Hat,2003,3.9,PG,82,"Adventure, Comedy, Family","Nov 21, 2003",109000000,101018283,133818283
Con Air,1997,6.9,R,115,"Action, Crime, Thriller","Jun 6, 1997",80000000,101117573,224117573
Eagle Eye,2008,6.6,PG-13,118,"Action, Mystery, Thriller","Sep 26, 2008",80000000,101440743,180585259
Sleepy Hollow,1999,7.3,R,105,"Fantasy, Horror, Mystery","Nov 19, 1999",70000000,101068340,207068340
Rampage,2018,6.1,PG-13,107,"Action, Adventure, Sci-Fi","Apr 9, 2018",120000000,101028233,428028233
Collateral,2004,7.5,R,120,"Crime, Drama, Thriller","Aug 6, 2004",60000000,100170152,217670152
Contact,1997,7.4,PG,150,"Drama, Mystery, Sci-Fi","Jul 11, 1997",90000000,100920329,165900000
Charlie's Angels: Full Throttle,2003,4.9,PG-13,106,"Action, Adventure, Comedy","Jun 27, 2003",120000000,100814328,227163273
The Pelican Brief,1993,6.6,PG-13,141,"Crime, Drama, Mystery","Dec 17, 1993",45000000,100768056,187995859
Vanilla Sky,2001,6.9,R,136,"Fantasy, Mystery, Romance","Dec 14, 2001",70000000,100614858,202726605
Arrival,2016,7.9,PG-13,116,"Drama, Mystery, Sci-Fi","Nov 9, 2016",47000000,100546139,203127894
Due Date,2010,6.5,R,95,"Comedy, Drama","Nov 5, 2010",65000000,100539043,211739043
The Rugrats Movie,1998,5.9,G,79,"Animation, Adventure, Comedy","Nov 20, 1998",28000000,100494685,140894685
Million Dollar Baby,2004,8.1,PG-13,132,"Drama, Sport","Dec 15, 2004",30000000,100492203,231928227
A Wrinkle in Time,2018,4.2,PG,109,"Adventure, Family, Fantasy","Mar 9, 2018",103000000,100478608,133401882
Jumanji,1995,7.0,PG,104,"Adventure, Comedy, Family","Dec 15, 1995",65000000,100458310,262758310
Step Brothers,2008,6.9,R,98,Comedy,"Jul 25, 2008",65000000,100468793,128468793
Evan Almighty,2007,5.4,PG,96,"Comedy, Family, Fantasy","Jun 22, 2007",175000000,100289690,174131329
Fifty Shades Freed,2018,4.5,R,105,"Drama, Romance, Thriller","Feb 7, 2018",55000000,100407760,371985018
Casper,1995,6.1,PG,100,"Comedy, Family, Fantasy","May 26, 1995",55000000,100328194,282300000
Shakespeare in Love,1998,7.1,R,123,"Comedy, Drama, History","Dec 11, 1998",26000000,100317794,279500000
Bad Teacher,2011,5.6,R,92,"Comedy, Romance","Jun 24, 2011",19000000,100292856,215448997
Yogi Bear,2010,4.6,PG,80,"Animation, Adventure, Comedy","Dec 17, 2010",80000000,100246011,204774690
Kingsman: The Golden Circle,2017,6.7,R,141,"Action, Adventure, Comedy","Sep 19, 2017",104000000,100234838,408803696
Edge of Tomorrow,2014,7.9,PG-13,113,"Action, Adventure, Sci-Fi","May 28, 2014",178000000,100206256,370541256
The Hunchback of Notre Dame,1996,6.9,G,91,"Animation, Drama, Family","Jun 21, 1996",100000000,100138851,325500000
Se7en,1995,8.6,R,127,"Crime, Drama, Mystery","Sep 22, 1995",30000000,100125643,328125643
The Addams Family,2019,5.8,PG,86,"Animation, Comedy, Family","Oct 11, 2019",24000000,97185807,200096428
Passengers,2016,7.0,PG-13,116,"Drama, Romance, Sci-Fi","Dec 21, 2016",110000000,100014699,302239672
Christopher Robin,2018,7.3,PG,104,"Comedy, Drama, Family","Aug 3, 2018",75000000,99215042,197504758
Hercules,1997,7.3,G,93,"Animation, Adventure, Comedy","Jun 13, 1997",70000000,99112101,250700000
Olympus Has Fallen,2013,6.5,R,119,"Action, Thriller","Mar 20, 2013",70000000,98927592,172878928
The Green Hornet,2011,5.8,PG-13,119,"Action, Comedy, Crime","Jan 14, 2011",110000000,98780042,229155503
Date Night,2010,6.3,PG-13,88,"Comedy, Crime, Romance","Apr 9, 2010",55000000,98711404,152269033
The Color Purple,1985,7.8,PG-13,154,Drama,"Dec 18, 1985",15000000,93589701,93589701
Billy Jack,1971,6.3,GP,114,"Action, Drama, Western","Jan 1, 1971",800000,98000000,98000000
Yes Man,2008,6.8,PG-13,104,"Comedy, Romance","Dec 19, 2008",50000000,97690976,225990976
Sausage Party,2016,6.1,R,89,"Animation, Adventure, Comedy","Aug 10, 2016",19000000,97670358,141344255
Inspector Gadget,1999,4.1,PG,78,"Action, Adventure, Comedy","Jul 23, 1999",75000000,97387965,97387965
Public Enemies,2009,7.0,R,140,"Biography, Crime, Drama","Jul 1, 2009",102500000,97104620,212282709
The Social Network,2010,7.7,PG-13,120,"Biography, Drama","Oct 1, 2010",40000000,96962694,224922135
The Others,2001,7.6,PG-13,104,"Horror, Mystery, Thriller","Aug 10, 2001",17000000,96522687,207765056
Legally Blonde,2001,6.3,PG-13,96,"Comedy, Romance","Jul 13, 2001",18000000,96493426,141809235
Panic Room,2002,6.8,R,112,"Crime, Drama, Thriller","Mar 29, 2002",48000000,95308367,196308367
Rocketman,2019,7.3,R,121,"Biography, Drama, Music","May 24, 2019",41000000,96368160,193761394
Dead Poets Society,1989,8.1,PG,128,"Comedy, Drama","Jun 2, 1989",16400000,95860116,239500000
Zero Dark Thirty,2012,7.4,R,157,"Drama, History, Thriller","Dec 19, 2012",52500000,95720716,134612435
Cold Mountain,2003,7.2,R,154,"Adventure, Drama, History","Dec 25, 2003",80000000,95632614,165173909
Sex and the City 2,2010,4.5,R,146,"Comedy, Drama, Romance","May 27, 2010",95000000,95347692,294680778
The Princess Diaries 2: Royal Engagement,2004,5.8,G,113,"Comedy, Family, Romance","Aug 11, 2004",45000000,95149435,122071435
Unbreakable,2000,7.3,PG-13,106,"Drama, Mystery, Sci-Fi","Nov 22, 2000",73243106,94999143,248099143
42,2013,7.5,PG-13,128,"Biography, Drama, Sport","Apr 12, 2013",31000000,95020213,97470701
Flashdance,1983,6.2,R,95,"Drama, Music, Romance","Apr 15, 1983",7000000,90463574,201463574
The Book of Eli,2010,6.9,R,118,"Action, Adventure, Drama","Jan 15, 2010",80000000,94835059,158750817
Beverly Hills Chihuahua,2008,3.8,PG,91,"Adventure, Comedy, Drama","Oct 3, 2008",20000000,94514402,154218168
The Mask of Zorro,1998,6.7,PG-13,136,"Action, Adventure, Comedy","Jul 17, 1998",65000000,93828745,233700000
Maid in Manhattan,2002,5.3,PG-13,105,"Comedy, Drama, Romance","Dec 13, 2002",55000000,93932896,163838217
He's Just Not That Into You,2009,6.4,PG-13,129,"Comedy, Drama, Romance","Feb 6, 2009",40000000,93953653,181053657
Master and Commander: The Far Side of the World,2003,7.4,PG-13,138,"Action, Adventure, Drama","Nov 14, 2003",135000000,93926386,212912137
Flight,2012,7.3,R,138,"Drama, Thriller","Nov 2, 2012",31000000,93772375,160558438
The Ten Commandments,1956,7.8,G,220,"Adventure, Drama","Oct 5, 1956",13500000,85400591,85434516
The Fighter,2010,7.8,R,116,"Biography, Drama, Sport","Dec 10, 2010",11000000,93617009,129262388
America's Sweethearts,2001,5.7,PG-13,102,"Comedy, Romance","Jul 20, 2001",46000000,93607673,160648493
The Bucket List,2007,7.4,PG-13,97,"Comedy, Drama","Dec 25, 2007",45000000,93466502,174807445
Tomorrowland,2015,6.4,PG,130,"Action, Adventure, Family","May 20, 2015",170000000,93436322,206627518
The Magnificent Seven,2016,6.9,PG-13,132,"Action, Adventure, Western","Sep 12, 2016",90000000,93432655,162525156
Two Weeks Notice,2002,6.1,PG-13,101,"Comedy, Romance","Dec 20, 2002",60000000,93354918,199043309
Red Dragon,2002,7.2,R,124,"Crime, Drama, Thriller","Oct 4, 2002",78000000,92955420,206455420
Elysium,2013,6.6,R,109,"Action, Drama, Sci-Fi","Aug 9, 2013",120000000,93050117,286192091
Flubber,1997,5.3,PG,93,"Comedy, Family, Sci-Fi","Nov 26, 1997",80000000,92993801,177993801
The Town,2010,7.5,R,125,"Crime, Drama, Thriller","Sep 17, 2010",37000000,92186262,152566881
Non-Stop,2014,6.9,PG-13,106,"Action, Mystery, Thriller","Feb 28, 2014",50000000,91742160,222383055
The Client,1994,6.8,PG-13,119,"Crime, Drama, Mystery","Jul 20, 1994",45000000,92115211,117615211
Blade Runner 2049,2017,8.0,R,164,"Action, Drama, Mystery","Sep 29, 2017",185000000,92054159,259349919
Star Trek: First Contact,1996,7.6,PG-13,111,"Action, Adventure, Drama","Nov 22, 1996",46000000,92027888,150000000
Think Like a Man,2012,6.6,PG-13,122,"Comedy, Romance","Apr 20, 2012",12000000,91547205,113373764
Kindergarten Cop,1990,6.1,PG-13,111,"Comedy, Crime","Dec 21, 1990",26000000,91457688,202000000
The Haunting,1999,5.0,PG-13,113,"Fantasy, Horror, Mystery","Jul 23, 1999",80000000,91188905,180188905
Crimson Tide,1995,7.3,R,116,"Action, Drama, Thriller","May 12, 1995",55000000,91387195,159387195
Ride Along 2,2016,5.9,PG-13,102,"Action, Comedy, Crime","Jan 14, 2016",40000000,90862685,124827316
Stepmom,1998,6.8,PG-13,125,"Comedy, Drama","Dec 25, 1998",50000000,91137662,159745279
The Imitation Game,2014,8.0,PG-13,114,"Biography, Drama, Thriller","Nov 14, 2014",15000000,91125143,227740463
Save the Last Dance,2001,6.2,PG-13,112,"Drama, Music, Romance","Jan 12, 2001",13000000,91038276,122244329
The Scorpion King,2002,5.5,PG-13,92,"Action, Adventure, Fantasy","Apr 18, 2002",60000000,90580000,165890634
The Karate Kid,1984,7.2,PG,126,"Action, Drama, Family","Jun 22, 1984",8000000,90815558,90815558
Antz,1998,6.5,PG,83,"Animation, Adventure, Comedy","Oct 2, 1998",60000000,90757863,152457863
Scary Movie 4,2006,5.1,PG-13,83,"Comedy, Horror","Apr 14, 2006",40000000,90710620,178710620
The Game Plan,2007,6.1,PG,110,"Comedy, Family, Sport","Sep 28, 2007",22000000,90648202,146590987
Space Cowboys,2000,6.4,PG-13,130,"Action, Adventure, Thriller","Aug 4, 2000",65000000,90454043,128874043
Space Jam,1996,6.4,PG,88,"Animation, Adventure, Comedy","Nov 15, 1996",80000000,90463534,250180384
Get Hard,2015,6.0,R,100,"Comedy, Crime","Mar 26, 2015",40000000,90411453,106511453
Mystic River,2003,7.9,R,138,"Crime, Drama, Mystery","Oct 8, 2003",30000000,90135191,156822020
Flightplan,2005,6.3,PG-13,98,"Drama, Mystery, Thriller","Sep 23, 2005",55000000,89706988,214392904
The Emperor's New Groove,2000,7.3,G,78,"Animation, Adventure, Comedy","Dec 15, 2000",100000000,89296573,169296573
The Lone Ranger,2013,6.4,PG-13,150,"Action, Adventure, Comedy","Jul 2, 2013",225000000,89302115,260002115
Scream 3,2000,5.6,R,116,"Horror, Mystery","Feb 4, 2000",40000000,89138076,161838076
Oblivion,2013,7.0,PG-13,124,"Action, Adventure, Sci-Fi","Apr 19, 2013",120000000,89107235,287916633
The Ugly Truth,2009,6.4,R,96,"Comedy, Romance","Jul 24, 2009",38000000,88915214,205298907
Failure to Launch,2006,5.6,PG-13,97,"Comedy, Romance","Mar 10, 2006",50000000,88715192,128402901
The Muppets,2011,7.1,PG,103,"Adventure, Comedy, Family","Nov 23, 2011",45000000,88625922,160971922
Inside Man,2006,7.6,R,129,"Crime, Drama, Mystery","Mar 24, 2006",50000000,88634237,185798265
Waterworld,1995,6.2,PG-13,135,"Action, Adventure, Sci-Fi","Jul 28, 1995",175000000,88246220,264246220
Along Came Polly,2004,6.0,PG-13,90,"Comedy, Romance","Jan 16, 2004",42000000,88073507,173044410
Back to the Future Part III,1990,7.4,PG,118,"Adventure, Comedy, Sci-Fi","May 24, 1990",40000000,88055283,244088654
Entrapment,1999,6.3,PG-13,113,"Action, Crime, Romance","Apr 30, 1999",66000000,87707396,211700000
Peter Pan,1953,7.3,G,77,"Animation, Adventure, Family","Feb 5, 1953",4000000,87400000,87400000
Pineapple Express,2008,6.9,R,111,"Action, Comedy, Crime","Aug 6, 2008",26000000,87341380,102404019
Out of Africa,1985,7.2,PG,161,"Biography, Drama, Romance","Dec 18, 1985",31000000,79096868,258210860
Sisters,2015,6.0,R,118,Comedy,"Dec 18, 2015",30000000,87044645,106030660
Saw II,2005,6.6,R,93,"Fantasy, Horror, Mystery","Oct 28, 2005",5000000,87025093,152925093
The Campaign,2012,6.1,R,85,Comedy,"Aug 10, 2012",95000000,86907746,104907746
Young Frankenstein,1974,8.0,PG,106,Comedy,"Dec 15, 1974",2800000,86300000,86300000
The Accountant,2016,7.3,R,128,"Action, Crime, Drama","Oct 11, 2016",40000000,86260045,152962083
Dumb and Dumber To,2014,5.6,PG-13,109,Comedy,"Nov 13, 2014",40000000,86208010,156553592
The Emoji Movie,2017,3.3,PG,86,"Animation, Adventure, Comedy","Jul 26, 2017",50000000,86089513,216564840
Mean Girls,2004,7.0,PG-13,97,Comedy,"Apr 30, 2004",18000000,86047227,130724541
Annie,2014,5.3,PG,118,"Comedy, Drama, Family","Dec 18, 2014",65000000,85911262,139829625
Alvin and the Chipmunks: The Road Chip,2015,5.0,PG,92,"Animation, Adventure, Comedy","Dec 18, 2015",90000000,85886987,249517956
Fury,2014,7.6,R,134,"Action, Drama, War","Oct 17, 2014",80000000,85817906,210315681
Alita: Battle Angel,2019,7.3,PG-13,122,"Action, Adventure, Sci-Fi","Feb 1, 2019",170000000,85710210,401779739
Real Steel,2011,7.1,PG-13,127,"Action, Drama, Sci-Fi","Oct 7, 2011",110000000,85463309,263880341
Power Rangers,2017,5.9,PG-13,124,"Action, Adventure, Sci-Fi","Mar 24, 2017",120000000,85364450,142531552
Stripes,1981,6.9,R,106,"Comedy, War","Jun 26, 1981",10000000,85300000,85300000
Anchorman: The Legend of Ron Burgundy,2004,7.2,PG-13,94,Comedy,"Jul 9, 2004",25000000,84136909,89476265
Aliens,1986,8.3,R,137,"Action, Adventure, Sci-Fi","Jul 18, 1986",17000000,85160248,183316455
Open Season,2006,6.1,PG,86,"Animation, Adventure, Comedy","Sep 29, 2006",85000000,85105259,191932158
Green Book,2018,8.2,PG-13,130,"Biography, Comedy, Drama","Nov 16, 2018",23000000,85080171,319543432
The Expendables 2,2012,6.6,R,103,"Action, Adventure, Thriller","Aug 15, 2012",100000000,85028192,311979256
Cinderella,1950,7.3,G,74,"Animation, Family, Fantasy","Feb 15, 1950",2900000,85000000,263591415
Paranormal Activity 2,2010,5.6,R,91,Horror,"Oct 20, 2010",3000000,84752907,177512032
Tammy,2014,4.9,R,97,"Comedy, Romance","Jul 2, 2014",20000000,84525432,96407655
Ferdinand,2017,6.7,PG,108,"Animation, Adventure, Comedy","Dec 8, 2017",111000000,84410380,289838913
"Crazy, Stupid, Love",2011,7.4,PG-13,118,"Comedy, Drama, Romance","Jul 29, 2011",50000000,84351197,147142328
Annabelle,2014,5.4,R,99,"Horror, Mystery, Thriller","Oct 3, 2014",6500000,84273813,256862920
Pinocchio,1940,7.4,G,88,"Animation, Comedy, Family","Feb 9, 1940",2289247,84300000,84300000
Scooby-Doo 2: Monsters Unleashed,2004,5.1,PG,93,"Adventure, Comedy, Family","Mar 26, 2004",25000000,84185387,180856996
Atlantis: The Lost Empire,2001,6.9,PG,95,"Animation, Action, Adventure","Jun 8, 2001",90000000,84052762,186049020
Cliffhanger,1993,6.4,R,113,"Action, Adventure, Thriller","May 28, 1993",65000000,84049211,255000000
The Other Woman,2014,6.0,PG-13,109,"Comedy, Romance","Apr 23, 2014",40000000,83911193,195111193
Up in the Air,2009,7.4,R,109,"Comedy, Drama, Romance","Dec 4, 2009",30000000,83823381,166842739
Wrath of the Titans,2012,5.7,PG-13,99,"Action, Adventure, Fantasy","Mar 28, 2012",150000000,83670083,305270083
Immortals,2011,6.0,R,110,"Action, Drama, Fantasy","Nov 11, 2011",75000000,83504017,211562435
I Can Only Imagine,2018,7.3,PG,110,"Biography, Drama, Family","Mar 16, 2018",7000000,83482352,85773649
Apocalypse Now,1979,8.4,R,147,"Drama, Mystery, War","Aug 15, 1979",31500000,83471511,85915846
Airplane!,1980,7.7,PG,88,Comedy,"Jul 4, 1980",3500000,83453539,83453539
Penguins of Madagascar,2014,6.7,PG,92,"Animation, Adventure, Comedy","Nov 26, 2014",132000000,83350911,366942531
Saving Mr. Banks,2013,7.5,PG-13,125,"Biography, Comedy, Drama","Nov 29, 2013",35000000,83299761,114962525
Patriot Games,1992,6.9,R,117,"Action, Thriller","Jun 5, 1992",45000000,83287363,178100000
Smallfoot,2018,6.6,PG,96,"Animation, Adventure, Comedy","Sep 21, 2018",80000000,83240103,213682073
Valkyrie,2008,7.1,PG-13,121,"Drama, History, Thriller","Dec 25, 2008",90000000,83107829,203932174
Brokeback Mountain,2005,7.7,R,134,"Drama, Romance","Dec 9, 2005",13900000,83043761,176980863
Turbo,2013,6.4,PG,96,"Animation, Adventure, Comedy","Jul 17, 2013",135000000,83028130,286896578
Disclosure,1994,6.1,R,128,"Drama, Thriller","Dec 9, 1994",55000000,83015089,212200000
Die Hard,1988,8.2,R,132,"Action, Thriller","Jul 15, 1988",28000000,81350242,139109346
Charlotte's Web,2006,6.3,G,97,"Adventure, Comedy, Family","Dec 15, 2006",82500000,82985708,143985708
Monster-in-Law,2005,5.6,PG-13,101,"Comedy, Romance","May 13, 2005",45000000,82931301,155931301
Are We There Yet?,2005,4.7,PG,95,"Adventure, Comedy, Family","Jan 21, 2005",20000000,82674398,98114471
Days of Thunder,1990,6.0,PG-13,107,"Action, Drama, Sport","Jun 27, 1990",60000000,82670733,157670733
Freddy vs. Jason,2003,5.7,R,97,"Action, Horror","Aug 15, 2003",25000000,82622655,114576403
The Descendants,2011,7.3,R,115,"Comedy, Drama","Nov 16, 2011",20000000,82624961,175507800
Cheaper by the Dozen 2,2005,5.5,PG,94,"Adventure, Comedy, Family","Dec 21, 2005",60000000,82571173,135015330
Fried Green Tomatoes,1991,7.7,PG-13,130,Drama,"Dec 27, 1991",11000000,81204830,81204830
Bridge to Terabithia,2007,7.1,PG,96,"Drama, Family, Fantasy","Feb 16, 2007",25000000,82234139,137984788
Star Trek: The Motion Picture,1979,6.4,G,132,"Adventure, Mystery, Sci-Fi","Dec 7, 1979",35000000,82258456,139000000
The Pink Panther,2006,5.7,PG,93,"Adventure, Comedy, Crime","Feb 10, 2006",80000000,82226474,158926474
Beowulf,2007,6.2,PG-13,115,"Animation, Action, Adventure","Nov 16, 2007",150000000,82280579,195080579
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,PG-13,112,"Action, Adventure, Comedy","Jun 2, 2016",135000000,82051601,245328374
The Post,2017,7.2,PG-13,116,"Drama, Thriller","Dec 22, 2017",50000000,81903458,179769457
Maze Runner: The Scorch Trials,2015,6.3,PG-13,131,"Action, Adventure, Sci-Fi","Sep 9, 2015",61000000,81697192,310566162
Heaven Can Wait,1978,6.9,PG,101,"Comedy, Fantasy, Romance","Jun 28, 1978",15000000,98800000,98800000
Eight Below,2006,7.3,PG,120,"Adventure, Drama, Family","Feb 17, 2006",40000000,81612565,120455994
Unstoppable,2010,6.8,PG-13,98,"Action, Thriller","Nov 12, 2010",95000000,81562942,165720921
Payback,1999,7.1,R,100,"Action, Crime, Drama","Feb 5, 1999",50000000,81526121,161626121
Ted 2,2015,6.3,R,115,Comedy,"Jun 25, 2015",68000000,81476385,217214143
The Talented Mr. Ripley,1999,7.4,R,139,"Crime, Drama, Thriller","Dec 24, 1999",40000000,81292135,128792135
School of Rock,2003,7.1,PG-13,109,"Comedy, Music","Oct 3, 2003",20000000,81261177,131944672
Police Academy,1984,6.7,R,96,Comedy,"Mar 23, 1984",4500000,81198894,81198894
Snow Dogs,2002,5.2,PG,99,"Adventure, Comedy, Family","Jan 18, 2002",32000000,81150692,116898028
21,2008,6.8,PG-13,123,"Crime, Drama, History","Mar 28, 2008",35000000,81159365,159846429
Congo,1995,5.3,PG-13,109,"Action, Adventure, Mystery","Jun 9, 1995",50000000,81022333,152022333
