Movie,Year,IMDb,Rating,Runtime,Genre
How Do You Know,2010,5.4,PG-13,121,"Comedy, Drama, Romance"
The Art of War,2000,5.7,R,117,"Action, Adventure, Crime"
Being There,1979,8.0,PG,130,"Comedy, Drama"
Riding in Cars with Boys,2001,6.5,PG-13,132,"Biography, Comedy, Drama"
Bad Company,2002,5.6,PG-13,116,"Action, Comedy, Thriller"
Blown Away,1994,6.3,R,121,"Action, Crime, Drama"
When the Game Stands Tall,2014,6.7,PG,115,"Drama, Sport"
Ghost Ship,2002,5.5,R,91,Horror
Space Chimps,2008,4.5,G,81,"Animation, Adventure, Comedy"
Double Impact,1991,5.6,R,110,"Action, Crime"
Daybreakers,2009,6.4,R,98,"Action, Fantasy, Horror"
Elizabeth,1998,7.4,R,124,"Biography, Drama, History"
"Hail, Caesar!",2016,6.3,PG-13,106,"Comedy, Drama, Music"
Free Willy 2: The Adventure Home,1995,5.1,PG,95,"Adventure, Drama, Family"
Dragonfly,2002,6.1,PG-13,104,"Drama, Fantasy, Mystery"
Revenge of the Nerds II: Nerds in Paradise,1987,5.1,PG-13,88,Comedy
Jay and Silent Bob Strike Back,2001,6.8,R,104,Comedy
Road House,1989,6.6,R,114,"Action, Thriller"
Point of No Return,1993,6.1,R,109,"Action, Crime, Drama"
Sophie's Choice,1982,7.6,R,150,"Drama, Romance"
The Gods Must Be Crazy,1980,7.3,PG,109,"Adventure, Comedy"
The Bank Job,2008,7.2,R,111,"Crime, Thriller"
The Iron Lady,2011,6.4,PG-13,105,"Biography, Drama"
"I, Tonya",2017,7.5,R,119,"Biography, Comedy, Drama"
Hollywood Homicide,2003,5.3,PG-13,116,"Action, Comedy, Crime"
Airport '77,1977,5.8,PG,114,"Action, Drama, Thriller"
Rollerball,1975,6.6,R,125,"Action, Sci-Fi, Sport"
Spartacus,1960,7.9,PG-13,197,"Adventure, Biography, Drama"
White Christmas,1954,7.6,Not Rated,120,"Comedy, Musical, Romance"
A Nightmare on Elm Street 2: Freddy's Revenge,1985,5.5,R,87,Horror
Neighbors,1981,5.6,R,94,Comedy
Green Card,1990,6.2,PG-13,107,"Comedy, Drama, Romance"
Hostiles,2017,7.2,R,134,"Drama, Western"
Grudge Match,2013,6.4,PG-13,113,"Comedy, Drama, Sport"
Serpico,1973,7.7,R,130,"Biography, Crime, Drama"
Madeline,1998,5.9,PG,88,"Comedy, Family"
Harry and the Hendersons,1987,6.0,PG,110,"Comedy, Family, Fantasy"
Wild Things,1998,6.5,R,108,"Crime, Drama, Mystery"
The Hate U Give,2018,7.4,PG-13,133,"Crime, Drama"
The World According to Garp,1982,7.2,R,136,"Comedy, Drama"
When the Bough Breaks,2016,5.1,PG-13,107,"Crime, Drama, Horror"
Mystery Men,1999,6.1,PG-13,121,"Action, Comedy, Fantasy"
Never Cry Wolf,1983,7.5,PG,105,"Adventure, Drama"
Did You Hear About the Morgans?,2009,4.8,PG-13,103,"Comedy, Drama, Romance"
Teen Titans GO! to the Movies,2018,6.8,PG,84,"Animation, Action, Adventure"
Tora! Tora! Tora!,1970,7.5,G,144,"Action, Drama, History"
The Fog,2005,3.7,PG-13,100,"Horror, Mystery"
Twilight Zone: The Movie,1983,6.5,PG,101,"Horror, Sci-Fi"
A Walk in the Woods,2015,6.3,R,104,"Adventure, Biography, Comedy"
Major Payne,1995,6.3,PG-13,95,"Adventure, Comedy, Family"
A Low Down Dirty Shame,1994,6.0,R,100,"Action, Comedy, Crime"
Pacific Heights,1990,6.4,R,102,Thriller
Bless the Child,2000,5.1,R,107,"Crime, Drama, Horror"
Spice World,1997,3.5,PG,93,"Comedy, Family, Music"
Confessions of a Teenage Drama Queen,2004,4.6,PG,89,"Comedy, Family, Music"
Easy Money,1983,6.3,R,95,Comedy
Shoot to Kill,1988,6.8,R,110,"Action, Adventure, Crime"
Fools Rush In,1997,6.1,PG-13,109,"Comedy, Drama, Romance"
Zathura: A Space Adventure,2005,6.2,PG,101,"Action, Adventure, Comedy"
Child's Play,2019,5.8,R,90,"Horror, Sci-Fi"
Romy and Michele's High School Reunion,1997,6.2,R,92,Comedy
Fort Apache the Bronx,1981,6.7,R,125,"Crime, Drama"
The Rose,1979,7.0,R,125,"Drama, Music, Romance"
Chinatown,1974,8.2,R,130,"Drama, Mystery, Thriller"
Nanny McPhee Returns,2010,6.1,PG,109,"Comedy, Family, Fantasy"
Priest,2011,5.7,PG-13,87,"Action, Horror, Thriller"
The Last Picture Show,1971,8.0,R,118,"Drama, Romance"
The Mechanic,2011,6.6,R,93,"Action, Thriller"
The Object of My Affection,1998,6.0,R,111,"Comedy, Drama, Romance"
Rent,2005,6.9,PG-13,135,"Drama, Musical, Romance"
The Stepfather,2009,5.6,PG-13,101,"Crime, Thriller"
3 Ninjas,1992,5.3,PG,84,"Action, Comedy, Family"
Spy Hard,1996,5.4,PG-13,81,"Action, Comedy"
The New Guy,2002,5.9,PG-13,88,Comedy
The Insider,1999,7.8,R,157,"Biography, Drama, Thriller"
James and the Giant Peach,1996,6.7,PG,79,"Animation, Adventure, Family"
The Watcher,2000,5.3,R,97,"Crime, Drama, Mystery"
The Guns of Navarone,1961,7.5,TV-PG,158,"Action, Adventure, Drama"
The Dream Team,1989,6.5,PG-13,113,"Comedy, Crime, Thriller"
"Girl, Interrupted",1999,7.3,R,127,"Biography, Drama"
In the Army Now,1994,5.0,PG,91,"Comedy, War"
L.A. Story,1991,6.7,PG-13,95,"Comedy, Drama, Fantasy"
Zoolander 2,2016,4.7,PG-13,101,"Action, Adventure, Comedy"
The Five-Year Engagement,2012,6.2,R,124,"Comedy, Romance"
Draft Day,2014,6.8,PG-13,110,"Drama, Sport"
Samson and Delilah,1949,6.8,Approved,134,"Drama, History, Romance"
Kick-Ass 2,2013,6.5,R,103,"Action, Comedy, Crime"
Point Break,2015,5.3,PG-13,114,"Action, Crime, Sport"
Molly's Game,2017,7.4,R,140,"Biography, Crime, Drama"
Capote,2005,7.3,R,114,"Biography, Crime, Drama"
Deceived,1991,6.2,PG-13,104,"Crime, Drama, Mystery"
Baby Boy,2001,6.4,R,130,"Crime, Drama, Romance"
The Last Starfighter,1984,6.8,PG,101,"Action, Adventure, Sci-Fi"
Drop Zone,1994,5.6,R,101,"Action, Adventure, Thriller"
Starman,1984,7.0,PG,115,"Romance, Sci-Fi"
Untraceable,2008,6.2,R,101,"Crime, Mystery, Thriller"
Fathers' Day,1997,5.3,PG-13,98,"Comedy, Romance"
Defiance,2008,7.2,R,137,"Action, Drama, History"
28 Weeks Later,2007,7.0,R,100,"Horror, Sci-Fi"
Carnal Knowledge,1971,7.0,R,98,Drama
Hoosiers,1986,7.5,PG,114,"Drama, Sport"
Final Analysis,1992,5.9,R,124,"Drama, Thriller"
The Uninvited,2009,6.4,PG-13,87,"Drama, Horror, Mystery"
Swimfan,2002,5.1,PG-13,85,"Drama, Thriller"
We Own the Night,2007,6.8,R,117,"Crime, Drama, Thriller"
The Out-of-Towners,1999,5.5,PG-13,90,Comedy
Brothers,2009,7.1,R,105,"Action, Drama, Thriller"
Child's Play 2,1990,5.8,R,84,"Horror, Thriller"
Mr. Brooks,2007,7.3,R,120,"Crime, Drama, Thriller"
Employee of the Month,2006,5.5,PG-13,103,"Comedy, Romance"
Garfield: A Tail of Two Kitties,2006,5.0,PG,82,"Animation, Adventure, Comedy"
Stop! Or My Mom Will Shoot,1992,4.3,PG-13,87,"Action, Comedy"
The Crocodile Hunter: Collision Course,2002,5.3,PG,90,"Action, Adventure, Comedy"
The Nut Job 2: Nutty by Nature,2017,5.4,PG,91,"Animation, Adventure, Comedy"
A Man for All Seasons,1966,7.7,G,120,"Biography, Drama, History"
The Shawshank Redemption,1994,9.3,R,142,Drama
After the Sunset,2004,6.3,PG-13,97,"Action, Comedy, Crime"
Taxi Driver,1976,8.3,R,114,"Crime, Drama"
Doom,2005,5.2,R,105,"Action, Horror, Sci-Fi"
Ernest Saves Christmas,1988,5.6,PG,95,"Comedy, Family, Fantasy"
"20,000 Leagues Under the Sea",1954,7.2,G,127,"Adventure, Drama, Family"
The Prince and Me,2004,5.9,PG,111,"Comedy, Family, Romance"
The Ant Bully,2006,5.8,PG,88,"Animation, Adventure, Comedy"
Abduction,2011,5.1,PG-13,106,"Action, Mystery, Thriller"
Johnny English,2003,6.2,PG,87,"Action, Adventure, Comedy"
Cannonball Run II,1984,5.1,PG,108,"Action, Comedy"
That Darn Cat!,1965,6.8,Approved,116,"Comedy, Crime, Family"
Police Academy 4: Citizens on Patrol,1987,5.0,PG,88,"Comedy, Crime"
Happy Death Day 2U,2019,6.2,PG-13,100,"Comedy, Horror, Mystery"
Grosse Pointe Blank,1997,7.3,R,107,"Action, Comedy, Crime"
Slap Shot,1977,7.3,R,123,"Comedy, Drama, Sport"
Loaded Weapon 1,1993,6.2,PG-13,84,"Action, Comedy, Crime"
Out to Sea,1997,6.1,PG-13,106,"Comedy, Romance"
The Rescuers Down Under,1990,6.9,G,77,"Animation, Adventure, Crime"
Menace II Society,1993,7.5,R,97,"Crime, Drama, Thriller"
Beastly,2011,5.6,PG-13,86,"Drama, Fantasy, Romance"
Moonlight,2016,7.4,R,111,Drama
Crank,2006,6.9,R,88,"Action, Crime, Thriller"
Soul Man,1986,5.3,PG-13,104,"Comedy, Romance"
The Majestic,2001,6.9,PG,152,"Drama, Romance"
The Other Sister,1999,6.5,PG-13,129,"Comedy, Drama, Romance"
Logan Lucky,2017,7.0,PG-13,118,"Comedy, Crime, Drama"
Rings,2017,4.5,PG-13,102,"Drama, Horror, Mystery"
The Edge,1997,6.9,R,117,"Action, Adventure, Drama"
The Switch,2010,6.1,PG-13,101,"Comedy, Drama, Romance"
Sinister 2,2015,5.3,R,97,"Horror, Mystery, Thriller"
Internal Affairs,1990,6.5,R,115,"Crime, Drama, Thriller"
Oculus,2013,6.5,R,104,"Horror, Mystery"
Saw VI,2009,6.0,R,90,"Horror, Mystery"
Hannibal Rising,2007,6.2,R,121,"Adventure, Crime, Drama"
The Island of Dr. Moreau,1996,4.6,PG-13,96,"Horror, Sci-Fi, Thriller"
Cadillac Man,1990,5.7,R,97,"Comedy, Crime"
The Finest Hours,2016,6.8,PG-13,117,"Action, Drama, History"
Do the Right Thing,1989,7.9,R,120,"Comedy, Drama"
Poetic Justice,1993,6.1,R,109,"Drama, Romance"
My Life,1993,6.8,PG-13,117,Drama
Friday,1995,7.3,R,91,"Comedy, Drama"
Memphis Belle,1990,6.9,PG-13,107,"Action, Drama, War"
Love & Basketball,2000,7.2,PG-13,124,"Drama, Romance, Sport"
Now and Then,1995,6.8,PG-13,100,"Comedy, Drama, Romance"
Desperately Seeking Susan,1985,6.0,PG-13,104,"Comedy, Drama"
Florence Foster Jenkins,2016,6.8,PG-13,111,"Biography, Comedy, Drama"
The Last Witch Hunter,2015,6.0,PG-13,106,"Action, Adventure, Fantasy"
Brown Sugar,2002,6.5,PG-13,109,"Romance, Comedy, Drama"
Someone Like You,2001,6.1,PG-13,97,"Comedy, Romance"
Midsommar,2019,7.1,R,148,"Drama, Horror, Mystery"
Dallas Buyers Club,2013,8.0,R,117,"Biography, Drama"
No Escape,2015,6.8,R,103,"Action, Thriller"
The Muppet Christmas Carol,1992,7.7,G,85,"Comedy, Drama, Family"
High Fidelity,2000,7.5,R,113,"Comedy, Drama, Music"
A Passage to India,1984,7.3,PG,164,"Adventure, Drama, History"
Brooklyn's Finest,2009,6.7,R,132,"Crime, Drama, Thriller"
Airplane II: The Sequel,1982,6.2,PG,85,"Comedy, Sci-Fi"
Baby Geniuses,1999,2.6,PG,97,"Comedy, Crime, Family"
Cloud Atlas,2012,7.4,R,172,"Action, Drama, Mystery"
All Dogs Go to Heaven,1989,6.8,G,84,"Animation, Comedy, Drama"
Fast Times at Ridgemont High,1982,7.2,R,90,"Comedy, Drama"
Joe Dirt,2001,6.0,PG-13,91,"Adventure, Comedy, Drama"
The Musketeer,2001,4.9,PG-13,104,"Action, Adventure, Romance"
The Story of Us,1999,6.0,R,95,"Comedy, Drama, Romance"
Guarding Tess,1994,6.2,PG-13,96,"Comedy, Drama"
The Big Hit,1998,6.1,R,91,"Action, Comedy, Crime"
Home Again,2017,5.8,PG-13,97,"Comedy, Drama, Romance"
Paulie,1998,6.5,PG,91,"Adventure, Comedy, Drama"
Rush,2013,8.1,R,123,"Biography, Drama, Sport"
The Women,2008,5.0,PG-13,114,"Comedy, Drama"
The Missing,2003,6.5,R,137,"Adventure, Thriller, Western"
One Missed Call,2008,4.0,PG-13,87,"Horror, Mystery"
xXx: State of the Union,2005,4.4,PG-13,101,"Action, Adventure, Crime"
Stick It,2006,6.4,PG-13,103,"Comedy, Drama, Sport"
Hell or High Water,2016,7.6,R,102,"Action, Crime, Drama"
Elizabethtown,2005,6.4,PG-13,123,"Comedy, Drama, Romance"
Resident Evil: The Final Chapter,2016,5.5,R,107,"Action, Horror, Sci-Fi"
Glory,1989,7.8,R,122,"Biography, Drama, History"
Ricki and the Flash,2015,5.9,PG-13,101,"Comedy, Drama, Music"
The Other Boleyn Girl,2008,6.7,PG-13,115,"Biography, Drama, History"
Zombieland: Double Tap,2019,6.7,R,99,"Action, Adventure, Comedy"
Eye for an Eye,1996,6.2,R,101,"Crime, Drama, Thriller"
Garden State,2004,7.4,R,102,"Comedy, Drama, Romance"
The Best of Me,2014,6.7,PG-13,118,"Drama, Romance"
Bio-Dome,1996,4.5,PG-13,88,Comedy
Ready or Not,2019,6.8,R,95,"Comedy, Horror, Mystery"
Overboard,1987,6.9,PG,112,"Comedy, Romance"
Baby Boom,1987,6.2,PG,110,"Comedy, Drama, Romance"
Prizzi's Honor,1985,6.7,R,130,"Comedy, Crime, Drama"
Winnie the Pooh,2011,7.2,G,63,"Animation, Adventure, Comedy"
Event Horizon,1997,6.7,R,96,"Horror, Sci-Fi, Thriller"
Superhero Movie,2008,4.5,PG-13,75,"Action, Comedy, Sci-Fi"
The Host,2013,5.9,PG-13,125,"Action, Adventure, Drama"
El Cid,1961,7.2,Approved,182,"Biography, Drama, History"
Machete,2010,6.6,R,105,"Action, Crime, Thriller"
The Forest,2016,4.8,PG-13,93,"Horror, Mystery, Thriller"
An American Werewolf in Paris,1997,5.1,R,105,"Comedy, Fantasy, Horror"
Harriet the Spy,1996,5.9,PG,100,"Comedy, Drama, Family"
Basic,2003,6.5,R,98,"Action, Crime, Drama"
Bulworth,1998,6.8,R,108,"Comedy, Drama, Romance"
The Woman in Black 2: Angel of Death,2014,4.8,PG-13,98,"Drama, Horror, Thriller"
Blast from the Past,1999,6.6,PG-13,112,"Comedy, Drama, Romance"
Sinbad: Legend of the Seven Seas,2003,6.7,PG,86,"Animation, Adventure, Family"
Run All Night,2015,6.6,R,114,"Action, Crime, Drama"
First Kid,1996,5.2,PG,101,"Family, Comedy"
Book of Shadows: Blair Witch 2,2000,3.9,R,90,"Adventure, Fantasy, Horror"
Street Kings,2008,6.8,R,109,"Action, Crime, Drama"
One for the Money,2012,5.3,PG-13,91,"Action, Comedy, Crime"
Ben-Hur,2016,5.7,PG-13,123,"Action, Adventure, Drama"
Boogie Nights,1997,7.9,R,155,Drama
House Party,1990,6.4,R,100,"Comedy, Music, Romance"
I.Q.,1994,6.2,PG,100,"Comedy, Romance"
Great Expectations,1998,6.9,R,111,"Drama, Romance"
Houseguest,1995,6.0,PG,113,Comedy
A Walk Among the Tombstones,2014,6.5,R,114,"Action, Crime, Drama"
Sayonara,1957,7.1,Not Rated,147,"Drama, Romance"
Wildcats,1986,6.0,R,106,"Comedy, Sport"
Love the Coopers,2015,5.8,PG-13,107,"Comedy, Fantasy, Romance"
Dumb and Dumberer: When Harry Met Lloyd,2003,3.4,PG-13,85,Comedy
Necessary Roughness,1991,6.2,PG-13,108,"Comedy, Sport"
The Wrestler,2008,7.9,R,109,"Drama, Sport"
Blood Work,2002,6.4,R,110,"Action, Crime, Drama"
A Man Apart,2003,6.1,R,109,"Action, Crime, Drama"
Ramona and Beezus,2010,6.5,G,103,"Comedy, Drama, Family"
Jacob's Ladder,1990,7.5,R,113,"Drama, Horror, Mystery"
The Exorcist III,1990,6.4,R,110,"Drama, Horror, Mystery"
That Awkward Moment,2014,6.1,R,94,"Comedy, Romance"
The Descent,2005,7.2,R,99,"Adventure, Horror, Thriller"
Searching,2018,7.6,PG-13,102,"Drama, Mystery, Thriller"
The World's End,2013,7.0,R,109,"Action, Comedy, Sci-Fi"
The Adventures of Rocky & Bullwinkle,2000,4.1,PG,92,"Animation, Adventure, Comedy"
Howards End,1992,7.4,PG,142,"Drama, Romance"
Magic,1978,6.8,R,107,"Drama, Horror"
Freaky Friday,1976,6.3,G,95,"Comedy, Family, Fantasy"
The Cotton Club,1984,6.5,R,127,"Crime, Drama, Music"
Shutter,2008,5.2,PG-13,85,"Horror, Mystery, Thriller"
The Nanny Diaries,2007,6.2,PG-13,105,"Comedy, Drama, Romance"
Leap Year,2010,6.5,PG,100,"Comedy, Romance"
"Yours, Mine and Ours",1968,7.2,Unrated,111,"Comedy, Family"
The Hard Way,1991,6.4,R,111,"Action, Comedy, Crime"
Innerspace,1987,6.8,PG,120,"Action, Adventure, Comedy"
Cactus Flower,1969,7.2,M,104,"Comedy, Romance"
Alex Cross,2012,5.1,PG-13,101,"Action, Crime, Mystery"
Frida,2002,7.4,R,123,"Biography, Drama, Romance"
Æon Flux,2005,5.5,PG-13,93,"Action, Adventure, Sci-Fi"
Shadowlands,1993,7.3,PG,131,"Biography, Drama, Romance"
Murder at 1600,1997,6.1,R,107,"Action, Crime, Drama"
Betrayed,1988,6.3,R,127,"Crime, Drama, Thriller"
That Thing You Do!,1996,6.9,PG,108,"Comedy, Drama, Music"
The Lazarus Effect,2015,5.2,PG-13,83,"Horror, Mystery, Sci-Fi"
Candyman,1992,6.6,R,99,"Horror, Thriller"
Down Periscope,1996,6.2,PG-13,92,Comedy
The Last Dragon,1985,6.9,PG-13,109,"Action, Comedy, Drama"
From Dusk Till Dawn,1996,7.2,R,108,"Action, Crime, Horror"
You Again,2010,5.8,PG,105,"Comedy, Romance"
21 & Over,2013,5.8,R,93,Comedy
Other People's Money,1991,6.2,R,103,"Comedy, Drama, Romance"
Crocodile Dundee in Los Angeles,2001,4.8,PG,92,"Action, Adventure, Comedy"
Mr. Woodcock,2007,5.1,PG-13,87,"Comedy, Romance, Sport"
Agnes of God,1985,6.6,PG-13,98,"Drama, Mystery"
Desperado,1995,7.2,R,104,"Action, Crime, Thriller"
Dance Flick,2009,3.5,PG-13,83,"Action, Comedy, Music"
Nancy Drew,2007,5.9,PG,99,"Comedy, Crime, Family"
The Outsiders,1983,7.1,PG,91,"Crime, Drama"
Peyton Place,1957,7.2,Approved,157,"Drama, Romance"
The Mist,2007,7.1,R,126,"Horror, Sci-Fi, Thriller"
Billy Madison,1995,6.4,PG-13,89,Comedy
Jumpin' Jack Flash,1986,5.9,R,105,"Comedy, Romance, Thriller"
Her,2013,8.0,R,126,"Drama, Romance, Sci-Fi"
Memento,2000,8.4,R,113,"Mystery, Thriller"
Captain Corelli's Mandolin,2001,5.9,R,131,"Drama, Music, Romance"
Funny Farm,1988,6.2,PG,101,Comedy
The Muppets Take Manhattan,1984,6.9,G,94,"Adventure, Comedy, Drama"
W.,2008,6.3,PG-13,129,"Biography, Comedy, Drama"
Halloween II,1981,6.5,R,92,Horror
Serenity,2005,7.8,PG-13,119,"Action, Adventure, Sci-Fi"
A Nightmare on Elm Street,1984,7.5,R,91,Horror
The Art of Racing in the Rain,2019,7.5,PG,109,"Comedy, Drama, Romance"
All About the Benjamins,2002,5.9,R,95,"Action, Comedy, Crime"
The House,2017,5.6,R,88,"Comedy, Crime"
Mimic,1997,5.9,R,105,"Horror, Sci-Fi"
My Father the Hero,1994,5.5,PG,90,"Comedy, Romance"
Escape from L.A.,1996,5.8,R,101,"Action, Adventure, Sci-Fi"
Dark Water,2005,5.6,PG-13,105,"Drama, Horror, Mystery"
The Fourth Kind,2009,5.9,PG-13,98,"Horror, Mystery, Sci-Fi"
The International,2009,6.5,R,118,"Action, Crime, Drama"
Ex Machina,2014,7.7,R,108,"Drama, Mystery, Sci-Fi"
Tin Men,1987,6.6,R,112,"Comedy, Drama"
The Absent Minded Professor,1961,6.8,Approved,92,"Comedy, Family, Sci-Fi"
Boyhood,2014,7.9,R,165,Drama
Can't Hardly Wait,1998,6.5,PG-13,100,"Comedy, Romance"
The Great Race,1965,7.3,Passed,160,"Action, Adventure, Comedy"
Heartburn,1986,6.1,R,108,"Comedy, Drama"
The Woman in Red,1984,6.0,PG-13,87,"Comedy, Romance"
The Transporter,2002,6.8,PG-13,92,"Action, Crime, Thriller"
Sweet November,2001,6.7,PG-13,119,"Drama, Romance"
Top Five,2014,6.4,R,102,"Comedy, Romance"
Jersey Girl,2004,6.2,PG-13,102,"Comedy, Drama, Romance"
Irma la Douce,1963,7.4,Not Rated,147,"Comedy, Romance"
Escape from New York,1981,7.2,R,99,"Action, Adventure, Sci-Fi"
Alien Nation,1988,6.3,R,91,"Action, Sci-Fi"
Black Widow,1987,6.3,R,102,"Crime, Drama, Thriller"
Aliens in the Attic,2009,5.4,PG,86,"Adventure, Comedy, Family"
Don't Tell Mom the Babysitter's Dead,1991,6.3,PG-13,102,Comedy
Twisted,2004,5.3,R,97,"Crime, Drama, Mystery"
Fallen,1998,7.0,R,124,"Action, Crime, Drama"
Nurse Betty,2000,6.1,R,110,"Comedy, Crime, Drama"
The Morning After,1986,5.9,R,103,"Crime, Mystery, Romance"
The VVitch: A New-England Folktale,2015,6.9,R,92,"Drama, Horror, Mystery"
Escape Plan,2013,6.7,R,115,"Action, Thriller"
Killer Elite,2011,6.4,R,116,"Action, Thriller"
The Reaping,2007,5.6,R,99,"Horror, Thriller"
All the Money in the World,2017,6.8,R,132,"Biography, Crime, Drama"
The Cutting Edge,1992,6.9,PG,101,"Comedy, Drama, Romance"
Problem Child 2,1991,4.9,PG-13,90,"Comedy, Family"
Moscow on the Hudson,1984,6.5,R,115,"Comedy, Drama, Romance"
Against All Odds,1984,5.9,R,128,"Action, Adventure, Crime"
Winchester,2018,5.4,PG-13,99,"Biography, Drama, Fantasy"
Midnight in the Garden of Good and Evil,1997,6.6,R,155,"Crime, Drama, Mystery"
Alpha and Omega,2010,5.2,PG,90,"Animation, Adventure, Comedy"
Navy Seals,1990,5.6,R,113,"Action, Adventure, Thriller"
Wyatt Earp,1994,6.7,PG-13,191,"Adventure, Biography, Crime"
The Wood,1999,7.0,R,106,"Comedy, Drama, Romance"
Grindhouse,2007,7.5,R,191,"Action, Horror, Thriller"
Ernest Goes to Jail,1990,5.4,PG,81,"Comedy, Crime, Family"
In the Heart of the Sea,2015,6.9,PG-13,122,"Action, Adventure, Biography"
Little Man Tate,1991,6.6,PG,99,Drama
In the Name of the Father,1993,8.1,R,133,"Biography, Drama"
Piranha 3D,2010,5.4,R,88,"Comedy, Horror"
The Hills Have Eyes,1977,6.3,R,90,"Horror, Thriller"
Logan's Run,1976,6.8,PG,119,"Action, Sci-Fi"
Thunderbolt and Lightfoot,1974,7.1,R,115,"Comedy, Crime, Drama"
Enter the Dragon,1973,7.7,R,102,"Action, Crime, Drama"
Fritz the Cat,1972,6.3,Unrated,78,"Animation, Comedy, Drama"
Some Like It Hot,1959,8.2,Not Rated,121,"Comedy, Music, Romance"
The November Man,2014,6.3,R,108,"Action, Thriller"
Invasion of the Body Snatchers,1978,7.4,PG,115,"Horror, Sci-Fi"
Kingpin,1996,6.9,PG-13,114,"Comedy, Sport"
Fright Night,1985,7.1,R,106,"Horror, Thriller"
Catch-22,1970,7.1,R,122,"Comedy, Drama, War"
The Craft,1996,6.4,R,101,"Drama, Fantasy, Horror"
Never Back Down,2008,6.6,PG-13,113,"Action, Drama, Sport"
Season of the Witch,2011,5.4,PG-13,95,"Action, Adventure, Fantasy"
Quiz Show,1994,7.5,PG-13,133,"Biography, Drama, History"
Our Idiot Brother,2011,6.4,R,90,"Comedy, Drama"
Gifted,2017,7.6,PG-13,101,Drama
From Russia with Love,1963,7.4,PG,115,"Action, Adventure, Thriller"
Thank You for Smoking,2005,7.6,R,92,"Comedy, Drama"
Waking Ned Devine,1998,7.3,PG,91,Comedy
The Man Without a Face,1993,6.7,PG-13,115,Drama
"Sex, Lies, and Videotape",1989,7.2,R,100,Drama
Gorillas in the Mist,1988,7.0,PG-13,129,"Biography, Drama"
The Sweetest Thing,2002,5.2,R,84,"Comedy, Romance"
Lottery Ticket,2010,5.0,PG-13,99,Comedy
Ghost Dad,1990,4.4,PG,83,"Comedy, Family, Fantasy"
Leap!,2016,6.8,PG,89,"Animation, Adventure, Comedy"
Operation Dumbo Drop,1995,5.1,PG,107,"Action, Adventure, Comedy"
Summer Rental,1985,6.3,PG,87,Comedy
FernGully: The Last Rainforest,1992,6.5,G,76,"Animation, Adventure, Family"
Fearless,2006,7.6,PG-13,104,"Action, Biography, Drama"
Air Bud,1997,5.2,PG,98,"Comedy, Drama, Family"
On the Basis of Sex,2018,7.0,PG-13,120,"Biography, Drama"
Fargo,1996,8.1,R,98,"Crime, Drama, Thriller"
Unleashed,2005,7.0,R,103,"Action, Adventure, Crime"
Fly Away Home,1996,6.8,PG,107,"Adventure, Drama, Family"
Don Jon,2013,6.5,R,90,"Comedy, Drama, Romance"
Jesus Christ Superstar,1973,7.4,G,106,"Drama, History, Musical"
Sling Blade,1996,8.0,R,135,Drama
The Emerald Forest,1985,6.9,R,114,"Action, Adventure, Drama"
Downsizing,2017,5.7,R,135,"Drama, Sci-Fi"
The Strangers: Prey at Night,2018,5.2,R,85,Horror
Elektra,2005,4.7,PG-13,97,"Action, Adventure, Crime"
15 Minutes,2001,6.1,R,120,"Action, Crime, Drama"
Sparkle,2012,5.7,PG-13,116,"Drama, Music"
Ice Princess,2005,6.0,G,98,"Comedy, Drama, Family"
In the Heat of the Night,1967,7.9,Not Rated,110,"Crime, Drama, Mystery"
Arlington Road,1999,7.2,R,117,"Crime, Drama, Thriller"
Dolores Claiborne,1995,7.4,R,132,"Crime, Drama, Mystery"
Across the Universe,2007,7.3,PG-13,133,"Drama, Fantasy, History"
Renaissance Man,1994,6.2,PG-13,128,"Comedy, Drama"
Quo Vadis,1951,7.2,Not Rated,171,"Biography, Drama, History"
Class Action,1991,6.4,R,110,"Drama, Thriller"
Hoffa,1992,6.6,R,140,"Biography, Crime, Drama"
The Spy Next Door,2010,5.4,PG,94,"Action, Comedy, Family"
Bronco Billy,1980,6.1,PG,116,"Action, Adventure, Comedy"
Bridget Jones's Baby,2016,6.5,R,123,"Comedy, Drama, Romance"
The People Under the Stairs,1991,6.4,R,102,"Comedy, Horror, Mystery"
Dead Presidents,1995,6.9,R,119,"Action, Crime, Drama"
Hearts in Atlantis,2001,6.9,PG-13,101,"Drama, Mystery"
Iron Eagle,1986,5.5,PG-13,117,"Action, Thriller, War"
Lord of War,2005,7.6,R,122,"Action, Crime, Drama"
Tinker Tailor Soldier Spy,2011,7.1,R,122,"Drama, Mystery, Thriller"
Clerks II,2006,7.3,R,97,Comedy
The Adventures of Huck Finn,1993,6.2,PG,108,"Adventure, Comedy, Drama"
Lionheart,1990,6.2,R,108,"Action, Crime, Drama"
Body Heat,1981,7.4,R,113,"Crime, Drama, Romance"
Virtuosity,1995,5.6,R,106,"Action, Crime, Sci-Fi"
Angel Eyes,2001,5.6,R,102,"Drama, Romance"
Don't Be Afraid of the Dark,2010,5.6,R,99,"Fantasy, Horror, Thriller"
White Boy Rick,2018,6.4,R,111,"Crime, Drama"
Around the World in 80 Days,2004,5.9,PG,120,"Action, Adventure, Comedy"
The Life Aquatic with Steve Zissou,2004,7.3,R,119,"Action, Adventure, Comedy"
Nine,2009,5.8,PG-13,118,"Drama, Musical, Romance"
