,movie,release_date,release_month,release_day,release_year
882,Maybe It's Love,1930-10-04,October,Saturday,1930
883,The Hard Guy,1930-09-06,September,Saturday,1930
884,Getting a Ticket,1930-03-22,March,Saturday,1930
885,Raffles,1930-07-24,July,Thursday,1930
886,Recaptured Love,1930-07-07,July,Monday,1930
887,Wide Open,1930-02-01,February,Saturday,1930
888,The Girl Said No,1930-03-15,March,Saturday,1930
889,For the Defense,1930-07-19,July,Saturday,1930
890,The Fall Guy,1930-06-15,June,Sunday,1930
891,Man to Man,1930-12-05,December,Friday,1930
892,The Kibitzer,1930-01-11,January,Saturday,1930
893,Cameo Kirby,1930-01-12,January,Sunday,1930
894,Such Men Are Dangerous,1930-03-09,March,Sunday,1930
895,The Golden Calf,1930-03-16,March,Sunday,1930
896,All Teed Up,1930-04-18,April,Friday,1930
897,True to the Navy,1930-05-25,May,Sunday,1930
898,The Poor Fish,1930-06-07,June,Saturday,1930
899,Dangerous Nan McGrew,1930-06-22,June,Sunday,1930
900,Let's Go Native,1930-08-15,August,Friday,1930
901,Leathernecking,1930-09-12,September,Friday,1930
902,The Spoilers,1930-09-20,September,Saturday,1930
903,The Santa Fe Trail,1930-09-27,September,Saturday,1930
904,The Gorilla,1930-11-02,November,Sunday,1930
905,Lightnin',1930-12-07,December,Sunday,1930
906,New Moon,1930-12-25,December,Thursday,1930
907,Rogue of the Rio Grande,1930-12-07,December,Sunday,1930
908,Little Accident,1930-08-03,August,Sunday,1930
909,The Fighting Legion,1930-04-05,April,Saturday,1930
910,Young Desire,1930-06-18,June,Wednesday,1930
911,The Lone Star Ranger,1930-01-05,January,Sunday,1930
912,The Other Tomorrow,1930-02-09,February,Sunday,1930
913,"Du Barry, Woman of Passion",1930-10-10,October,Friday,1930
914,Check and Double Check,1930-10-02,October,Thursday,1930
915,Reno,1930-09-30,September,Tuesday,1930
916,The Storm,1930-08-17,August,Sunday,1930
917,The Lady of Scandal,1930-05-24,May,Saturday,1930
918,The Matrimonial Bed,1930-08-01,August,Friday,1930
919,They Learned About Women,1930-01-30,January,Thursday,1930
920,A Notorious Affair,1930-04-26,April,Saturday,1930
921,A Soldier's Plaything,1930-11-01,November,Saturday,1930
922,Lovin' the Ladies,1930-04-06,April,Sunday,1930
923,The Bluffer,1930-09-28,September,Sunday,1930
924,Love Among the Millionaires,1930-07-06,July,Sunday,1930
925,Night Work,1930-08-03,August,Sunday,1930
926,Only Saps Work,1930-12-05,December,Friday,1930
927,The Bad One,1930-05-03,May,Saturday,1930
928,Doughboys,1930-08-30,August,Saturday,1930
929,Charley's Aunt,1930-12-01,December,Monday,1930
930,"No, No, Nanette",1930-02-16,February,Sunday,1930
931,Sunny,1930-11-09,November,Sunday,1930
932,Sweet Mama,1930-07-06,July,Sunday,1930
933,Spring Is Here,1930-04-13,April,Sunday,1930
934,Song of the West,1930-03-15,March,Saturday,1930
935,Renegades,1930-10-26,October,Sunday,1930
936,Tol'able David,1930-11-15,November,Saturday,1930
937,Peacock Alley,1930-01-10,January,Friday,1930
938,Big Boy,1930-09-11,September,Thursday,1930
939,Beau Bandit,1930-03-02,March,Sunday,1930
940,East Is West,1930-10-23,October,Thursday,1930
941,Fighting Thru,1930-12-25,December,Thursday,1930
942,The Melody Man,1930-01-15,January,Wednesday,1930
943,The Love Trader,1930-09-25,September,Thursday,1930
944,Alias French Gertie,1930-04-20,April,Sunday,1930
945,On Your Back,1930-09-14,September,Sunday,1930
946,The Climax,1930-01-26,January,Sunday,1930
947,Part Time Wife,1930-12-27,December,Saturday,1930
948,The Ship from Shanghai,1930-01-31,January,Friday,1930
949,Old English,1930-09-27,September,Saturday,1930
950,Captain Thunder,1930-12-27,December,Saturday,1930
951,The Vagabond King,1930-02-17,February,Monday,1930
952,Divorce Among Friends,1930-12-13,December,Saturday,1930
953,Men of the North,1930-09-27,September,Saturday,1930
954,Compliments of the Season,1930-11-27,November,Thursday,1930
955,The Sea God,1930-09-13,September,Saturday,1930
956,The Bad Man,1930-09-13,September,Saturday,1930
957,Looser Than Loose,1930-11-15,November,Saturday,1930
958,Girl Shock,1930-08-23,August,Saturday,1930
959,The Princess and the Plumber,1930-12-21,December,Sunday,1930
960,Frankenstein,1931-11-21,November,Saturday,1931
961,The Public Enemy,1931-04-23,April,Thursday,1931
962,Dr. Jekyll and Mr. Hyde,1931-12-31,December,Thursday,1931
963,Mata Hari,1931-12-26,December,Saturday,1931
964,Drácula,1931-04-24,April,Friday,1931
965,Cimarron,1931-02-09,February,Monday,1931
966,Chickens Come Home,1931-02-21,February,Saturday,1931
967,The Adventures of Prince Achmed,1931-02-26,February,Thursday,1931
968,Our Wife,1931-05-16,May,Saturday,1931
969,Trader Horn,1931-05-23,May,Saturday,1931
970,The Skin Game,1931-06-20,June,Saturday,1931
971,The Hard Hombre,1931-09-20,September,Sunday,1931
972,Safe in Hell,1931-12-12,December,Saturday,1931
973,Night Nurse,1931-07-16,July,Thursday,1931
974,The Squaw Man,1931-09-04,September,Friday,1931
975,The Black Camel,1931-06-21,June,Sunday,1931
976,The Common Law,1931-07-24,July,Friday,1931
977,Le Million,1931-05-20,May,Wednesday,1931
978,The Ugly Duckling,1931-12-17,December,Thursday,1931
979,Beau Hunks,1931-12-12,December,Saturday,1931
980,Svengali,1931-05-22,May,Friday,1931
981,The Smiling Lieutenant,1931-08-01,August,Saturday,1931
982,Smart Money,1931-07-11,July,Saturday,1931
983,Bad Girl,1931-08-13,August,Thursday,1931
984,Under Eighteen,1931-01-02,January,Friday,1931
985,Dirigible,1931-04-04,April,Saturday,1931
986,The Maltese Falcon,1931-05-28,May,Thursday,1931
987,Laughing Gravy,1931-04-04,April,Saturday,1931
988,Waterloo Bridge,1931-09-04,September,Friday,1931
989,The Moose Hunt,1931-05-02,May,Saturday,1931
990,The Painted Desert,1931-03-07,March,Saturday,1931
991,Bimbo's Initiation,1931-07-24,July,Friday,1931
992,Come Clean,1931-09-19,September,Saturday,1931
993,Susan Lenox (Her Fall and Rise),1931-10-10,October,Saturday,1931
994,The 3 Penny Opera,1931-05-16,May,Saturday,1931
995,The Struggle,1931-12-10,December,Thursday,1931
996,Private Lives,1931-12-12,December,Saturday,1931
997,Pardon Us,1931-08-15,August,Saturday,1931
998,The Secret Six,1931-04-18,April,Saturday,1931
999,Possessed,1931-11-21,November,Saturday,1931
1000,The Miracle Woman,1931-07-20,July,Monday,1931
1001,The Last Flight,1931-08-29,August,Saturday,1931
1002,The Stolen Jools,1931-04-04,April,Saturday,1931
1003,Are These Our Children,1931-11-14,November,Saturday,1931
1004,Local Boy Makes Good,1931-11-27,November,Friday,1931
1005,The Range Feud,1931-12-01,December,Tuesday,1931
1006,One Good Turn,1931-10-31,October,Saturday,1931
1007,Mickey's Orphans,1931-12-09,December,Wednesday,1931
1008,On the Loose,1931-12-26,December,Saturday,1931
1009,"Parlor, Bedroom and Bath",1931-02-28,February,Saturday,1931
1010,The Mad Genius,1931-11-07,November,Saturday,1931
1011,Way Back Home,1931-11-13,November,Friday,1931
1012,Blue Rhythm,1931-08-17,August,Monday,1931
1013,The Drums of Jeopardy,1931-03-01,March,Sunday,1931
1014,This Modern Age,1931-08-29,August,Saturday,1931
1015,The Guardsman,1931-11-07,November,Saturday,1931
1016,The Cisco Kid,1931-11-14,November,Saturday,1931
1017,Traffic Troubles,1931-03-16,March,Monday,1931
1018,The Woman Between,1931-08-08,August,Saturday,1931
1019,The China Plate,1931-05-22,May,Friday,1931
1020,Strangers May Kiss,1931-04-04,April,Saturday,1931
1021,The Phantom,1931-11-01,November,Sunday,1931
1022,The Star Witness,1931-08-22,August,Saturday,1931
1023,The Bad Sister,1931-03-29,March,Sunday,1931
1024,Arrowsmith,1931-12-07,December,Monday,1931
1025,East Lynne,1931-03-01,March,Sunday,1931
1026,Iron Man,1931-04-29,April,Wednesday,1931
1027,Kept Husbands,1931-02-22,February,Sunday,1931
1028,A Free Soul,1931-06-02,June,Tuesday,1931
1029,The Beach Party,1931-11-05,November,Thursday,1931
1030,The Easiest Way,1931-02-07,February,Saturday,1931
1031,God's Gift to Women,1931-04-13,April,Monday,1931
1032,Birds of a Feather,1931-02-03,February,Tuesday,1931
1033,Broadminded,1931-08-01,August,Saturday,1931
1034,Suicide Fleet,1931-11-20,November,Friday,1931
1035,Sporting Blood,1931-08-08,August,Saturday,1931
1036,Other Men's Women,1931-01-17,January,Saturday,1931
1037,The Cheat,1931-11-28,November,Saturday,1931
1038,Mother Goose Melodies,1931-04-15,April,Wednesday,1931
1039,"Dance, Fools, Dance",1931-03-20,March,Friday,1931
1040,The Phantom of Paris,1931-09-12,September,Saturday,1931
1041,The Busy Beavers,1931-06-29,June,Monday,1931
1042,Mickey Steps Out,1931-07-06,July,Monday,1931
1043,Anna Christie,1931-01-05,January,Monday,1931
1044,The Sin Ship,1931-04-18,April,Saturday,1931
1045,Flying High,1931-11-14,November,Saturday,1931
1046,I Like Your Nerve,1931-09-12,September,Saturday,1931
1047,Light Rhythms,1931-03-05,March,Thursday,1931
1048,Fishin' Around,1931-09-24,September,Thursday,1931
1049,Inspiration,1931-01-31,January,Saturday,1931
1050,The Birthday Party,1931-01-07,January,Wednesday,1931
1051,Strictly Dishonorable,1931-12-26,December,Saturday,1931
1052,The Tip-Off,1931-10-16,October,Friday,1931
1053,Girls About Town,1931-11-07,November,Saturday,1931
1054,Laughing Sinners,1931-05-30,May,Saturday,1931
1055,Body and Soul,1931-02-22,February,Sunday,1931
1056,Quick Millions,1931-04-17,April,Friday,1931
1057,Murder by the Clock,1931-07-21,July,Tuesday,1931
1058,Palmy Days,1931-10-03,October,Saturday,1931
1059,A Connecticut Yankee,1931-04-06,April,Monday,1931
1060,Egyptian Melodies,1931-08-27,August,Thursday,1931
1061,Just a Gigolo,1931-06-06,June,Saturday,1931
1062,The Sin of Madelon Claudet,1931-10-23,October,Friday,1931
1063,Bad Company,1931-11-08,November,Sunday,1931
1064,Three Who Loved,1931-07-03,July,Friday,1931
1065,Millie,1931-02-08,February,Sunday,1931
1066,One More Time,1931-10-03,October,Saturday,1931
1067,Grief Street,1931-10-01,October,Thursday,1931
1068,The Castaway,1931-04-05,April,Sunday,1931
1069,A House Divided,1931-12-05,December,Saturday,1931
1070,Ten Cents a Dance,1931-03-06,March,Friday,1931
1071,Illicit,1931-02-14,February,Saturday,1931
1072,"Smile, Darn Ya, Smile!",1931-09-05,September,Saturday,1931
1073,Lonely Wives,1931-02-22,February,Sunday,1931
1074,Side Show,1931-09-19,September,Saturday,1931
1075,Caught Plastered,1931-09-05,September,Saturday,1931
1076,Be Big!,1931-02-07,February,Saturday,1931
1077,Five and Ten,1931-06-13,June,Saturday,1931
1078,Tonight or Never,1931-01-04,January,Sunday,1931
1079,Honor Among Lovers,1931-02-28,February,Saturday,1931
1080,Captain Applejack,1931-01-30,January,Friday,1931
1081,The Ruling Voice,1931-10-30,October,Friday,1931
1082,Behind Office Doors,1931-03-15,March,Sunday,1931
1083,You Don't Know What You're Doin'!,1931-10-21,October,Wednesday,1931
1084,Ladies of the Big House,1931-12-26,December,Saturday,1931
1085,A Bronx Morning,1931-11-21,November,Saturday,1931
1086,The Millionaire,1931-05-01,May,Friday,1931
1087,Mickey Cuts Up,1931-12-01,December,Tuesday,1931
1088,Transatlantic,1931-08-30,August,Sunday,1931
1089,Seed,1931-05-14,May,Thursday,1931
1090,The Cuban Love Song,1931-12-05,December,Saturday,1931
1091,Arizona,1931-06-27,June,Saturday,1931
1092,The Bachelor Father,1931-01-10,January,Saturday,1931
1093,Girls Demand Excitement,1931-02-08,February,Sunday,1931
1094,Everything’s Rosie,1931-06-13,June,Saturday,1931
1095,The Fighting Marshall,1931-11-25,November,Wednesday,1931
1096,Peach-o-Reno,1931-12-25,December,Friday,1931
1097,Corsair,1931-11-28,November,Saturday,1931
1098,A Woman of Experience,1931-08-06,August,Thursday,1931
1099,Fighting Caravans,1931-02-01,February,Sunday,1931
1100,Reducing,1931-01-03,January,Saturday,1931
1101,The Great Lover,1931-07-18,July,Saturday,1931
1102,Seas Beneath,1931-01-30,January,Friday,1931
1103,Smart Woman,1931-09-12,September,Saturday,1931
1104,Man of the World,1931-03-28,March,Saturday,1931
1105,The Finger Points,1931-04-11,April,Saturday,1931
1106,Charlie Chan Carries On,1931-04-11,April,Saturday,1931
1107,Alexander Hamilton,1931-09-12,September,Saturday,1931
1108,I Take This Woman,1931-06-26,June,Friday,1931
1109,Guilty Hands,1931-08-22,August,Saturday,1931
1110,Devotion,1931-09-25,September,Friday,1931
1111,The Exile,1931-05-15,May,Friday,1931
1112,Heretic,1931-02-02,February,Monday,1931
1113,Little Daddy,1931-03-27,March,Friday,1931
1114,Women of All Nations,1931-05-31,May,Sunday,1931
1115,Alibi,1931-01-01,January,Thursday,1931
1116,The House That Shadows Built,1931-07-08,July,Wednesday,1931
1117,"Lady, Play Your Mandolin!",1931-09-01,September,Tuesday,1931
1118,The Barnyard Broadcast,1931-10-09,October,Friday,1931
1119,No Limit,1931-01-15,January,Thursday,1931
1120,My Past,1931-05-03,May,Sunday,1931
1121,X Marks the Spot,1931-12-13,December,Sunday,1931
1122,The Lady Refuses,1931-03-08,March,Sunday,1931
1123,Stranger in Town,1931-08-06,August,Thursday,1931
1124,Kick In,1931-05-22,May,Friday,1931
1125,New Adventures of Get Rich Quick Wallingford,1931-10-03,October,Saturday,1931
1126,Gun Smoke,1931-04-10,April,Friday,1931
1127,Shipmates,1931-04-25,April,Saturday,1931
1128,Bachelor Apartment,1931-04-15,April,Wednesday,1931
1129,The Brat,1931-09-19,September,Saturday,1931
1130,The Road to Singapore,1931-10-10,October,Saturday,1931
1131,War Mamas,1931-11-14,November,Saturday,1931
1132,Gentleman's Fate,1931-03-07,March,Saturday,1931
1133,Alice in Wonderland,1931-09-29,September,Tuesday,1931
1134,The Sleeping Cardinal,1931-02-15,February,Sunday,1931
1135,West of Broadway,1931-11-28,November,Saturday,1931
1136,Manhattan Parade,1931-12-24,December,Thursday,1931
1137,Kiki,1931-03-14,March,Saturday,1931
1138,Don't Bet on Women,1931-02-15,February,Sunday,1931
1139,It's a Wise Child,1931-04-10,April,Friday,1931
1140,The Pajama Party,1931-10-03,October,Saturday,1931
1141,Party Husband,1931-06-06,June,Saturday,1931
1142,Daybreak,1931-05-02,May,Saturday,1931
1143,The Unholy Garden,1931-10-28,October,Wednesday,1931
1144,Penrod and Sam,1931-10-03,October,Saturday,1931
1145,The Road to Reno,1931-09-25,September,Friday,1931
1146,Wild Horse,1931-08-02,August,Sunday,1931
1147,50 Million Frenchmen,1931-02-14,February,Saturday,1931
1148,Goldie,1931-06-27,June,Saturday,1931
1149,Born To Love,1931-04-17,April,Friday,1931
1150,Silence,1931-08-29,August,Saturday,1931
1151,My Sin,1931-10-02,October,Friday,1931
1152,The One Way Trail,1931-10-15,October,Thursday,1931
1153,Men in Her Life,1931-12-10,December,Thursday,1931
1154,24 Hours,1931-10-03,October,Saturday,1931
1155,Ex-Bad Boy,1931-07-15,July,Wednesday,1931
1156,The Great Meadow,1931-01-24,January,Saturday,1931
1157,Fair Warning,1931-02-01,February,Sunday,1931
1158,Mr. Lemon Of Orange,1931-03-22,March,Sunday,1931
1159,Woman Hungry,1931-04-04,April,Saturday,1931
1160,Too Young to Marry,1931-05-03,May,Sunday,1931
1161,Big Business Girl,1931-06-12,June,Friday,1931
1162,Fidlovačka,1931-07-03,July,Friday,1931
1163,The Secret Call,1931-07-24,July,Friday,1931
1164,Daughter of the Dragon,1931-09-05,September,Saturday,1931
1165,The Spider,1931-09-27,September,Sunday,1931
1166,Honor of the Family,1931-10-17,October,Saturday,1931
1167,Rich Man's Folly,1931-11-14,November,Saturday,1931
1168,Misbehaving Ladies,1931-04-17,April,Friday,1931
1169,Secret Service,1931-11-14,November,Saturday,1931
1170,Soul of the Slums,1931-11-15,November,Sunday,1931
1171,Bought!,1931-08-22,August,Saturday,1931
1172,His Woman,1931-11-20,November,Friday,1931
1173,Portrait of a Young Man in Three Movements,1931-04-15,April,Wednesday,1931
1174,Indiscreet,1931-05-16,May,Saturday,1931
1175,The Fighting Sheriff,1931-05-15,May,Friday,1931
1176,The Bargain,1931-09-05,September,Saturday,1931
1177,The Beloved Bachelor,1931-10-23,October,Friday,1931
1178,Secrets of a Secretary,1931-09-05,September,Saturday,1931
1179,Sidewalks of New York,1931-09-26,September,Saturday,1931
1180,The Death of Dmitri Karamazov,1931-02-05,February,Thursday,1931
1181,The Delivery Boy,1931-06-12,June,Friday,1931
1182,The Gang Buster,1931-01-17,January,Saturday,1931
1183,A Holy Terror,1931-07-19,July,Sunday,1931
1184,Expensive Women,1931-10-24,October,Saturday,1931
1185,The Gay Diplomat,1931-08-22,August,Saturday,1931
1186,Newly Rich,1931-07-04,July,Saturday,1931
1187,Laugh and Get Rich,1931-03-27,March,Friday,1931
1188,Tarnished Lady,1931-05-01,May,Friday,1931
1189,Stepping Out,1931-04-11,April,Saturday,1931
1190,The Lawyer's Secret,1931-06-06,June,Saturday,1931
1191,Men Call It Love,1931-03-14,March,Saturday,1931
1192,Dude Ranch,1931-05-15,May,Friday,1931
1193,Friends and Lovers,1931-10-03,October,Saturday,1931
1194,Six Cylinder Love,1931-05-10,May,Sunday,1931
1195,Hush Money,1931-07-05,July,Sunday,1931
1196,Sit Tight,1931-02-19,February,Thursday,1931
1197,Gold Dust Gertie,1931-06-27,June,Saturday,1931
1198,Red-Headed Baby,1931-12-26,December,Saturday,1931
1199,"Screen Snapshots (Series 10, No. 8)",1931-06-01,June,Monday,1931
1200,The Mummy,1932-12-22,December,Thursday,1932
1201,Freaks,1932-02-12,February,Friday,1932
1202,Trouble in Paradise,1932-10-28,October,Friday,1932
1203,Shanghai Express,1932-02-03,February,Wednesday,1932
1204,Island of Lost Souls,1932-12-31,December,Saturday,1932
1205,I Am a Fugitive from a Chain Gang,1932-11-09,November,Wednesday,1932
1206,The Most Dangerous Game,1932-09-16,September,Friday,1932
1207,The Old Dark House,1932-10-20,October,Thursday,1932
1208,Flowers and Trees,1932-07-30,July,Saturday,1932
1209,The Music Box,1932-04-16,April,Saturday,1932
1210,White Zombie,1932-07-28,July,Thursday,1932
1211,A Farewell to Arms,1932-12-08,December,Thursday,1932
1212,Pack Up Your Troubles,1932-09-17,September,Saturday,1932
1213,What Price Hollywood?,1932-06-24,June,Friday,1932
1214,County Hospital,1932-06-25,June,Saturday,1932
1215,Back Street,1932-09-01,September,Thursday,1932
1216,Murders in the Rue Morgue,1932-02-21,February,Sunday,1932
1217,Blonde Venus,1932-09-23,September,Friday,1932
1218,Towed in a Hole,1932-12-31,December,Saturday,1932
1219,If I Had a Million,1932-12-02,December,Friday,1932
1220,Smilin' Through,1932-09-24,September,Saturday,1932
1221,"Ride Him, Cowboy",1932-08-27,August,Saturday,1932
1222,Hell's Highway,1932-09-23,September,Friday,1932
1223,The Mouthpiece,1932-05-07,May,Saturday,1932
1224,Doctor X,1932-08-03,August,Wednesday,1932
1225,Mädchen in Uniform,1932-09-20,September,Tuesday,1932
1226,Their First Mistake,1932-11-05,November,Saturday,1932
1227,The Beast of the City,1932-02-13,February,Saturday,1932
1228,The Mask of Fu Manchu,1932-11-05,November,Saturday,1932
1229,The Klondike Kid,1932-11-12,November,Saturday,1932
1230,The Purchase Price,1932-07-23,July,Saturday,1932
1231,Santa's Workshop,1932-12-10,December,Saturday,1932
1232,One Hour with You,1932-03-23,March,Wednesday,1932
1233,Downstairs,1932-08-06,August,Saturday,1932
1234,Movie Crazy,1932-09-23,September,Friday,1932
1235,Mickey's Nightmare,1932-08-12,August,Friday,1932
1236,The Bitter Tea of General Yen,1932-12-25,December,Sunday,1932
1237,Any Old Port!,1932-03-05,March,Saturday,1932
1238,The Death Kiss,1932-12-05,December,Monday,1932
1239,Red Dust,1932-10-22,October,Saturday,1932
1240,The Match King,1932-12-31,December,Saturday,1932
1241,Helpmates,1932-01-23,January,Saturday,1932
1242,One Way Passage,1932-10-13,October,Thursday,1932
1243,The Cabin in the Cotton,1932-09-26,September,Monday,1932
1244,Babes in the Woods,1932-11-19,November,Saturday,1932
1245,The Strange Love of Molly Louvain,1932-05-28,May,Saturday,1932
1246,Call Her Savage,1932-11-27,November,Sunday,1932
1247,Manhattan Tower,1932-12-01,December,Thursday,1932
1248,The Wayward Canary,1932-11-12,November,Saturday,1932
1249,The Thirteenth Guest,1932-08-09,August,Tuesday,1932
1250,Million Dollar Legs,1932-07-08,July,Friday,1932
1251,As You Desire Me,1932-05-28,May,Saturday,1932
1252,Kongo,1932-10-01,October,Saturday,1932
1253,Just Dogs,1932-07-30,July,Saturday,1932
1254,Musical Farmer,1932-06-22,June,Wednesday,1932
1255,The Greeks Had a Word for Them,1932-02-03,February,Wednesday,1932
1256,The Grocery Boy,1932-02-11,February,Thursday,1932
1257,Texas Cyclone,1932-02-24,February,Wednesday,1932
1258,The Phantom of Crestwood,1932-10-14,October,Friday,1932
1259,Bird of Paradise,1932-08-12,August,Friday,1932
1260,Mickey's Good Deed,1932-12-17,December,Saturday,1932
1261,Red-Headed Woman,1932-06-25,June,Saturday,1932
1262,"20,000 Years in Sing Sing",1932-12-24,December,Saturday,1932
1263,Road to Life,1932-01-27,January,Wednesday,1932
1264,Scram!,1932-09-10,September,Saturday,1932
1265,Taxi!,1932-01-23,January,Saturday,1932
1266,The Dentist,1932-12-09,December,Friday,1932
1267,Night After Night,1932-10-30,October,Sunday,1932
1268,Flesh,1932-12-08,December,Thursday,1932
1269,The Chimp,1932-05-21,May,Saturday,1932
1270,Jewel Robbery,1932-07-23,July,Saturday,1932
1271,Blessed Event,1932-09-10,September,Saturday,1932
1272,Trader Mickey,1932-08-19,August,Friday,1932
1273,Barnyard Olympics,1932-04-14,April,Thursday,1932
1274,Love Affair,1932-03-17,March,Thursday,1932
1275,Minnie the Moocher,1932-03-11,March,Friday,1932
1276,Night World,1932-05-04,May,Wednesday,1932
1277,The Broken Lullaby,1932-01-24,January,Sunday,1932
1278,The Crowd Roars,1932-04-16,April,Saturday,1932
1279,The Hurricane Express,1932-08-01,August,Monday,1932
1280,Behind the Mask,1932-02-25,February,Thursday,1932
1281,Rasputin and the Empress,1932-12-23,December,Friday,1932
1282,Merrily We Go to Hell,1932-06-10,June,Friday,1932
1283,Payment Deferred,1932-11-07,November,Monday,1932
1284,Forbidden,1932-01-09,January,Saturday,1932
1285,The Sign of the Cross,1932-11-30,November,Wednesday,1932
1286,Emma,1932-01-02,January,Saturday,1932
1287,Once in a Lifetime,1932-10-02,October,Sunday,1932
1288,Lawyer Man,1932-12-24,December,Saturday,1932
1289,The Whoopee Party,1932-09-17,September,Saturday,1932
1290,Mr. Robinson Crusoe,1932-08-19,August,Friday,1932
1291,Haunted Gold,1932-12-17,December,Saturday,1932
1292,Shopworn,1932-03-25,March,Friday,1932
1293,The Duck Hunt,1932-01-28,January,Thursday,1932
1294,Me and My Gal,1932-12-04,December,Sunday,1932
1295,Cynara,1932-12-24,December,Saturday,1932
1296,The Shadow of the Eagle,1932-02-01,February,Monday,1932
1297,The Last Mile,1932-08-17,August,Wednesday,1932
1298,Frisco Jenny,1932-12-30,December,Friday,1932
1299,The Monster Walks,1932-02-10,February,Wednesday,1932
1300,King Neptune,1932-09-10,September,Saturday,1932
1301,Girl Crazy,1932-03-25,March,Friday,1932
1302,Little Orphan Annie,1932-11-04,November,Friday,1932
1303,The Hound of the Baskervilles,1932-04-14,April,Thursday,1932
1304,Speak Easily,1932-08-13,August,Saturday,1932
1305,Thirteen Women,1932-09-16,September,Friday,1932
1306,High Pressure,1932-01-30,January,Saturday,1932
1307,Three Wise Girls,1932-02-10,February,Wednesday,1932
1308,Mickey in Arabia,1932-07-17,July,Sunday,1932
1309,Rain,1932-10-12,October,Wednesday,1932
1310,Chandu the Magician,1932-08-04,August,Thursday,1932
1311,A Study in Reds,1932-04-13,April,Wednesday,1932
1312,Poem 8,1932-04-17,April,Sunday,1932
1313,The Sign of Four: Sherlock Holmes' Greatest Case,1932-08-14,August,Sunday,1932
1314,The Big Broadcast,1932-10-14,October,Friday,1932
1315,The Hatchet Man,1932-02-06,February,Saturday,1932
1316,Air Mail,1932-11-03,November,Thursday,1932
1317,Letty Lynton,1932-05-13,May,Friday,1932
1318,The Man Who Played God,1932-02-19,February,Friday,1932
1319,A Bill of Divorcement,1932-09-30,September,Friday,1932
1320,Birthday Blues,1932-11-12,November,Saturday,1932
1321,Skyscraper Souls,1932-07-16,July,Saturday,1932
1322,Panama Flo,1932-01-29,January,Friday,1932
1323,Faithless,1932-10-15,October,Saturday,1932
1324,Miss Pinkerton,1932-07-30,July,Saturday,1932
1325,Hell's House,1932-01-30,January,Saturday,1932
1326,A Successful Calamity,1932-09-17,September,Saturday,1932
1327,They Call It Sin,1932-11-05,November,Saturday,1932
1328,Rockabye,1932-11-25,November,Friday,1932
1329,Beauty and the Boss,1932-04-09,April,Saturday,1932
1330,The Penguin Pool Murder,1932-12-09,December,Friday,1932
1331,South of the Rio Grande,1932-03-05,March,Saturday,1932
1332,Parade of the Award Nominees,1932-11-18,November,Friday,1932
1333,Young America,1932-04-17,April,Sunday,1932
1334,The Savage Girl,1932-12-04,December,Sunday,1932
1335,Love Is a Racket,1932-06-18,June,Saturday,1932
1336,The Mad Dog,1932-03-05,March,Saturday,1932
1337,I Love a Parade,1932-08-06,August,Saturday,1932
1338,Two Seconds,1932-05-28,May,Saturday,1932
1339,The Congress Dances,1932-04-25,April,Monday,1932
1340,Lady with a Past,1932-02-19,February,Friday,1932
1341,Touchdown Mickey,1932-10-14,October,Friday,1932
1342,Hot Saturday,1932-10-28,October,Friday,1932
1343,Tombstone Canyon,1932-12-25,December,Sunday,1932
1344,The Expert,1932-03-05,March,Saturday,1932
1345,The Big Stampede,1932-10-08,October,Saturday,1932
1346,The Rich Are Always with Us,1932-05-21,May,Saturday,1932
1347,Fast Life,1932-12-16,December,Friday,1932
1348,Disorderly Conduct,1932-03-20,March,Sunday,1932
1349,Winner Take All,1932-07-16,July,Saturday,1932
1350,"Fireman, Save My Child",1932-02-20,February,Saturday,1932
1351,The Kid from Spain,1932-11-17,November,Thursday,1932
1352,Without Honors,1932-01-02,January,Saturday,1932
1353,Silver Dollar,1932-12-01,December,Thursday,1932
1354,The Trial of Vivienne Ware,1932-05-01,May,Sunday,1932
1355,The Heart of New York,1932-03-26,March,Saturday,1932
1356,Man Wanted,1932-04-23,April,Saturday,1932
1357,"Betty Boop, M.D.",1932-09-01,September,Thursday,1932
1358,Two-Fisted Law,1932-06-08,June,Wednesday,1932
1359,The Crusader,1932-10-04,October,Tuesday,1932
1360,Roar of the Dragon,1932-07-08,July,Friday,1932
1361,Betty Boop's Museum,1932-12-16,December,Friday,1932
1362,The Conquerors,1932-11-18,November,Friday,1932
1363,Readin' and Writin',1932-02-01,February,Monday,1932
1364,The Wayne Murder Case,1932-11-20,November,Sunday,1932
1365,The Woman from Monte Carlo,1932-01-09,January,Saturday,1932
1366,Central Park,1932-12-10,December,Saturday,1932
1367,Sky Devils,1932-03-12,March,Saturday,1932
1368,The Washington Masquerade,1932-07-09,July,Saturday,1932
1369,A Passport to Hell,1932-10-09,October,Sunday,1932
1370,Union Depot,1932-01-14,January,Thursday,1932
1371,Guilty as Hell,1932-08-05,August,Friday,1932
1372,The Passionate Plumber,1932-02-06,February,Saturday,1932
1373,Secrets of the French Police,1932-12-02,December,Friday,1932
1374,Chess-Nuts,1932-04-12,April,Tuesday,1932
1375,But the Flesh Is Weak,1932-04-09,April,Saturday,1932
1376,Young Bride,1932-04-08,April,Friday,1932
1377,Vanity Street,1932-10-14,October,Friday,1932
1378,Dancers in the Dark,1932-03-11,March,Friday,1932
1379,This Is the Night,1932-04-08,April,Friday,1932
