Movie,Year,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Journey 2: The Mysterious Island,2012,Brad Peyton,"Feb 2, 2012",79000000,103860290,318146162
The Mule,2018,Clint Eastwood,"Dec 14, 2018",50000000,103804407,173671418
Dick Tracy,1990,Warren Beatty,"Jun 15, 1990",47000000,103738726,162738726
Rise of the Guardians,2012,Peter Ramsey,"Nov 20, 2012",145000000,103412758,306900902
Dreamgirls,2006,Bill Condon,"Dec 15, 2006",75000000,103365956,155708695
Independence Day: Resurgence,2016,Roland Emmerich,"Jun 22, 2016",165000000,103144286,384169424
The Expendables,2010,Sylvester Stallone,"Aug 13, 2010",82000000,103068524,268268174
Scream,1996,Wes Craven,"Dec 20, 1996",15000000,103046663,173046663
Jaws 2,1978,Jeannot Szwarc,"Jun 16, 1978",20000000,102922376,208900376
Murder on the Orient Express,2017,Kenneth Branagh,"Nov 3, 2017",55000000,102826543,345922730
Bambi,1942,Clyde Geronimi,"Aug 13, 1942",858000,102797000,268000000
Bambi,1942,Arthur Davis,"Aug 13, 1942",858000,102797000,268000000
Bambi,1942,Norman Wright,"Aug 13, 1942",858000,102797000,268000000
Bambi,1942,Paul Satterfield,"Aug 13, 1942",858000,102797000,268000000
Bambi,1942,Bill Roberts,"Aug 13, 1942",858000,102797000,268000000
Bambi,1942,Graham Heid,"Aug 13, 1942",858000,102797000,268000000
Bambi,1942,David Hand,"Aug 13, 1942",858000,102797000,268000000
Bambi,1942,Samuel Armstrong,"Aug 13, 1942",858000,102797000,268000000
Bambi,1942,James Algar,"Aug 13, 1942",858000,102797000,268000000
The General's Daughter,1999,Simon West,"Jun 18, 1999",60000000,102705852,149705852
The Aviator,2004,Martin Scorsese,"Dec 17, 2004",110000000,102608827,208370892
American Pie,1999,Chris Weitz,"Jul 9, 1999",12000000,101800948,234723148
American Pie,1999,Paul Weitz,"Jul 9, 1999",12000000,101800948,234723148
Daredevil,2003,Mark Steven Johnson,"Feb 14, 2003",80000000,102543518,182782518
The Girl with the Dragon Tattoo,2011,David Fincher,"Dec 20, 2011",90000000,102515793,239373970
The Mummy: Tomb of the Dragon Emperor,2008,Rob Cohen,"Aug 1, 2008",175000000,102491776,405760225
The Maze Runner,2014,Wes Ball,"Sep 11, 2014",34000000,102427862,348319861
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,"Oct 24, 1969",6000000,102308900,102310653
Mary Poppins,1964,Robert Stevenson,"Aug 26, 1964",6000000,102272145,102295122
Annabelle: Creation,2017,David F. Sandberg,"Aug 2, 2017",15000000,102092201,305384865
The Equalizer 2,2018,Antoine Fuqua,"Jul 18, 2018",77000000,102084362,190376181
Jackass Presents: Bad Grandpa,2013,Jeff Tremaine,"Oct 23, 2013",15000000,102003019,160903019
Pacific Rim,2013,Guillermo del Toro,"Jul 11, 2013",190000000,101802906,411002906
Journey to the Center of the Earth,2008,Eric Brevig,"Jul 11, 2008",45000000,101704370,243180937
Gone in 60 Seconds,2000,Dominic Sena,"Jun 9, 2000",103300000,101643008,232643008
The Equalizer,2014,Antoine Fuqua,"Sep 26, 2014",55000000,101530738,192903624
Scream 2,1997,Wes Craven,"Dec 12, 1997",24000000,101363301,172363301
Eraser,1996,Chuck Russell,"Jun 21, 1996",100000000,101295562,234400000
The Prince of Egypt,1998,Simon Wells,"Dec 18, 1998",60000000,101413188,218613188
The Prince of Egypt,1998,Steve Hickner,"Dec 18, 1998",60000000,101413188,218613188
The Prince of Egypt,1998,Brenda Chapman,"Dec 18, 1998",60000000,101413188,218613188
Noah,2014,Darren Aronofsky,"Mar 27, 2014",130000000,101200044,352831065
Unforgiven,1992,Clint Eastwood,"Aug 7, 1992",14400000,101157447,159157447
The Cat in the Hat,2003,Bo Welch,"Nov 21, 2003",109000000,101018283,133818283
Con Air,1997,Simon West,"Jun 6, 1997",80000000,101117573,224117573
Eagle Eye,2008,D.J. Caruso,"Sep 26, 2008",80000000,101440743,180585259
Sleepy Hollow,1999,Tim Burton,"Nov 19, 1999",70000000,101068340,207068340
Rampage,2018,Brad Peyton,"Apr 9, 2018",120000000,101028233,428028233
Collateral,2004,Michael Mann,"Aug 6, 2004",60000000,100170152,217670152
Contact,1997,Robert Zemeckis,"Jul 11, 1997",90000000,100920329,165900000
Charlie's Angels: Full Throttle,2003,McG,"Jun 27, 2003",120000000,100814328,227163273
The Pelican Brief,1993,Alan J. Pakula,"Dec 17, 1993",45000000,100768056,187995859
Vanilla Sky,2001,Cameron Crowe,"Dec 14, 2001",70000000,100614858,202726605
Arrival,2016,Denis Villeneuve,"Nov 9, 2016",47000000,100546139,203127894
Due Date,2010,Todd Phillips,"Nov 5, 2010",65000000,100539043,211739043
The Rugrats Movie,1998,Norton Virgien,"Nov 20, 1998",28000000,100494685,140894685
The Rugrats Movie,1998,Igor Kovalyov,"Nov 20, 1998",28000000,100494685,140894685
Million Dollar Baby,2004,Clint Eastwood,"Dec 15, 2004",30000000,100492203,231928227
A Wrinkle in Time,2018,Ava DuVernay,"Mar 9, 2018",103000000,100478608,133401882
Jumanji,1995,Joe Johnston,"Dec 15, 1995",65000000,100458310,262758310
Step Brothers,2008,Adam McKay,"Jul 25, 2008",65000000,100468793,128468793
Evan Almighty,2007,Tom Shadyac,"Jun 22, 2007",175000000,100289690,174131329
Fifty Shades Freed,2018,James Foley,"Feb 7, 2018",55000000,100407760,371985018
Casper,1995,Brad Silberling,"May 26, 1995",55000000,100328194,282300000
Shakespeare in Love,1998,John Madden,"Dec 11, 1998",26000000,100317794,279500000
Bad Teacher,2011,Jake Kasdan,"Jun 24, 2011",19000000,100292856,215448997
Yogi Bear,2010,Eric Brevig,"Dec 17, 2010",80000000,100246011,204774690
Kingsman: The Golden Circle,2017,Matthew Vaughn,"Sep 19, 2017",104000000,100234838,408803696
Edge of Tomorrow,2014,Doug Liman,"May 28, 2014",178000000,100206256,370541256
The Hunchback of Notre Dame,1996,Kirk Wise,"Jun 21, 1996",100000000,100138851,325500000
The Hunchback of Notre Dame,1996,Gary Trousdale,"Jun 21, 1996",100000000,100138851,325500000
Se7en,1995,David Fincher,"Sep 22, 1995",30000000,100125643,328125643
The Addams Family,2019,Conrad Vernon,"Oct 11, 2019",24000000,97185807,200096428
The Addams Family,2019,Greg Tiernan,"Oct 11, 2019",24000000,97185807,200096428
Passengers,2016,Morten Tyldum,"Dec 21, 2016",110000000,100014699,302239672
Christopher Robin,2018,Marc Forster,"Aug 3, 2018",75000000,99215042,197504758
Hercules,1997,John Musker,"Jun 13, 1997",70000000,99112101,250700000
Hercules,1997,Ron Clements,"Jun 13, 1997",70000000,99112101,250700000
Olympus Has Fallen,2013,Antoine Fuqua,"Mar 20, 2013",70000000,98927592,172878928
The Green Hornet,2011,Michel Gondry,"Jan 14, 2011",110000000,98780042,229155503
Date Night,2010,Shawn Levy,"Apr 9, 2010",55000000,98711404,152269033
The Color Purple,1985,Steven Spielberg,"Dec 18, 1985",15000000,93589701,93589701
Billy Jack,1971,Tom Laughlin,"Jan 1, 1971",800000,98000000,98000000
Yes Man,2008,Peyton Reed,"Dec 19, 2008",50000000,97690976,225990976
Sausage Party,2016,Conrad Vernon,"Aug 10, 2016",19000000,97670358,141344255
Sausage Party,2016,Greg Tiernan,"Aug 10, 2016",19000000,97670358,141344255
Inspector Gadget,1999,David Kellogg,"Jul 23, 1999",75000000,97387965,97387965
Public Enemies,2009,Michael Mann,"Jul 1, 2009",102500000,97104620,212282709
The Social Network,2010,David Fincher,"Oct 1, 2010",40000000,96962694,224922135
The Others,2001,Alejandro Amenábar,"Aug 10, 2001",17000000,96522687,207765056
Legally Blonde,2001,Robert Luketic,"Jul 13, 2001",18000000,96493426,141809235
Panic Room,2002,David Fincher,"Mar 29, 2002",48000000,95308367,196308367
Rocketman,2019,Dexter Fletcher,"May 24, 2019",41000000,96368160,193761394
Dead Poets Society,1989,Peter Weir,"Jun 2, 1989",16400000,95860116,239500000
Zero Dark Thirty,2012,Kathryn Bigelow,"Dec 19, 2012",52500000,95720716,134612435
Cold Mountain,2003,Anthony Minghella,"Dec 25, 2003",80000000,95632614,165173909
Sex and the City 2,2010,Michael Patrick King,"May 27, 2010",95000000,95347692,294680778
The Princess Diaries 2: Royal Engagement,2004,Garry Marshall,"Aug 11, 2004",45000000,95149435,122071435
Unbreakable,2000,M. Night Shyamalan,"Nov 22, 2000",73243106,94999143,248099143
42,2013,Brian Helgeland,"Apr 12, 2013",31000000,95020213,97470701
Flashdance,1983,Adrian Lyne,"Apr 15, 1983",7000000,90463574,201463574
The Book of Eli,2010,Allen Hughes,"Jan 15, 2010",80000000,94835059,158750817
The Book of Eli,2010,Albert Hughes,"Jan 15, 2010",80000000,94835059,158750817
Beverly Hills Chihuahua,2008,Raja Gosnell,"Oct 3, 2008",20000000,94514402,154218168
The Mask of Zorro,1998,Martin Campbell,"Jul 17, 1998",65000000,93828745,233700000
Maid in Manhattan,2002,Wayne Wang,"Dec 13, 2002",55000000,93932896,163838217
He's Just Not That Into You,2009,Ken Kwapis,"Feb 6, 2009",40000000,93953653,181053657
Master and Commander: The Far Side of the World,2003,Peter Weir,"Nov 14, 2003",135000000,93926386,212912137
Flight,2012,Robert Zemeckis,"Nov 2, 2012",31000000,93772375,160558438
The Ten Commandments,1956,Cecil B. DeMille,"Oct 5, 1956",13500000,85400591,85434516
The Fighter,2010,David O. Russell,"Dec 10, 2010",11000000,93617009,129262388
America's Sweethearts,2001,Joe Roth,"Jul 20, 2001",46000000,93607673,160648493
The Bucket List,2007,Rob Reiner,"Dec 25, 2007",45000000,93466502,174807445
Tomorrowland,2015,Brad Bird,"May 20, 2015",170000000,93436322,206627518
The Magnificent Seven,2016,Antoine Fuqua,"Sep 12, 2016",90000000,93432655,162525156
Two Weeks Notice,2002,Marc Lawrence,"Dec 20, 2002",60000000,93354918,199043309
Red Dragon,2002,Brett Ratner,"Oct 4, 2002",78000000,92955420,206455420
Elysium,2013,Neill Blomkamp,"Aug 9, 2013",120000000,93050117,286192091
Flubber,1997,Les Mayfield,"Nov 26, 1997",80000000,92993801,177993801
The Town,2010,Ben Affleck,"Sep 17, 2010",37000000,92186262,152566881
Non-Stop,2014,Jaume Collet-Serra,"Feb 28, 2014",50000000,91742160,222383055
The Client,1994,Joel Schumacher,"Jul 20, 1994",45000000,92115211,117615211
Blade Runner 2049,2017,Denis Villeneuve,"Sep 29, 2017",185000000,92054159,259349919
Star Trek: First Contact,1996,Jonathan Frakes,"Nov 22, 1996",46000000,92027888,150000000
Think Like a Man,2012,Tim Story,"Apr 20, 2012",12000000,91547205,113373764
Kindergarten Cop,1990,Ivan Reitman,"Dec 21, 1990",26000000,91457688,202000000
The Haunting,1999,Jan de Bont,"Jul 23, 1999",80000000,91188905,180188905
Crimson Tide,1995,Tony Scott,"May 12, 1995",55000000,91387195,159387195
Ride Along 2,2016,Tim Story,"Jan 14, 2016",40000000,90862685,124827316
Stepmom,1998,Chris Columbus,"Dec 25, 1998",50000000,91137662,159745279
The Imitation Game,2014,Morten Tyldum,"Nov 14, 2014",15000000,91125143,227740463
Save the Last Dance,2001,Thomas Carter,"Jan 12, 2001",13000000,91038276,122244329
The Scorpion King,2002,Chuck Russell,"Apr 18, 2002",60000000,90580000,165890634
The Karate Kid,1984,John G. Avildsen,"Jun 22, 1984",8000000,90815558,90815558
Antz,1998,Tim Johnson,"Oct 2, 1998",60000000,90757863,152457863
Antz,1998,Eric Darnell,"Oct 2, 1998",60000000,90757863,152457863
Scary Movie 4,2006,David Zucker,"Apr 14, 2006",40000000,90710620,178710620
The Game Plan,2007,Andy Fickman,"Sep 28, 2007",22000000,90648202,146590987
Space Cowboys,2000,Clint Eastwood,"Aug 4, 2000",65000000,90454043,128874043
Space Jam,1996,Joe Pytka,"Nov 15, 1996",80000000,90463534,250180384
Get Hard,2015,Etan Cohen,"Mar 26, 2015",40000000,90411453,106511453
Mystic River,2003,Clint Eastwood,"Oct 8, 2003",30000000,90135191,156822020
Flightplan,2005,Robert Schwentke,"Sep 23, 2005",55000000,89706988,214392904
The Emperor's New Groove,2000,Mark Dindal,"Dec 15, 2000",100000000,89296573,169296573
The Lone Ranger,2013,Gore Verbinski,"Jul 2, 2013",225000000,89302115,260002115
Scream 3,2000,Wes Craven,"Feb 4, 2000",40000000,89138076,161838076
Oblivion,2013,Joseph Kosinski,"Apr 19, 2013",120000000,89107235,287916633
The Ugly Truth,2009,Robert Luketic,"Jul 24, 2009",38000000,88915214,205298907
Failure to Launch,2006,Tom Dey,"Mar 10, 2006",50000000,88715192,128402901
The Muppets,2011,James Bobin,"Nov 23, 2011",45000000,88625922,160971922
Inside Man,2006,Spike Lee,"Mar 24, 2006",50000000,88634237,185798265
Waterworld,1995,Kevin Reynolds,"Jul 28, 1995",175000000,88246220,264246220
Along Came Polly,2004,John Hamburg,"Jan 16, 2004",42000000,88073507,173044410
Back to the Future Part III,1990,Robert Zemeckis,"May 24, 1990",40000000,88055283,244088654
Entrapment,1999,Jon Amiel,"Apr 30, 1999",66000000,87707396,211700000
Peter Pan,1953,Jack Kinney,"Feb 5, 1953",4000000,87400000,87400000
Peter Pan,1953,Hamilton Luske,"Feb 5, 1953",4000000,87400000,87400000
Peter Pan,1953,Wilfred Jackson,"Feb 5, 1953",4000000,87400000,87400000
Peter Pan,1953,Clyde Geronimi,"Feb 5, 1953",4000000,87400000,87400000
Pineapple Express,2008,David Gordon Green,"Aug 6, 2008",26000000,87341380,102404019
Out of Africa,1985,Sydney Pollack,"Dec 18, 1985",31000000,79096868,258210860
Sisters,2015,Jason Moore,"Dec 18, 2015",30000000,87044645,106030660
Saw II,2005,Darren Lynn Bousman,"Oct 28, 2005",5000000,87025093,152925093
The Campaign,2012,Jay Roach,"Aug 10, 2012",95000000,86907746,104907746
Young Frankenstein,1974,Mel Brooks,"Dec 15, 1974",2800000,86300000,86300000
The Accountant,2016,Gavin O'Connor,"Oct 11, 2016",40000000,86260045,152962083
Dumb and Dumber To,2014,Peter Farrelly,"Nov 13, 2014",40000000,86208010,156553592
Dumb and Dumber To,2014,Bobby Farrelly,"Nov 13, 2014",40000000,86208010,156553592
The Emoji Movie,2017,Tony Leondis,"Jul 26, 2017",50000000,86089513,216564840
Mean Girls,2004,Mark Waters,"Apr 30, 2004",18000000,86047227,130724541
Annie,2014,Will Gluck,"Dec 18, 2014",65000000,85911262,139829625
Alvin and the Chipmunks: The Road Chip,2015,Walt Becker,"Dec 18, 2015",90000000,85886987,249517956
Fury,2014,David Ayer,"Oct 17, 2014",80000000,85817906,210315681
Alita: Battle Angel,2019,Robert Rodriguez,"Feb 1, 2019",170000000,85710210,401779739
Real Steel,2011,Shawn Levy,"Oct 7, 2011",110000000,85463309,263880341
Power Rangers,2017,Dean Israelite,"Mar 24, 2017",120000000,85364450,142531552
Stripes,1981,Ivan Reitman,"Jun 26, 1981",10000000,85300000,85300000
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,"Jul 9, 2004",25000000,84136909,89476265
Aliens,1986,James Cameron,"Jul 18, 1986",17000000,85160248,183316455
Open Season,2006,Anthony Stacchi,"Sep 29, 2006",85000000,85105259,191932158
Open Season,2006,Jill Culton,"Sep 29, 2006",85000000,85105259,191932158
Open Season,2006,Roger Allers,"Sep 29, 2006",85000000,85105259,191932158
Green Book,2018,Peter Farrelly,"Nov 16, 2018",23000000,85080171,319543432
The Expendables 2,2012,Simon West,"Aug 15, 2012",100000000,85028192,311979256
Cinderella,1950,Hamilton Luske,"Feb 15, 1950",2900000,85000000,263591415
Cinderella,1950,Wilfred Jackson,"Feb 15, 1950",2900000,85000000,263591415
Cinderella,1950,Clyde Geronimi,"Feb 15, 1950",2900000,85000000,263591415
Paranormal Activity 2,2010,Tod Williams,"Oct 20, 2010",3000000,84752907,177512032
Tammy,2014,Ben Falcone,"Jul 2, 2014",20000000,84525432,96407655
Ferdinand,2017,Carlos Saldanha,"Dec 8, 2017",111000000,84410380,289838913
"Crazy, Stupid, Love",2011,John Requa,"Jul 29, 2011",50000000,84351197,147142328
"Crazy, Stupid, Love",2011,Glenn Ficarra,"Jul 29, 2011",50000000,84351197,147142328
Annabelle,2014,John R. Leonetti,"Oct 3, 2014",6500000,84273813,256862920
Pinocchio,1940,Ben Sharpsteen,"Feb 9, 1940",2289247,84300000,84300000
Pinocchio,1940,Bill Roberts,"Feb 9, 1940",2289247,84300000,84300000
Pinocchio,1940,Hamilton Luske,"Feb 9, 1940",2289247,84300000,84300000
Pinocchio,1940,Jack Kinney,"Feb 9, 1940",2289247,84300000,84300000
Pinocchio,1940,Wilfred Jackson,"Feb 9, 1940",2289247,84300000,84300000
Pinocchio,1940,T. Hee,"Feb 9, 1940",2289247,84300000,84300000
Pinocchio,1940,Norman Ferguson,"Feb 9, 1940",2289247,84300000,84300000
Scooby-Doo 2: Monsters Unleashed,2004,Raja Gosnell,"Mar 26, 2004",25000000,84185387,180856996
Atlantis: The Lost Empire,2001,Kirk Wise,"Jun 8, 2001",90000000,84052762,186049020
Atlantis: The Lost Empire,2001,Gary Trousdale,"Jun 8, 2001",90000000,84052762,186049020
Cliffhanger,1993,Renny Harlin,"May 28, 1993",65000000,84049211,255000000
The Other Woman,2014,Nick Cassavetes,"Apr 23, 2014",40000000,83911193,195111193
Up in the Air,2009,Jason Reitman,"Dec 4, 2009",30000000,83823381,166842739
Wrath of the Titans,2012,Jonathan Liebesman,"Mar 28, 2012",150000000,83670083,305270083
Immortals,2011,Tarsem Singh,"Nov 11, 2011",75000000,83504017,211562435
I Can Only Imagine,2018,Jon Erwin,"Mar 16, 2018",7000000,83482352,85773649
I Can Only Imagine,2018,Andrew Erwin,"Mar 16, 2018",7000000,83482352,85773649
Apocalypse Now,1979,Francis Ford Coppola,"Aug 15, 1979",31500000,83471511,85915846
Airplane!,1980,Jerry Zucker,"Jul 4, 1980",3500000,83453539,83453539
Airplane!,1980,David Zucker,"Jul 4, 1980",3500000,83453539,83453539
Airplane!,1980,Jim Abrahams,"Jul 4, 1980",3500000,83453539,83453539
Penguins of Madagascar,2014,Simon J. Smith,"Nov 26, 2014",132000000,83350911,366942531
Penguins of Madagascar,2014,Eric Darnell,"Nov 26, 2014",132000000,83350911,366942531
Saving Mr. Banks,2013,John Lee Hancock,"Nov 29, 2013",35000000,83299761,114962525
Patriot Games,1992,Phillip Noyce,"Jun 5, 1992",45000000,83287363,178100000
Smallfoot,2018,Jason Reisig,"Sep 21, 2018",80000000,83240103,213682073
Smallfoot,2018,Karey Kirkpatrick,"Sep 21, 2018",80000000,83240103,213682073
Valkyrie,2008,Bryan Singer,"Dec 25, 2008",90000000,83107829,203932174
Brokeback Mountain,2005,Ang Lee,"Dec 9, 2005",13900000,83043761,176980863
Turbo,2013,David Soren,"Jul 17, 2013",135000000,83028130,286896578
Disclosure,1994,Barry Levinson,"Dec 9, 1994",55000000,83015089,212200000
Die Hard,1988,John McTiernan,"Jul 15, 1988",28000000,81350242,139109346
Charlotte's Web,2006,Gary Winick,"Dec 15, 2006",82500000,82985708,143985708
Monster-in-Law,2005,Robert Luketic,"May 13, 2005",45000000,82931301,155931301
Are We There Yet?,2005,Brian Levant,"Jan 21, 2005",20000000,82674398,98114471
Days of Thunder,1990,Tony Scott,"Jun 27, 1990",60000000,82670733,157670733
Freddy vs. Jason,2003,Ronny Yu,"Aug 15, 2003",25000000,82622655,114576403
The Descendants,2011,Alexander Payne,"Nov 16, 2011",20000000,82624961,175507800
Cheaper by the Dozen 2,2005,Adam Shankman,"Dec 21, 2005",60000000,82571173,135015330
Fried Green Tomatoes,1991,Jon Avnet,"Dec 27, 1991",11000000,81204830,81204830
Bridge to Terabithia,2007,Gabor Csupo,"Feb 16, 2007",25000000,82234139,137984788
Star Trek: The Motion Picture,1979,Robert Wise,"Dec 7, 1979",35000000,82258456,139000000
The Pink Panther,2006,Shawn Levy,"Feb 10, 2006",80000000,82226474,158926474
Beowulf,2007,Robert Zemeckis,"Nov 16, 2007",150000000,82280579,195080579
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Dave Green,"Jun 2, 2016",135000000,82051601,245328374
The Post,2017,Steven Spielberg,"Dec 22, 2017",50000000,81903458,179769457
Maze Runner: The Scorch Trials,2015,Wes Ball,"Sep 9, 2015",61000000,81697192,310566162
Heaven Can Wait,1978,Buck Henry,"Jun 28, 1978",15000000,98800000,98800000
Heaven Can Wait,1978,Warren Beatty,"Jun 28, 1978",15000000,98800000,98800000
Eight Below,2006,Frank Marshall,"Feb 17, 2006",40000000,81612565,120455994
Unstoppable,2010,Tony Scott,"Nov 12, 2010",95000000,81562942,165720921
Payback,1999,Brian Helgeland,"Feb 5, 1999",50000000,81526121,161626121
Ted 2,2015,Seth MacFarlane,"Jun 25, 2015",68000000,81476385,217214143
The Talented Mr. Ripley,1999,Anthony Minghella,"Dec 24, 1999",40000000,81292135,128792135
School of Rock,2003,Richard Linklater,"Oct 3, 2003",20000000,81261177,131944672
Police Academy,1984,Hugh Wilson,"Mar 23, 1984",4500000,81198894,81198894
Snow Dogs,2002,Brian Levant,"Jan 18, 2002",32000000,81150692,116898028
21,2008,Robert Luketic,"Mar 28, 2008",35000000,81159365,159846429
Congo,1995,Frank Marshall,"Jun 9, 1995",50000000,81022333,152022333
The Notebook,2004,Nick Cassavetes,"Jun 25, 2004",30000000,81001787,116025023
Jimmy Neutron: Boy Genius,2001,John A. Davis,"Dec 21, 2001",25000000,80936232,102992536
Eat Pray Love,2010,Ryan Murphy,"Aug 13, 2010",60000000,80574010,206598789
The Texas Chainsaw Massacre,2003,Marcus Nispel,"Oct 17, 2003",9000000,80571655,107967319
Hustlers,2019,Lorene Scafaria,"Sep 12, 2019",20700000,104963598,150472713
Fiddler on the Roof,1971,Norman Jewison,"Jan 1, 1971",9000000,80500000,80500000
Zookeeper,2011,Frank Coraci,"Jul 8, 2011",80000000,80360866,170805525
The Dukes of Hazzard,2005,Jay Chandrasekhar,"Aug 5, 2005",53000000,80270227,109848461
Saw III,2006,Darren Lynn Bousman,"Oct 27, 2006",10000000,80238724,163876815
Disturbia,2007,D.J. Caruso,"Apr 13, 2007",20000000,80818974,118537627
Nacho Libre,2006,Jared Hess,"Jun 16, 2006",32000000,80197993,99296462
Jumper,2008,Doug Liman,"Feb 14, 2008",82500000,80172128,222640812
The Mummy,2017,Alex Kurtzman,"Jun 2, 2017",195000000,80101125,409953905
Goosebumps,2015,Rob Letterman,"Oct 14, 2015",58000000,80069458,158905324
Jack Reacher,2012,Christopher McQuarrie,"Dec 20, 2012",60000000,80070736,217370736
Cloverfield,2008,Matt Reeves,"Jan 18, 2008",25000000,80048433,171302226
Footloose,1984,Herbert Ross,"Feb 17, 1984",8200000,80000000,80003527
Dear John,2010,Lasse Hallström,"Feb 5, 2010",25000000,80014842,142033509
Men in Black: International,2019,F. Gary Gray,"Jun 12, 2019",110000000,80001807,252994560
Knowing,2009,Alex Proyas,"Mar 20, 2009",50000000,79957634,186450317
War Horse,2011,Steven Spielberg,"Dec 25, 2011",70000000,79883359,156815529
The Golden Child,1986,Michael Ritchie,"Dec 12, 1986",12000000,79817937,79817937
Dark Shadows,2012,Tim Burton,"May 9, 2012",150000000,79727149,238202668
WarGames,1983,John Badham,"Jun 3, 1983",12000000,74433837,74433837
The Day the Earth Stood Still,2008,Scott Derrickson,"Dec 12, 2008",80000000,79366978,237370350
Limitless,2011,Neil Burger,"Mar 18, 2011",27000000,79249455,155564919
The Purge: Election Year,2016,James DeMonaco,"Jul 1, 2016",10000000,79042440,118514727
Cape Fear,1991,Martin Scorsese,"Nov 15, 1991",35000000,79091969,182291969
Star Trek II: The Wrath of Khan,1982,Nicholas Meyer,"Jun 4, 1982",12000000,78912963,95800000
Alien,1979,Ridley Scott,"May 25, 1979",10700000,80930630,203628947
Pixels,2015,Chris Columbus,"Jul 16, 2015",90000000,78765986,244041804
City of Angels,1998,Brad Silberling,"Apr 10, 1998",55000000,78750909,198750909
The English Patient,1996,Anthony Minghella,"Nov 15, 1996",35000000,78716374,231710008
We Were Soldiers,2002,Randall Wallace,"Mar 1, 2002",70000000,78120196,114658262
Tower Heist,2011,Brett Ratner,"Nov 4, 2011",85000000,78046570,150422946
The Monuments Men,2014,George Clooney,"Feb 7, 2014",70000000,78031620,158702748
Man on Fire,2004,Tony Scott,"Apr 23, 2004",60000000,77906816,130968579
The Terminal,2004,Steven Spielberg,"Jun 18, 2004",75000000,77073959,218673959
Gangs of New York,2002,Martin Scorsese,"Dec 20, 2002",97000000,77730500,183124621
Free Willy,1993,Simon Wincer,"Jul 16, 1993",20000000,77698625,153698625
The Adventures of Tintin,2011,Steven Spielberg,"Oct 28, 2011",130000000,77591831,373993951
Night School,2018,Malcolm D. Lee,"Sep 26, 2018",29000000,77339130,103113446
Philadelphia,1993,Jonathan Demme,"Dec 22, 1993",26000000,77324422,201324422
Parental Guidance,2012,Andy Fickman,"Dec 25, 2012",25000000,77267296,120832383
Where the Wild Things Are,2009,Spike Jonze,"Oct 16, 2009",100000000,77233467,99123656
The A-Team,2010,Joe Carnahan,"Jun 11, 2010",110000000,77222099,177241171
U-571,2000,Jonathan Mostow,"Apr 21, 2000",62000000,77086030,127630030
Dolittle,2020,Stephen Gaghan,"Jan 8, 2020",175000000,77047065,228190365
Alice Through the Looking Glass,2016,James Bobin,"May 20, 2016",170000000,77042381,276928112
27 Dresses,2008,Anne Fletcher,"Jan 18, 2008",30000000,76808654,160247805
The Muppet Movie,1979,James Frawley,"Jun 22, 1979",8000000,76657000,76657000
Training Day,2001,Antoine Fuqua,"Oct 5, 2001",45000000,76261036,104505362
Poltergeist,1982,Tobe Hooper,"Jun 4, 1982",10700000,74706019,121706019
Star Trek III: The Search for Spock,1984,Leonard Nimoy,"Jun 1, 1984",18000000,76471046,87000000
Knight and Day,2010,James Mangold,"Jun 23, 2010",117000000,76423035,258751370
Fantasia,1940,Ben Sharpsteen,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,Paul Satterfield,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,Bill Roberts,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,Hamilton Luske,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,Wilfred Jackson,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,T. Hee,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,Jim Handley,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,David Hand,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,Norman Ferguson,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,Ford Beebe Jr.,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,Samuel Armstrong,"Nov 13, 1940",2280000,83320000,83320000
Fantasia,1940,James Algar,"Nov 13, 1940",2280000,83320000,83320000
Paddington,2014,Paul King,"Nov 28, 2014",55000000,76223578,258787216
The Untouchables,1987,Brian De Palma,"Jun 3, 1987",25000000,76270454,76270454
The Ring Two,2005,Hideo Nakata,"Mar 18, 2005",50000000,75941727,161941727
Conspiracy Theory,1997,Richard Donner,"Aug 8, 1997",80000000,76118990,142783718
Constantine,2005,Francis Lawrence,"Feb 18, 2005",75000000,75976178,221594911
The Haunted Mansion,2003,Rob Minkoff,"Nov 26, 2003",90000000,75817994,155750628
The Family Man,2000,Brett Ratner,"Dec 22, 2000",60000000,75764085,124715863
Barbershop,2002,Tim Story,"Sep 13, 2002",12000000,75781642,77063461
The Intern,2015,Nancy Meyers,"Sep 24, 2015",40000000,75764672,197115710
Hellboy II: The Golden Army,2008,Guillermo del Toro,"Jul 11, 2008",82500000,75986503,160388063
Star Trek: Generations,1994,David Carson,"Nov 18, 1994",38000000,75671262,120000000
