,film_name,film_year,awards_won,awards_nominated,win_rate
634,Dersu Uzala,1975,1,1,1.0
635,The End of the Game,1975,1,1,1.0
636,Great (Great (Isambard Kingdom Brunel)),1975,1,1,1.0
637,The Man Who Skied Down Everest,1975,1,1,1.0
638,The Hindenburg,1975,0,3,0.0
639,The Godfather Part II,1974,6,11,0.545
640,The Towering Inferno,1974,3,8,0.375
641,The Great Gatsby,1974,2,2,1.0
642,Chinatown,1974,1,11,0.091
643,Murder on the Orient Express,1974,1,6,0.167
644,Earthquake,1974,1,4,0.25
645,Alice Doesn't Live Here Anymore,1974,1,3,0.333
646,Amarcord,1974,1,3,0.333
647,Harry and Tonto,1974,1,2,0.5
648,Closed Mondays,1974,1,1,1.0
649,Don't,1974,1,1,1.0
650,Hearts and Minds,1974,1,1,1.0
651,"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1974,1,1,1.0
652,The Sting,1973,7,10,0.7
653,The Exorcist,1973,2,10,0.2
654,The Way We Were,1973,2,6,0.333
655,Cries and Whispers (Viskningar och rop),1973,1,5,0.2
656,A Touch of Class,1973,1,5,0.2
657,Day for Night (La Nuit américaine),1973,1,4,0.25
658,Paper Moon,1973,1,4,0.25
659,The Paper Chase,1973,1,3,0.333
660,Save the Tiger,1973,1,3,0.333
661,The Bolero,1973,1,1,1.0
662,Frank Film,1973,1,1,1.0
663,The Great American Cowboy,1973,1,1,1.0
664,Princeton: A Search for Answers,1973,1,1,1.0
665,The Godfather,1972,3,10,0.3
666,Cabaret,1972,8,10,0.8
667,The Poseidon Adventure,1972,1,8,0.125
668,Travels with My Aunt,1972,1,4,0.25
669,Butterflies Are Free,1972,1,3,0.333
670,The Candidate,1972,1,2,0.5
671,The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie),1972,1,2,0.5
672,A Christmas Carol,1972,1,1,1.0
673,Limelight,1972,1,1,1.0
674,Marjoe,1972,1,1,1.0
675,Norman Rockwell's World... An American Dream,1972,1,1,1.0
676,This Tiny World,1972,1,1,1.0
677,The French Connection,1971,5,8,0.625
678,Fiddler on the Roof,1971,3,8,0.375
679,The Last Picture Show,1971,2,8,0.25
680,Nicholas and Alexandra,1971,2,6,0.333
681,Sentinels of Silence,1971,2,2,1.0
682,Bedknobs and Broomsticks,1971,1,5,0.2
683,Summer of '42,1971,1,4,0.25
684,The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini),1971,1,2,0.5
685,The Hospital,1971,1,2,0.5
686,Klute,1971,1,2,0.5
687,Shaft,1971,1,2,0.5
688,The Crunch Bird,1971,1,1,1.0
689,The Hellstrom Chronicle,1971,1,1,1.0
690,Patton,1970,7,10,0.7
691,Ryan's Daughter,1970,2,4,0.5
692,Airport,1970,1,10,0.1
693,Love Story,1970,1,7,0.143
694,M*A*S*H,1970,1,5,0.2
695,Tora! Tora! Tora!,1970,1,5,0.2
696,Women in Love,1970,1,4,0.25
697,Lovers and Other Strangers,1970,1,3,0.333
698,Woodstock,1970,1,3,0.333
699,Cromwell,1970,1,2,0.5
700,Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1970,1,2,0.5
701,Interviews with My Lai Veterans,1970,1,1,1.0
702,Is It Always Right to Be Right?,1970,1,1,1.0
703,Let It Be,1970,1,1,1.0
704,The Resurrection of Broncho Billy,1970,1,1,1.0
705,Midnight Cowboy,1969,3,7,0.429
706,Butch Cassidy and the Sundance Kid,1969,4,7,0.571
707,"Hello, Dolly!",1969,3,7,0.429
708,Z,1969,2,5,0.4
709,Anne of the Thousand Days,1969,1,10,0.1
710,"They Shoot Horses, Don't They?",1969,1,9,0.111
711,Marooned,1969,1,3,0.333
712,The Magic Machines,1969,1,2,0.5
713,The Prime of Miss Jean Brodie,1969,1,2,0.5
714,True Grit,1969,1,2,0.5
715,Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein),1969,1,1,1.0
716,Cactus Flower,1969,1,1,1.0
717,Czechoslovakia 1968,1969,1,1,1.0
718,It's Tough to Be a Bird,1969,1,1,1.0
719,Oliver!,1968,5,11,0.455
720,The Lion in Winter,1968,3,7,0.429
721,Romeo and Juliet,1968,2,4,0.5
722,Funny Girl,1968,1,8,0.125
723,2001: A Space Odyssey,1968,1,4,0.25
724,Bullitt,1968,1,2,0.5
725,The Producers,1967,1,2,0.5
726,Rosemary's Baby,1968,1,2,0.5
727,The Subject Was Roses,1968,1,2,0.5
728,The Thomas Crown Affair,1968,1,2,0.5
729,War and Peace (Voyna i mir),1968,1,2,0.5
730,Charly,1968,1,1,1.0
731,Journey into Self,1968,1,1,1.0
732,Robert Kennedy Remembered,1968,1,1,1.0
733,Why Man Creates,1968,1,1,1.0
734,Winnie the Pooh and the Blustery Day,1968,1,1,1.0
735,Planet of the Apes,1968,0,2,0.0
736,In the Heat of the Night,1967,5,7,0.714
737,Camelot,1967,3,5,0.6
738,Bonnie and Clyde,1967,2,10,0.2
739,Guess Who's Coming to Dinner,1967,2,10,0.2
740,Doctor Dolittle,1967,2,9,0.222
741,The Graduate,1967,1,7,0.143
742,Thoroughly Modern Millie,1967,1,7,0.143
743,Cool Hand Luke,1967,1,4,0.25
744,The Dirty Dozen,1967,1,4,0.25
745,A Place to Stand,1967,1,2,0.5
746,The Anderson Platoon (La Section Anderson),1967,1,1,1.0
747,The Box,1967,1,1,1.0
748,Closely Watched Trains (Ostre sledované vlaky),1967,1,1,1.0
749,The Redwoods,1967,1,1,1.0
750,A Man for All Seasons,1966,6,8,0.75
751,Who's Afraid of Virginia Woolf?,1966,5,13,0.385
752,Grand Prix,1966,3,3,1.0
753,Fantastic Voyage,1966,2,5,0.4
754,A Man and a Woman,1966,2,4,0.5
755,Born Free,1966,2,2,1.0
756,The Fortune Cookie,1966,1,4,0.25
757,A Funny Thing Happened on the Way to the Forum,1966,1,1,1.0
758,A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1,1.0
759,The War Game,1966,1,1,1.0
760,Wild Wings,1966,1,1,1.0
761,A Year Toward Tomorrow,1966,1,1,1.0
762,The Sound of Music,1965,5,10,0.5
763,Doctor Zhivago,1965,5,10,0.5
764,Darling,1965,3,5,0.6
765,Ship of Fools,1965,2,8,0.25
766,Cat Ballou,1965,1,5,0.2
767,The Great Race,1965,1,5,0.2
768,A Patch of Blue,1965,1,5,0.2
769,A Thousand Clowns,1965,1,4,0.25
770,The Shop on Main Street (Obchod na korze),1965,1,2,0.5
771,The Sandpiper,1965,1,1,1.0
772,The Eleanor Roosevelt Story,1965,1,1,1.0
773,To Be Alive!,1965,1,1,1.0
774,7th Heaven,1927,3,5,0.6
775,"20,000 Leagues Under the Sea",1954,2,3,0.667
776,Adventures of Don Juan,1949,1,2,0.5
777,The Adventures of Robin Hood,1938,3,4,0.75
778,The African Queen,1951,1,4,0.25
779,Air Force,1943,1,4,0.25
780,The Alamo,1960,1,7,0.143
781,The Alaskan Eskimo,1953,1,1,1.0
782,Albert Schweitzer,1957,1,1,1.0
783,Alexander's Ragtime Band,1938,1,6,0.167
784,All About Eve,1950,6,14,0.429
785,All Quiet on the Western Front,1929,2,4,0.5
786,All That Money Can Buy,1941,1,2,0.5
787,All the King's Men,1949,3,7,0.429
788,Ama Girls,1958,1,1,1.0
789,America America,1963,1,4,0.25
790,An American in Paris,1951,6,8,0.75
791,Amphibious Fighters,1943,1,1,1.0
792,Anastasia,1956,1,2,0.5
793,Anchors Aweigh,1945,1,5,0.2
794,Anna and the King of Siam,1946,2,5,0.4
795,Annie Get Your Gun,1950,1,4,0.25
796,Anthony Adverse,1936,4,7,0.571
797,The Apartment,1960,5,10,0.5
798,Aquatic House Party,1949,1,1,1.0
799,"Arise, My Love",1940,1,4,0.25
800,Around the World in 80 Days,1956,5,8,0.625
801,The Awful Truth,1937,1,6,0.167
802,The Bachelor and the Bobby-Soxer,1947,1,1,1.0
803,The Bad and the Beautiful,1952,5,6,0.833
804,Bad Girl,1931,2,3,0.667
805,The Barefoot Contessa,1954,1,2,0.5
806,The Battle of Midway,1942,1,1,1.0
807,Battleground,1949,2,6,0.333
808,Bear Country,1953,1,1,1.0
809,Becket,1964,1,12,0.083
810,The Bells of St. Mary's,1945,1,8,0.125
811,Ben-Hur,1959,1,12,0.083
812,Benjy,1951,1,1,1.0
813,The Bespoke Overcoat,1956,1,1,1.0
814,The Best Years of Our Lives,1946,7,8,0.875
815,Beyond the Line of Duty,1942,1,1,1.0
816,Bicycle Thieves,1949,0,1,0.0
817,The Big Broadcast of 1938,1938,1,1,1.0
818,The Big Country,1958,1,2,0.5
819,The Big House,1929,2,4,0.5
820,Bill and Coo,1948,0,0,
821,Birds Anonymous,1957,1,1,1.0
822,The Bishop's Wife,1947,1,5,0.2
823,Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox),1962,1,1,1.0
824,Black Narcissus,1947,2,2,1.0
825,Black Orpheus (Orfeu Negro),1959,1,1,1.0
826,The Black Swan,1942,1,3,0.333
827,Blithe Spirit,1946,1,1,1.0
828,Blood and Sand,1941,1,2,0.5
829,Blood on the Sun,1945,1,1,1.0
830,Blossoms in the Dust,1941,1,4,0.25
831,Body and Soul,1947,1,3,0.333
832,Bored of Education,1936,1,1,1.0
833,Born Yesterday,1950,1,5,0.2
834,A Boy and His Dog,1946,1,1,1.0
835,Boys Town,1938,2,5,0.4
836,The Brave One,1956,1,3,0.333
837,Breakfast at Tiffany's,1961,2,5,0.4
838,Breaking the Sound Barrier,1952,1,2,0.5
839,The Bridge of San Luis Rey,1928,1,1,1.0
840,The Bridge on the River Kwai,1957,7,8,0.875
841,The Bridges at Toko-Ri,1955,1,2,0.5
842,Broadway Melody of 1936,1935,1,3,0.333
843,The Broadway Melody,1928,1,3,0.333
844,Broken Lance,1954,1,2,0.5
845,Busy Little Bears,1939,1,1,1.0
846,BUtterfield 8,1960,1,2,0.5
847,Calamity Jane,1953,1,3,0.333
848,Call Me Madam,1953,1,2,0.5
849,"Captain Carey, U.S.A.",1950,1,1,1.0
850,Captains Courageous,1937,1,4,0.25
851,Casablanca,1943,3,8,0.375
852,Casals Conducts: 1964,1964,1,1,1.0
853,The Cat Concerto,1946,1,1,1.0
854,Cavalcade,1932,3,4,0.75
855,Chagall,1963,1,1,1.0
856,The Champ,1931,2,4,0.5
857,Champion,1949,1,6,0.167
858,A Chance to Live,1949,1,1,1.0
859,The Charge of the Light Brigade,1936,1,3,0.333
860,The Chicken (Le Poulet),1965,1,1,1.0
861,Churchill's Island,1941,1,1,1.0
862,Cimarron,1930,3,7,0.429
863,The Circus,1927,0,0,
864,Citizen Kane,1941,1,9,0.111
865,City of Wax,1934,1,1,1.0
866,Cleopatra,1934,1,5,0.2
867,Cleopatra,1963,4,9,0.444
868,Climbing the Matterhorn,1947,1,1,1.0
869,Come and Get It,1936,1,2,0.5
870,"Come Back, Little Sheba",1952,1,3,0.333
871,Coquette,1928,1,1,1.0
872,The Country Cousin,1936,1,1,1.0
873,The Country Girl,1954,2,7,0.286
874,Cover Girl,1944,1,5,0.2
875,The Cowboy and the Lady,1938,1,3,0.333
876,Crash Dive,1943,1,1,1.0
877,Crashing the Water Barrier,1956,1,1,1.0
878,The Critic,1963,1,1,1.0
879,La Cucaracha,1934,1,1,1.0
880,Cyrano de Bergerac,1950,1,1,1.0
881,A Damsel in Distress,1937,1,2,0.5
882,Dangerous,1935,1,1,1.0
883,The Dark Angel,1935,1,3,0.333
884,The Dawn Patrol,1930,1,1,1.0
885,Day of the Painter,1960,1,1,1.0
886,Daybreak in Udi,1949,1,1,1.0
887,Days of Wine and Roses,1962,1,5,0.2
888,December 7th,1943,1,1,1.0
889,Declaration of Independence,1938,1,1,1.0
890,The Defiant Ones,1958,2,9,0.222
891,Der Fuehrer's Face,1942,1,1,1.0
892,Desert Victory,1943,1,1,1.0
893,Design for Death,1947,1,1,1.0
894,Designing Woman,1957,1,1,1.0
895,Destination Moon,1950,1,2,0.5
896,The Diary of Anne Frank,1959,3,8,0.375
897,Disraeli,1929,1,3,0.333
898,The Divine Lady,1928,1,3,0.333
899,Divorce Italian Style,1962,1,3,0.333
900,The Divorcee,1929,1,4,0.25
901,Dodsworth,1936,1,7,0.143
902,The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics),1965,1,1,1.0
903,A Double Life,1947,2,4,0.5
904,The Dove,1927,1,1,1.0
905,Dr. Jekyll and Mr. Hyde,1931,1,3,0.333
906,Dumbo,1941,1,2,0.5
907,Dylan Thomas,1962,1,1,1.0
908,East of Eden,1955,1,4,0.25
909,Easter Parade,1948,1,1,1.0
910,Elmer Gantry,1960,3,5,0.6
911,The Enemy Below,1957,1,1,1.0
912,Eskimo,1934,1,1,1.0
913,Exodus,1960,1,3,0.333
914,The Face of Lincoln,1955,1,2,0.5
915,Facing Your Danger,1946,1,1,1.0
916,The Facts of Life,1960,1,5,0.2
917,Fantasia,1940,0,0,
918,A Farewell to Arms,1932,2,4,0.5
919,The Farmer's Daughter,1947,1,2,0.5
920,Father Goose,1964,1,3,0.333
921,Federico Fellini's 8½,1963,2,5,0.4
922,Ferdinand the Bull,1938,1,1,1.0
923,The Fighting Lady,1944,1,1,1.0
924,First Steps,1947,1,1,1.0
925,Flowers and Trees,1931,1,1,1.0
926,Folies Bergere,1935,1,1,1.0
927,For Scent-imental Reasons,1949,1,1,1.0
928,For Whom the Bell Tolls,1943,1,9,0.111
929,Forbidden Games,1952,0,1,0.0
930,A Force in Readiness,1961,0,0,
931,A Free Soul,1930,1,3,0.333
932,Frenchman's Creek,1945,1,1,1.0
933,From Here to Eternity,1953,8,13,0.615
934,The Garden of Allah,1936,0,2,0.0
935,Gaslight,1944,2,7,0.286
936,Gate of Hell (Jigokumon),1954,1,1,1.0
937,The Gay Divorcee,1934,1,5,0.2
938,Gentleman's Agreement,1947,3,8,0.375
939,Gerald McBoing-Boing,1950,1,1,1.0
940,Giant,1956,1,10,0.1
941,Gigi,1958,9,9,1.0
942,Giuseppina,1960,1,1,1.0
943,Give Me Liberty,1936,1,1,1.0
944,Glass (Glas),1959,1,1,1.0
945,The Glenn Miller Story,1954,1,3,0.333
946,Going My Way,1944,7,10,0.7
947,Gold Diggers of 1935,1935,1,2,0.5
948,The Golden Fish (Histoire d'un poisson rouge),1959,1,1,1.0
949,Goldfinger,1964,1,1,1.0
950,Gone with the Wind,1939,8,13,0.615
951,The Good Earth,1937,2,5,0.4
952,"Goodbye, Miss Turlock",1947,1,1,1.0
953,"Goodbye, Mr. Chips",1939,1,7,0.143
954,Grand Canyon,1958,1,1,1.0
955,Grand Hotel,1931,1,1,1.0
956,Grandad of Races,1950,1,1,1.0
957,The Grapes of Wrath,1940,2,7,0.286
958,The Great Caruso,1951,1,3,0.333
959,Great Expectations,1947,2,5,0.4
960,The Great Lie,1941,1,1,1.0
961,The Great McGinty,1940,1,1,1.0
962,The Great Waltz,1938,1,3,0.333
963,The Great Ziegfeld,1936,3,7,0.429
964,The Greatest Show on Earth,1952,2,5,0.4
965,Green Dolphin Street,1947,1,4,0.25
966,The Guns of Navarone,1961,1,7,0.143
967,Hamlet,1948,4,7,0.571
968,Happy Anniversary (Heureux Anniversaire),1962,1,1,1.0
969,Harvey,1950,1,2,0.5
970,The Harvey Girls,1946,1,2,0.5
971,Heavenly Music,1943,1,1,1.0
972,The Heiress,1949,4,8,0.5
973,Helen Keller in Her Story (The Unconquered),1955,1,1,1.0
974,"Hello, Frisco, Hello",1943,1,2,0.5
975,Henry V,1946,0,4,0.0
976,Here Comes Mr. Jordan,1941,2,7,0.286
977,Here Comes the Groom,1951,1,2,0.5
978,The High and the Mighty,1954,1,6,0.167
979,High Noon,1952,4,7,0.571
980,Hitler Lives,1945,1,1,1.0
981,A Hole in the Head,1959,1,1,1.0
982,The Hole,1962,1,1,1.0
983,Holiday Inn,1942,1,3,0.333
984,The Horse with the Flying Tail,1960,1,1,1.0
985,The House I Live In,1945,0,0,
986,The House on 92nd Street,1945,1,1,1.0
987,How Green Was My Valley,1941,5,10,0.5
988,How the West Was Won,1963,3,8,0.375
989,How to Sleep,1935,1,1,1.0
990,Hud,1963,3,7,0.429
991,The Human Comedy,1943,1,5,0.2
992,The Hurricane,1937,1,3,0.333
993,The Hustler,1961,2,9,0.222
994,I Want to Live!,1958,1,6,0.167
995,I Wanted Wings,1941,1,1,1.0
996,I Won't Play,1944,1,1,1.0
997,I'll Cry Tomorrow,1955,1,4,0.25
998,In Beaver Valley,1950,1,1,1.0
999,In Old Arizona,1928,1,5,0.2
1000,In Old Chicago,1937,2,6,0.333
1001,In Which We Serve,1942,0,2,0.0
1002,The Informer,1935,4,6,0.667
1003,Interrupted Melody,1955,1,3,0.333
1004,The Invaders,1942,1,3,0.333
1005,Irma la Douce,1963,1,3,0.333
1006,It Happened One Night,1934,5,5,1.0
1007,"It's a Mad, Mad, Mad, Mad World",1963,1,6,0.167
1008,The Jazz Singer,1927,0,1,0.0
1009,Jezebel,1938,2,5,0.4
1010,Joan of Arc,1948,2,7,0.286
1011,Johann Mouse,1952,1,1,1.0
1012,Johnny Belinda,1948,1,12,0.083
1013,Johnny Eager,1942,1,1,1.0
1014,The Joker Is Wild,1957,1,1,1.0
1015,The Jolson Story,1946,2,6,0.333
1016,Judgment at Nuremberg,1961,2,11,0.182
1017,Julius Caesar,1953,1,5,0.2
1018,Kentucky,1938,1,1,1.0
1019,Key Largo,1948,1,1,1.0
1020,The King and I,1956,5,9,0.556
1021,King of Jazz,1929,1,1,1.0
1022,King Solomon's Mines,1950,2,3,0.667
1023,Kitty Foyle (Kitty Foyle: The Natural History of a Woman),1940,1,5,0.2
1024,Knighty Knight Bugs,1958,1,1,1.0
1025,Kokoda Front Line!,1942,1,1,1.0
1026,Kon-Tiki,1950,1,1,1.0
1027,Krakatoa,1932,1,1,1.0
1028,Kukan,1941,0,0,
1029,La Strada (The Road),1956,1,2,0.5
1030,La Dolce Vita,1961,1,4,0.25
1031,Lady Be Good,1941,1,1,1.0
1032,The Last Command,1927,1,2,0.5
1033,Laura,1944,1,5,0.2
1034,The Lavender Hill Mob,1952,1,2,0.5
1035,Lawrence of Arabia,1962,7,10,0.7
1036,Leave Her to Heaven,1945,1,4,0.25
1037,Lend a Paw,1941,1,1,1.0
1038,Les Girls,1957,1,3,0.333
1039,A Letter to Three Wives,1949,2,3,0.667
1040,The Life of Emile Zola,1937,3,10,0.3
1041,Light in the Window,1952,1,1,1.0
1042,Lili,1953,1,6,0.167
1043,Lilies of the Field,1963,1,5,0.2
1044,The Little Kidnappers (The Kidnappers),1954,0,0,
1045,The Little Orphan,1948,1,1,1.0
1046,Little Women,1932,1,3,0.333
1047,Little Women,1949,1,2,0.5
1048,The Lives of a Bengal Lancer,1935,1,7,0.143
1049,The Living Desert,1953,1,1,1.0
1050,The Longest Day,1962,2,5,0.4
1051,Lost Horizon,1937,2,7,0.286
1052,The Lost Weekend,1945,4,7,0.571
1053,Love Is a Many-Splendored Thing,1955,3,8,0.375
1054,Love Me or Leave Me,1955,1,6,0.167
1055,Lust for Life,1956,1,4,0.25
1056,Magoo's Puddle Jumper,1956,1,1,1.0
1057,Main Street on the March!,1941,1,1,1.0
1058,The Man Who Knew Too Much,1956,1,1,1.0
1059,Manhattan Melodrama,1934,1,1,1.0
1060,Marie-Louise,1945,1,1,1.0
1061,Marty,1955,4,8,0.5
1062,Mary Poppins,1964,5,13,0.385
1063,Men Against the Arctic,1955,1,1,1.0
1064,The Merry Widow,1934,1,1,1.0
1065,A Midsummer Night's Dream,1935,2,4,0.5
1066,Mighty Joe Young,1949,1,1,1.0
1067,Mildred Pierce,1945,1,6,0.167
1068,The Milky Way,1940,1,1,1.0
1069,Min and Bill,1930,1,1,1.0
1070,Miracle on 34th Street,1947,3,4,0.75
1071,The Miracle Worker,1962,2,5,0.4
1072,Mister Roberts,1955,1,3,0.333
1073,Monsieur Vincent,1948,0,0,
1074,Moonbird,1959,1,1,1.0
1075,The More the Merrier,1943,1,6,0.167
1076,Morning Glory,1932,1,1,1.0
1077,Moscow Strikes Back,1942,1,1,1.0
1078,Mother Wore Tights,1947,1,3,0.333
1079,Moulin Rouge,1952,2,7,0.286
1080,Mouse Trouble,1944,1,1,1.0
1081,Mr. Deeds Goes to Town,1936,1,5,0.2
1082,Mr. Smith Goes to Washington,1939,1,11,0.091
1083,Mrs. Miniver,1942,6,12,0.5
1084,Munro,1960,1,1,1.0
1085,The Music Box,1931,1,1,1.0
1086,The Music Man,1962,1,6,0.167
1087,Mutiny on the Bounty,1935,1,8,0.125
1088,My Fair Lady,1964,8,12,0.667
1089,My Uncle (Mon oncle),1958,1,1,1.0
1090,My Gal Sal,1942,1,2,0.5
1091,The Naked City,1948,2,3,0.667
1092,National Velvet,1945,2,5,0.4
1093,Nature's Half Acre,1951,1,1,1.0
1094,Naughty Marietta,1935,1,2,0.5
1095,Neighbours,1952,1,2,0.5
1096,Neptune's Daughter,1949,1,1,1.0
1097,Never on Sunday (Pote tin Kyriaki),1960,1,5,0.2
1098,The Night of the Iguana,1964,1,4,0.25
1099,Nights of Cabiria (Le Notti di Cabiria),1957,1,1,1.0
1100,Nine from Little Rock,1964,1,1,1.0
1101,None But the Lonely Heart,1944,1,4,0.25
1102,North West Mounted Police,1940,1,5,0.2
1103,"Now, Voyager",1942,1,3,0.333
1104,An Occurrence at Owl Creek Bridge,1963,1,1,1.0
1105,Of Pups and Puzzles,1941,1,1,1.0
1106,Oklahoma!,1955,2,4,0.5
1107,The Old Man and the Sea,1958,1,3,0.333
1108,The Old Mill,1937,1,1,1.0
1109,On the Town,1949,1,1,1.0
1110,On the Waterfront,1954,8,12,0.667
1111,One Hundred Men and a Girl,1937,1,5,0.2
1112,One Night of Love,1934,2,6,0.333
1113,One Way Passage,1932,1,1,1.0
1114,Overture to The Merry Wives of Windsor,1953,1,1,1.0
1115,The Paleface,1948,1,1,1.0
1116,Panic in the Streets,1950,1,1,1.0
1117,Papa's Delicate Condition,1963,1,1,1.0
1118,The Patriot,1928,1,5,0.2
1119,Penny Wisdom,1937,1,1,1.0
1120,Phantom of the Opera,1943,2,4,0.5
1121,The Philadelphia Story,1940,2,6,0.333
1122,Picnic,1955,2,6,0.333
1123,The Picture of Dorian Gray,1945,1,3,0.333
1124,Pillow Talk,1959,1,5,0.2
1125,The Pink Phink,1964,1,1,1.0
1126,Pinocchio,1940,2,2,1.0
1127,A Place in the Sun,1951,6,9,0.667
1128,Plymouth Adventure,1952,1,1,1.0
1129,Pollyanna,1960,0,0,
1130,Porgy and Bess,1959,1,4,0.25
1131,Portrait of Jennie,1948,1,2,0.5
1132,Prelude to War,1942,1,1,1.0
1133,Pride and Prejudice,1940,1,1,1.0
1134,The Pride of the Yankees,1942,1,11,0.091
1135,Princess O'Rourke,1943,1,1,1.0
1136,The Private Life of Henry VIII,1932,1,2,0.5
1137,The Private Life of the Gannets,1937,1,1,1.0
1138,Project Hope,1961,1,1,1.0
1139,The Public Pays,1936,1,1,1.0
1140,Pygmalion,1938,1,4,0.25
1141,Quicker'n a Wink,1940,1,1,1.0
1142,The Quiet Man,1952,2,7,0.286
1143,Quiet Please!,1945,1,1,1.0
1144,The Rains Came,1939,1,6,0.167
1145,Rashomon,1951,0,1,0.0
1146,The Razor's Edge,1946,1,4,0.25
1147,Reap the Wild Wind,1942,1,3,0.333
1148,Rebecca,1940,2,11,0.182
1149,The Red Balloon (Le ballon rouge),1956,1,1,1.0
1150,The Red Shoes,1948,2,5,0.4
1151,The Robe,1953,2,5,0.4
1152,Robert Frost: A Lover's Quarrel with the World,1963,1,1,1.0
1153,Roman Holiday,1953,3,10,0.3
1154,Room at the Top,1959,2,6,0.333
1155,The Rose Tattoo,1955,3,8,0.375
1156,Sabrina,1954,1,6,0.167
1157,Samson and Delilah,1950,2,5,0.4
1158,Samurai I: Musashi Miyamoto (Miyamoto Musashi),1955,0,0,
1159,San Francisco,1936,1,6,0.167
1160,Sayonara,1957,4,10,0.4
1161,The Scoundrel,1935,1,1,1.0
1162,The Sea Around Us,1952,1,1,1.0
1163,Seal Island,1948,1,1,1.0
1164,The Search,1948,1,4,0.25
1165,Seawards the Great Ships,1961,1,1,1.0
1166,The Secret Land,1948,1,1,1.0
1167,Seeds of Destiny,1946,1,1,1.0
1168,Separate Tables,1958,2,7,0.286
1169,Serengeti Shall Not Die (Serengeti darf nicht sterben),1959,1,1,1.0
1170,Sergeant York,1941,2,11,0.182
1171,Seven Brides for Seven Brothers,1954,1,5,0.2
1172,Seven Days to Noon,1951,1,1,1.0
1173,The Seventh Veil,1946,1,1,1.0
1174,Shane,1953,1,6,0.167
1175,Shanghai Express,1931,1,3,0.333
1176,She Wore a Yellow Ribbon,1949,1,1,1.0
1177,Shoeshine (Sciuscià),1947,0,1,0.0
1178,The Silent World (Le Monde du silence),1956,1,1,1.0
1179,The Sin of Madelon Claudet,1931,1,1,1.0
1180,Since You Went Away,1944,1,9,0.111
1181,Skippy,1930,1,4,0.25
1182,Sky Above and Mud Beneath (Le Ciel et la boue),1961,1,1,1.0
1183,The Snake Pit,1948,1,6,0.167
1184,Snow White and the Seven Dwarfs,1937,0,1,0.0
1185,So Much for So Little,1949,1,1,1.0
1186,So This Is Harris!,1932,1,1,1.0
1187,The Solid Gold Cadillac,1956,1,2,0.5
1188,Some Like It Hot,1959,1,6,0.167
1189,Somebody Up There Likes Me,1956,2,3,0.667
1190,The Song of Bernadette,1943,4,12,0.333
1191,Song of the South,1947,1,2,0.5
1192,Song Without End,1960,1,1,1.0
1193,Sons and Lovers,1960,1,7,0.143
1194,Sons of Liberty,1939,1,1,1.0
1195,South Pacific,1958,1,3,0.333
1196,Spartacus,1960,4,6,0.667
1197,Spawn of the North,1938,0,0,
1198,Speaking of Animals and Their Families,1942,1,1,1.0
1199,Speedy Gonzales,1955,1,1,1.0
1200,Spellbound,1945,1,6,0.167
1201,Splendor in the Grass,1961,1,2,0.5
1202,Stagecoach,1939,2,7,0.286
1203,Stairway to Light,1945,1,1,1.0
1204,Stalag 17,1953,1,3,0.333
1205,Star in the Night,1945,1,1,1.0
1206,A Star Is Born,1937,1,7,0.143
1207,State Fair,1945,1,2,0.5
1208,The Story of Louis Pasteur,1936,3,4,0.75
1209,The Stratton Story,1949,1,1,1.0
1210,Street Angel,1927,1,3,0.333
1211,A Streetcar Named Desire,1951,4,12,0.333
1212,Strike Up the Band,1940,1,3,0.333
1213,The Substitute,1961,1,1,1.0
1214,Sundays and Cybele (Le Dimanches de Ville d'Avray),1962,1,3,0.333
1215,Sunrise,1927,3,4,0.75
1216,Sunset Boulevard,1950,3,11,0.273
1217,Survival City,1955,1,1,1.0
1218,Suspicion,1941,1,3,0.333
1219,Sweet Bird of Youth,1962,1,3,0.333
1220,Sweethearts,1938,0,2,0.0
1221,Swing Time,1936,1,2,0.5
1222,Symphony of a City,1948,1,1,1.0
1223,Tabu,1930,1,1,1.0
1224,Target for Tonight,1941,0,0,
1225,"Teddy, the Rough Rider",1940,1,1,1.0
1226,Tempest,1927,1,1,1.0
1227,The Ten Commandments,1956,1,7,0.143
1228,That Hamilton Woman,1941,1,4,0.25
1229,That Mothers Might Live,1938,1,1,1.0
1230,The Thief of Bagdad,1940,3,4,0.75
1231,The Third Man,1950,1,3,0.333
1232,Thirty Seconds Over Tokyo,1944,1,2,0.5
1233,This Above All,1942,1,4,0.25
1234,This Is the Army,1943,1,3,0.333
1235,This Land Is Mine,1943,1,1,1.0
1236,This Mechanical Age,1954,1,1,1.0
1237,Three Coins in the Fountain,1954,2,3,0.667
1238,The Three Faces of Eve,1957,1,1,1.0
1239,Three Little Pigs,1932,1,1,1.0
1240,Three Orphan Kittens,1935,1,1,1.0
1241,Through a Glass Darkly (Såsom i en spegel),1961,1,2,0.5
1242,Thunderball,1965,1,1,1.0
