title,studio,domestic_gross,foreign_gross,year
Love Crime,IFC Films,540000.0,3100000,2011
Incendies (U.S. only),Sony Pictures Classics,2100000.0,1500000,2011
Martha Marcy May Marlene,Fox Searchlight,3000000.0,548000,2011
The King's Speech (PG-13),Weinstein Company,3300000.0,,2011
Machine Gun Preacher,Relativity Media,539000.0,2800000,2011
The Last Circus,Magnolia Pictures,40500.0,3200000,2011
From Prada to Nada,Lionsgate,3000000.0,123000,2011
Flypaper,IFC Films,5000.0,3100000,2011
Zindagi Na Milegi Dobara,Eros International,3100000.0,,2011
Take Shelter,Sony Pictures Classics,1700000.0,1400000,2011
Rapt,Lorber Films,45800.0,2900000,2011
Pastorela,Lionsgate,161000.0,2700000,2011
The Double Hour,MGM,1500000.0,1200000,2011
Everything Must Go,Roadside Attractions,2700000.0,,2011
3 (2011),Strand,60000.0,2600000,2011
Oranges and Sunshine,Cohen Media Group,143000.0,2400000,2011
Ong Bak 3,Magnolia Pictures,14900.0,2300000,2011
Poetry,Kino,356000.0,1900000,2011
The Tree,Zeit.,71200.0,2100000,2011
"The Butcher, the Chef and the Swordsman",CL Western Town,47900.0,2000000,2011
The Trip (2011),IFC Films,2000000.0,,2011
Armadillo,Lorber Films,14600.0,2000000,2011
Bodyguard,Reliance Big Pictures,1800000.0,,2011
Brighton Rock,IFC Films,230000.0,1600000,2011
A Somewhat Gentle Man,Strand,37700.0,1800000,2011
Another Earth,Fox Searchlight,1300000.0,456000,2011
A Better Life,Sumbadhat Productions,1800000.0,,2011
Chalet Girl,IFC Films,1700.0,1700000,2011
Yamla Pagla Deewana,Eros International,993000.0,600000,2011
Bill Cunningham New York,Zeit.,1500000.0,,2011
The Art of Getting By,Fox Searchlight,1400000.0,,2011
The Devil's Double,Lionsgate,1400000.0,,2011
Uncle Boonmee Who Can Recall His Past Lives,Strand,184000.0,946000,2011
The Whistleblower,MGM,1100000.0,,2011
Desi Boyz,Eros International,1100000.0,,2011
There Be Dragons,MGM,1100000.0,,2011
Vanishing on 7th Street,Magnolia Pictures,22700.0,1000000,2011
Page One: A Year Inside the New York Times,Magnolia Pictures,1100000.0,,2011
The Time That Remains,IFC Films,32900.0,1000000,2011
Rockstar (2011),Eros International,987000.0,,2011
Meek's Cutoff,Oscilloscope Laboratories,978000.0,,2011
Texas Killing Fields,Anchor Bay Films,45500.0,912000,2011
Ready,Eros International,955000.0,,2011
Miral,Weinstein Company,373000.0,527000,2011
Submarine,Weinstein Company,468000.0,397000,2011
Higher Ground,Sony Pictures Classics,842000.0,,2011
Mozart's Sister,MBox,708000.0,132000,2011
Plastic Planet,First Run Features,3200.0,836000,2011
Chillar Party,UTV,6300.0,826000,2011
Mausam,Eros International,728000.0,,2011
The First Grader,National Geographic Entertainment,332000.0,382000,2011
Hobo With a Shotgun,Magnolia Pictures,703000.0,,2011
Tabloid,IFC Films,697000.0,,2011
Dhobi Ghat (Mumbai Diaries),UTV,577000.0,102000,2011
Aarakshan (Reservation),Reliance Big Pictures,651000.0,,2011
POM Wonderful Presents: The Greatest Movie Ever Sold,Sony Pictures Classics,638000.0,,2011
No One Killed Jessica,UTV,441000.0,193000,2011
Korkoro,Lorber Films,8200.0,619000,2011
Blackthorn,Magnolia Pictures,201000.0,423000,2011
How I Ended This Summer,Film Movement,8700.0,614000,2011
The Ledge,IFC Films,9200.0,602000,2011
Heartbeats,IFC Films,68700.0,520000,2011
The Future,Roadside Attractions,569000.0,,2011
Dum Maaro Dum,Fox Searchlight,564000.0,,2011
Double Dhamaal,Reliance Big Pictures,544000.0,,2011
Kaboom,IFC Films,119000.0,421000,2011
Mere Brother Ki Dulhan,Yash Raj Films,496000.0,,2011
Weekend (2011),IFC Films,485000.0,,2011
Protektor,Film Movement,3000.0,469000,2011
Circumstance,Roadside Attractions,454000.0,,2011
The Other Woman,IFC Films,25400.0,427000,2011
Project Nim,Roadside Attractions,411000.0,,2011
Rage (Rabia),Strand,5600.0,403000,2011
The Human Resources Manager,Film Movement,64000.0,329000,2011
Hesher,Wrekin Hill Entertainment,383000.0,,2011
7 Khoon Maaf,UTV,270000.0,94700,2011
Singham,Reliance Big Pictures,351000.0,,2011
Super,IFC Films,328000.0,,2011
L'Amour Fou,IFC Films,312000.0,,2011
Being Elmo: A Puppeteer's Journey,Submarine Deluxe,304000.0,,2011
In the Land of Blood and Honey,FilmDistrict,304000.0,,2011
Special Treatment,First Run Features,8900.0,286000,2011
Illegal (2011),Film Movement,700.0,289000,2011
Rascals,Eros International,274000.0,,2011
The Black Power Mix Tape: 1967-1975,IFC Films,274000.0,,2011
Black Death,Magnolia Pictures,22600.0,243000,2011
Le Quattro Volte,Lorber Films,153000.0,103000,2011
Life in a Day,National Geographic Entertainment,253000.0,,2011
Caterpillar,Lorber Films,4200.0,248000,2011
Little Girl (La Pivellina),First Run Features,1400.0,236000,2011
"If I Want to Whistle, I Whistle",Film Movement,12100.0,220000,2011
Into the Abyss,IFC Films,224000.0,,2011
HappyThankYouMorePlease,Anchor Bay Films,216000.0,,2011
The Robber,Kino,83500.0,125000,2011
A Good Old Fashioned Orgy,MGM,200000.0,,2011
Film Socialisme,Lorber Films,33000.0,159000,2011
Bol,Eros International,189000.0,,2011
Leap Year (2011),Strand,13000.0,175000,2011
A Screaming Man,Film Movement,9900.0,175000,2011
Jig,Screen Media Films,184000.0,,2011
Nostalgia for the Light,Icarus Films,164000.0,13700,2011
Bellflower,Oscilloscope Laboratories,168000.0,,2011
Restless (2011),Sony Pictures Classics,163000.0,,2011
Road to Nowhere,Monterey Media,40300.0,121000,2011
Magic Trip,Magnolia Pictures,155000.0,,2011
Eames: The Architect and the Painter,First Run Features,153000.0,,2011
The Human Centipede 2: Full Sequence,IFC Films,142000.0,,2011
Cold Weather,IFC Films,141000.0,,2011
Game (2011),Eros International,140000.0,,2011
1911,VVariance Films,136000.0,,2011
"Life, Above All",Sony Pictures Classics,134000.0,,2011
The Arbor,Strand,21600.0,105000,2011
Mysteries of Lisbon,MBox,111000.0,14900,2011
Trust (2011),Millenium Entertainment,120000.0,,2011
Steve Jobs: The Lost Interview,Magnolia Pictures,106000.0,,2011
Rubber,Magnolia Pictures,100000.0,,2011
The Man Who Fell to Earth (35th anniversary re-issue),Rialto,100000.0,,2011
Chalo Dilli,Eros International,94300.0,,2011
Beautiful Boy,Anchor Bay Films,77200.0,,2011
Puncture,Millenium Entertainment,68900.0,,2011
A Beautiful Life,CL Western Town,66200.0,,2011
"Tuesday, After Christmas",Lorber Films,27800.0,36200,2011
Viva Riva!,MBox,61800.0,,2011
Murder 2,Eros International,59500.0,,2011
Dirty Girl,Weinstein Company,55100.0,,2011
Battleship Potemkin (2011 re-issue),Kino,51200.0,,2011
Love U Mr. Kalakaar,Eros International,48600.0,,2011
Margaret,Fox Searchlight,46500.0,,2011
"Happy, Happy",Magnolia Pictures,45200.0,,2011
The Myth of the American Sleepover,IFC Films,41000.0,,2011
Khodorkovsky,Kino Lorber,39500.0,,2011
Sleeping Beauty (2011) (II),IFC Films,36600.0,,2011
My Kingdom (2011),CL Western Town,36500.0,,2011
Love in Space,CL Western Town,34800.0,,2011
Stake Land,IFC Films,33200.0,,2011
The Son of No One,Anchor Bay Films,30700.0,,2011
Muran,UTV,30100.0,,2011
The Sleeping Beauty,Strand,29100.0,,2011
Tyrannosaur,Strand,22300.0,,2011
Ceremony,Magnolia Pictures,22300.0,,2011
I'm Glad My Mother is Alive,Strand,8700.0,13200,2011
Always Kabhi Kabhi,Eros International,21400.0,,2011
5 Days of War,Anchor Bay Films,17500.0,,2011
Magic to Win,CL Western Town,10700.0,,2011
Wrecked,IFC Films,8000.0,,2011
My Piece of the Pie,IFC Films,6900.0,,2011
I Melt With You,Magnolia Pictures,6400.0,,2011
My Joy,Kino Lorber,6300.0,,2011
To Die Like a Man,Strand,4000.0,900,2011
Knuckle,Vitagraph Films,2600.0,,2011
Main Street,Magnolia Pictures,2600.0,,2011
"Love, Wedding, Marriage",IFC Films,1900.0,,2011
An Invisible Sign,IFC Films,1300.0,,2011
Marvel's The Avengers,Buena Vista,623400000.0,895500000,2012
Skyfall,Sony,304400000.0,804200000,2012
The Dark Knight Rises,WB,448100000.0,636800000,2012
Ice Age: Continental Drift,Fox,161300000.0,715900000,2012
The Twilight Saga: Breaking Dawn Part 2,Lionsgate/Summit Entertainment,292300000.0,537400000,2012
The Amazing Spider-Man,Sony,262000000.0,495900000,2012
Madagascar 3: Europe's Most Wanted,Pixar/Dreamworks,216400000.0,530500000,2012
The Hunger Games,Lionsgate,408000000.0,286400000,2012
MIB 3,Sony,179000000.0,445000000,2012
Life of Pi,Fox,125000000.0,484000000,2012
Ted,Universal,218800000.0,330600000,2012
Brave,Buena Vista,237300000.0,303200000,2012
Wreck-It Ralph,Buena Vista,189400000.0,281800000,2012
Les Miserables (2012),Universal,148800000.0,293000000,2012
The Intouchables (U.S.-only),Weinstein Company,10200000.0,416400000,2012
Django Unchained,Weinstein Company,162800000.0,262600000,2012
Prometheus,Fox,126500000.0,276900000,2012
Snow White and the Huntsman,Universal,155300000.0,241300000,2012
Taken 2,Fox,139900000.0,236300000,2012
Hotel Transylvania,Sony,148300000.0,210100000,2012
Dr. Seuss' The Lorax,Universal,214000000.0,134800000,2012
Titanic 3D,Paramount,57900000.0,285700000,2012
The Expendables 2,Lionsgate,85000000.0,229900000,2012
Rise of the Guardians,Pixar/Dreamworks,103400000.0,203500000,2012
Wrath of the Titans,WB,83700000.0,221600000,2012
Battleship,Universal,65400000.0,237600000,2012
John Carter,Buena Vista,73100000.0,211100000,2012
The Bourne Legacy,Universal,113200000.0,162900000,2012
Lincoln,Buena Vista,182200000.0,93100000,2012
Dark Shadows,WB,79700000.0,165800000,2012
Resident Evil: Retribution,Screen Gems,42300000.0,197700000,2012
Silver Linings Playbook,Weinstein Company,132100000.0,104300000,2012
American Reunion,Universal,57000000.0,178000000,2012
Argo,WB,136000000.0,96300000,2012
Jack Reacher,Paramount,80100000.0,138300000,2012
Safe House,Universal,126400000.0,81700000,2012
21 Jump Street,Sony,138400000.0,63100000,2012
Total Recall (2012),Sony,58900000.0,139600000,2012
The Vow,Screen Gems,125000000.0,71100000,2012
Mirror Mirror,Relativity Media,64900000.0,118100000,2012
The Impossible,Lionsgate/Summit Entertainment,19000000.0,161300000,2012
The Dictator,Paramount,59700000.0,119700000,2012
Looper,Sony Pictures,66500000.0,110000000,2012
Magic Mike,WB,113700000.0,53500000,2012
Flight,Paramount,93800000.0,68000000,2012
Underworld Awakening,Screen Gems,62300000.0,97800000,2012
This Means War,Fox,54800000.0,101700000,2012
The Secret World of Arrietty,Buena Vista,19200000.0,126400000,2012
Paranormal Activity 4,Paramount,53900000.0,88900000,2012
Step Up Revolution,Lionsgate/Summit Entertainment,35100000.0,105400000,2012
The Best Exotic Marigold Hotel,Fox Searchlight,46400000.0,90400000,2012
Zero Dark Thirty,Sony,95700000.0,37100000,2012
Ghost Rider: Spirit of Vengeance,Sony,51800000.0,80800000,2012
Cloud Atlas,WB,27100000.0,103400000,2012
The Woman in Black,CBS,54300000.0,73400000,2012
Chronicle (2012),Fox,64599999.0,62100000,2012
The Pirates! Band of Misfits,Sony,31100000.0,92000000,2012
Parental Guidance,Fox,77300000.0,42500000,2012
Abraham Lincoln: Vampire Hunter,Fox,37500000.0,79000000,2012
Pitch Perfect,Universal,65000000.0,50300000,2012
Hope Springs,Sony,63500000.0,50700000,2012
ParaNorman,Focus Features,56000000.0,51100000,2012
The Campaign,WB,86900000.0,18000000,2012
Let the Bullets Fly,VVariance Films,63000.0,104300000,2012
Star Wars: Episode I - The Phantom Menace (in 3D),Fox,43500000.0,59300000,2012
Project X,WB,54700000.0,48000000,2012
The Devil Inside,Paramount,53300000.0,48500000,2012
The Lucky One,WB,60500000.0,38900000,2012
Contraband,Universal,66500000.0,29700000,2012
Think Like a Man,Screen Gems,91500000.0,4500000,2012
This Is 40,Universal,67500000.0,20500000,2012
The Inbetweeners Movie,Wrekin Hill Entertainment,36000.0,88000000,2012
The Possession,Lionsgate,49100000.0,36300000,2012
What to Expect When You're Expecting,Lionsgate,41200000.0,43200000,2012
The Thieves,Well Go USA Inc.,686000.0,82800000,2012
Savages (2012),Universal,47400000.0,35600000,2012
Frankenweenie,Buena Vista,35300000.0,46200000,2012
Act of Valor,Relativity Media,70000000.0,11300000,2012
Masquerade (2012),CJ Entertainment,923000.0,79800000,2012
Sinister,Lionsgate/Summit Entertainment,48100000.0,29600000,2012
The Grey,Open Road Films,51600000.0,25700000,2012
Diary of a Wimpy Kid: Dog Days,Fox,49000000.0,28100000,2012
To Rome with Love,Sony Pictures Classics,16700000.0,56600000,2012
Here Comes the Boom,Sony,45300000.0,27800000,2012
Finding Nemo (3D),Buena Vista,41100000.0,28200000,2012
Anna Karenina,Focus Features,12800000.0,56100000,2012
The Watch,Fox,35400000.0,32900000,2012
Moonrise Kingdom,Focus Features,45500000.0,22800000,2012
Tyler Perry's Madea's Witness Protection,Lionsgate,65700000.0,1200000,2012
The Cabin in the Woods,Lionsgate,42100000.0,24400000,2012
Beauty and the Beast (3D),Buena Vista,47600000.0,14400000,2012
That's My Boy,Sony,36900000.0,20800000,2012
The Odd Life of Timothy Green,Buena Vista,51900000.0,4200000,2012
The Three Stooges,Fox,44300000.0,10500000,2012
The Five-Year Engagement,Universal,28800000.0,25100000,2012
Lawless,Weinstein Company,37400000.0,16300000,2012
Silent Hill: Revelation 3D,Open Road Films,17500000.0,34800000,2012
Red Tails,Fox,49900000.0,489000,2012
"Monsters, Inc. (3D)",Buena Vista,34000000.0,16200000,2012
Trouble with the Curve,WB,35800000.0,13200000,2012
End of Watch,Open Road Films,41000000.0,7100000,2012
Man on a Ledge,Lionsgate/Summit Entertainment,18600000.0,27600000,2012
Red Dawn (2012),FilmDistrict,44800000.0,,2012
House at the End of The Street,Relativity Media,31600000.0,12700000,2012
The Guilt Trip,Paramount,37100000.0,4700000,2012
A Werewolf Boy,CJ Entertainment,343000.0,41300000,2012
Safe (2012),Lionsgate,17100000.0,23200000,2012
Killing Them Softly,Weinstein Company,15000000.0,22900000,2012
Chernobyl Diaries,WB,18100000.0,19000000,2012
One For the Money,Lionsgate,26400000.0,10500000,2012
Dredd,Lionsgate,13400000.0,22200000,2012
Tyler Perry's Good Deeds,Lionsgate,35000000.0,553000,2012
Arbitrage,Roadside Attractions,7900000.0,27600000,2012
Chimpanzee,Buena Vista,29000000.0,5900000,2012
Alex Cross,Lionsgate/Summit Entertainment,25900000.0,8700000,2012
Salmon Fishing in the Yemen,CBS,9000000.0,25500000,2012
Cirque Du Soleil: Worlds Away,Paramount,12500000.0,21600000,2012
The Perks of Being a Wallflower,Lionsgate/Summit Entertainment,17700000.0,15600000,2012
Haywire,Relativity Media,18900000.0,14400000,2012
Katy Perry: Part of Me,Paramount,25300000.0,7400000,2012
Lockout,FilmDistrict,14300000.0,17900000,2012
Joyful Noise,WB,30900000.0,226000,2012
Premium Rush,Sony,20300000.0,10800000,2012
The Raven,Relativity Media,16000000.0,13600000,2012
Rowdy Rathore,UTV,777000.0,28600000,2012
Dragon (2012),Radius-TWC,11100.0,29100000,2012
Bol Bachchan,Fox Star Studios,1200000.0,27600000,2012
The Master,Weinstein Company,16399999.0,11900000,2012
Rust and Bone,Sony Pictures Classics,2100000.0,23700000,2012
Big Miracle,Universal,20200000.0,4600000,2012
Sparkle (2012),Sony Pictures,24400000.0,240000,2012
To the Arctic (IMAX),WB,14600000.0,9100000,2012
Hitchcock,Fox Searchlight,6000000.0,17600000,2012
A Thousand Words,Pixar/Dreamworks,18500000.0,3600000,2012
Wanderlust,Universal,17500000.0,4200000,2012
Beasts of the Southern Wild,Fox Searchlight,12800000.0,8300000,2012
Polisse,IFC Films,211000.0,20200000,2012
Amour,Sony Pictures Classics,6700000.0,13100000,2012
The Man with the Iron Fists,Universal,15600000.0,4099999,2012
Solomon Kane,Radius-TWC,,19600000,2012
Seven Psychopaths,CBS,15000000.0,4400000,2012
Gone,Lionsgate/Summit Entertainment,11700000.0,6400000,2012
The Cold Light of Day,Lionsgate/Summit Entertainment,3800000.0,13100000,2012
My Way (2012),CJ Entertainment,70200.0,16500000,2012
Tomorrow When the War Began,Freestyle Releasing,4900.0,16500000,2012
We Have a Pope,IFC Films,548000.0,15600000,2012
Headhunters,Magnolia Pictures,1200000.0,14500000,2012
Hit and Run,Open Road Films,13700000.0,704000,2012
War of the Buttons (2012),Weinstein Company,47800.0,13800000,2012
Red Lights (2012),Millenium Entertainment,52600.0,13500000,2012
The Words,CBS,11500000.0,1700000,2012
Playing for Keeps,FilmDistrict,13100000.0,,2012
Silent House,Open Road Films,12800000.0,347000,2012
Friends with Kids,Roadside Attractions,7300000.0,5800000,2012
The Well-Digger's Daughter,Kino Lorber,386000.0,12200000,2012
Klown,Drafthouse Films,68800.0,12400000,2012
People Like Us,Buena Vista,12400000.0,,2012
Seeking Justice,Anchor Bay Films,412000.0,11900000,2012
Bachelorette,Radius-TWC,448000.0,11500000,2012
This Must Be the Place,Weinstein Company,144000.0,11600000,2012
Fun Size,Paramount,9400000.0,2000000,2012
Rec 3: Genesis,Magnolia Pictures,9600.0,10100000,2012
Delicacy,Cohen Media Group,499000.0,9200000,2012
Seeking a Friend for the End of the World,Focus Features,7100000.0,2600000,2012
The Apparition,WB,4900000.0,4700000,2012
Hysteria,Sony Pictures Classics,1800000.0,7700000,2012
Bernie,Millenium Entertainment,9200000.0,,2012
The Sessions,Fox Searchlight,6000000.0,3100000,2012
Ruby Sparks,Fox Searchlight,2500000.0,6600000,2012
Hyde Park on Hudson,Focus Features,6400000.0,2500000,2012
On the Road,IFC Films,744000.0,8000000,2012
Piranha 3DD,Wein/Dimension,377000.0,8100000,2012
Easy Money (2012),Weinstein Company,206000.0,8199999,2012
Bel Ami,Magnolia Pictures,120000.0,8199999,2012
Promised Land (2012),Focus Features,7600000.0,541000,2012
Iron Sky,Entertainment One Films,122000.0,8000000,2012
Casa De Mi Padre,Lionsgate,5900000.0,2100000,2012
Heroine,UTV,599000.0,7400000,2012
A Royal Affair,Magnolia Pictures,1500000.0,6000000,2012
All Together,Kino Lorber,43200.0,7200000,2012
My Worst Nightmare,Strand,22000.0,7100000,2012
Monsieur Lazhar (U.S.-only),MBox,2000000.0,4600000,2012
Goon,Magnolia Pictures,4200000.0,2300000,2012
Cosmopolis,Entertainment One Films,764000.0,5300000,2012
Chasing Mavericks,Fox,6000000.0,600,2012
Declaration of War,IFC Films,59100.0,5800000,2012
Albert Nobbs,Roadside Attractions,3000000.0,2600000,2012
In Darkness,Sony Pictures Classics,1000000.0,4500000,2012
Won't Back Down,Fox,5300000.0,,2012
Farewell My Queen,Cohen Media Group,1600000.0,3700000,2012
The Tall Man,Image Entertainment,,5200000,2012
Girl in Progress,Lionsgate,2600000.0,2000000,2012
"Jeff, Who Lives at Home",Paramount/Viacom,4300000.0,148000,2012
Barbara,AF,1000000.0,3100000,2012
The Raid: Redemption,Sony Pictures Classics,4099999.0,,2012
Safety Not Guaranteed,FilmDistrict,4000000.0,,2012
The Lady,Cohen Media Group,355000.0,3400000,2012
Branded,Roadside Attractions,354000.0,3400000,2012
The Rabbi's Cat,GKIDS Films,23400.0,3700000,2012
Searching for Sugar Man,Sony Pictures Classics,3700000.0,,2012
Hara-Kiri: Death of a Samurai,Tribeca Film,75700.0,3400000,2012
Robot & Frank,MGM,3300000.0,,2012
Raiders of the Lost Ark (IMAX),Paramount,3100000.0,,2012
Celeste and Jesse Forever,Sony Pictures Classics,3100000.0,,2012
Jab Tak Hai Jaan,Yash Raj Films,3000000.0,,2012
Intruders,Millenium Entertainment,69100.0,2900000,2012
Talaash,Reliance Big Pictures,2900000.0,,2012
Barfi!,UTV,2800000.0,,2012
A Simple Life,CL Western Town,192000.0,2600000,2012
Samsara,Oscilloscope Laboratories,2700000.0,,2012
Simon and the Oaks,The Film Arcade,151000.0,2400000,2012
Jiro Dreams of Sushi,Magnolia Pictures,2600000.0,,2012
Dabangg 2,Eros International,2500000.0,,2012
Kid With a Bike,IFC Films,1500000.0,1000000,2012
The Queen of Versailles,Magnolia Pictures,2400000.0,,2012
Ek Tha Tiger,Yash Raj Films,2300000.0,,2012
Chico & Rita,GKIDS Films,351000.0,1900000,2012
Stolen (2012),Millenium Entertainment,304000.0,1800000,2012
Footnote,Sony Pictures Classics,2000000.0,,2012
The Imposter,Indomina Releasing,898000.0,1100000,2012
Agneepath,Eros International,2000000.0,,2012
The Day I Saw Your Heart,Film Movement,3500.0,2000000,2012
English Vinglish,Eros International,1900000.0,,2012
Housefull 2,Eros International,1800000.0,,2012
Tales of the Night,GKIDS Films,11000.0,1700000,2012
Beloved (2012),IFC Films,138000.0,1500000,2012
360,Magnolia Pictures,100000.0,1600000,2012
2 Days in New York,Magnolia Pictures,633000.0,1000000,2012
Your Sister's Sister,IFC Films,1600000.0,,2012
Hermano,MBox,29900.0,1600000,2012
Lay the Favorite,Radius-TWC,21000.0,1600000,2012
Soldiers of Fortune,Roadside Attractions,38900.0,1500000,2012
A Late Quartet,Entertainment One Films,1600000.0,,2012
I Wish,Magnolia Pictures,146000.0,1400000,2012
The Salt of Life,Zeit.,317000.0,1200000,2012
Chicken with Plums,Sony Pictures Classics,254000.0,1200000,2012
Marley,Magnolia Pictures,1400000.0,,2012
The Paperboy,Millenium Entertainment,693000.0,661000,2012
Chasing Ice,Submarine Deluxe,1300000.0,,2012
Unforgivable,Strand,154000.0,1200000,2012
A Little Bit of Heaven,Millenium Entertainment,15400.0,1300000,2012
The Other Son,Cohen Media Group,1300000.0,,2012
Meerkats,National Geographic Entertainment,778000.0,482000,2012
"For a Good Time, Call...",Focus Features,1300000.0,,2012
Take This Waltz,Magnolia Pictures,1200000.0,,2012
Cocktail (2012),Eros International,1200000.0,,2012
Ek Main Aur Ekk Tu,UTV,1200000.0,,2012
The Deep Blue Sea,MBox,1100000.0,,2012
Coriolanus,Weinstein Company,757000.0,315000,2012
Diana Vreeland: The Eye Has to Travel,MGM,1000000.0,,2012
First Position,IFC Films,1000000.0,,2012
Damsels in Distress,Sony Pictures Classics,1000000.0,,2012
Rampart,Millenium Entertainment,973000.0,,2012
Elles,Kino Lorber,158000.0,754000,2012
W.E.,Weinstein Company,583000.0,285000,2012
Breathing,Kino Lorber,4600.0,803000,2012
Darling Companion,Sony Pictures Classics,794000.0,,2012
Teri Meri Kahaani,Eros International,781000.0,,2012
Son of Sardaar,Eros International,772000.0,,2012
Agent Vinod,Eros International,698000.0,,2012
Student of the Year,Eros International,670000.0,,2012
The Polar Express (2012 re-issue),WB,669000.0,,2012
Holy Motors,Indomina Releasing,641000.0,,2012
Free Men,Film Movement,53800.0,564000,2012
"Peace, Love and Misunderstanding",IFC Films,591000.0,,2012
Undefeated (2012),Weinstein Company,562000.0,,2012
Sister (2012),AF,155000.0,400000,2012
Vicky Donor,Eros International,549000.0,,2012
Being Flynn,Focus Features,540000.0,,2012
Ai Weiwei: Never Sorry,IFC Films,534000.0,,2012
Where Do We Go Now?,Sony Pictures Classics,532000.0,,2012
Bully (2012),Weinstein Company,279000.0,182000,2012
Ferrari Ki Sawaari,Eros International,434000.0,,2012
Dark Tide,Wrekin Hill Entertainment,,432000,2012
Apartment 143,Magnolia Pictures,400.0,426000,2012
Sound of My Voice,Fox Searchlight,408000.0,,2012
Khiladi 786,Eros International,379000.0,,2012
Smashed,Sony Pictures Classics,377000.0,,2012
Universal Soldier: Day of Reckoning,Magnolia Pictures,5500.0,364000,2012
The Oranges,Art Takes Over Films,366000.0,,2012
Liberal Arts,IFC Films,327000.0,,2012
Compliance,Magnolia Pictures,319000.0,,2012
Back to 1942,CL Western Town,313000.0,,2012
The Flowers of War,Wrekin Hill Entertainment,311000.0,,2012
Something From Nothing: The Art of Rap,Indomina Releasing,288000.0,,2012
Love in the Buff,CL Western Town,256000.0,,2012
Lola Versus,Fox Searchlight,253000.0,,2012
Keep the Lights On,MBox,246000.0,,2012
Gerhard Richter Painting,Kino Lorber,243000.0,,2012
Trishna,IFC Films,240000.0,,2012
Elena,Zeit.,233000.0,,2012
Tezz,Eros International,230000.0,,2012
The Viral Factor,CL Western Town,220000.0,,2012
Neil Young Journeys,Sony Pictures Classics,215000.0,,2012
Tai Chi Zero,VVariance Films,212000.0,,2012
10 Years,Anchor Bay Films,203000.0,,2012
17 Girls,Strand,15100.0,186000,2012
Tim & Eric's Billion Dollar Movie,Magnolia Pictures,201000.0,,2012
Any Day Now,MBox,201000.0,,2012
Tere Naal Love Ho Gaya,UTV,178000.0,,2012
The Hunter (2012),Magnolia Pictures,177000.0,,2012
Butter,Radius-TWC,105000.0,70700,2012
Kill List,IFC Films,29100.0,143000,2012
Flying Swords of Dragon Gate,Indomina Releasing,170000.0,,2012
Joker,UTV,169000.0,,2012
Shirin Farhad Ki Toh Nikal Padi,Eros International,156000.0,,2012
Bullhead,Drafthouse Films,152000.0,,2012
Chakravyuh,Eros International,152000.0,,2012
Luv Shuv Tey Chicken Khurana,UTV,144000.0,,2012
High School,Anchor Bay Films,139000.0,,2012
Warriors of the Rainbow: Seediq Bale,Well Go USA Inc.,136000.0,,2012
The Loneliest Planet,IFC Films,130000.0,,2012
Forgiveness of Blood,IFC Films,127000.0,,2012
God Bless America,Magnolia Pictures,123000.0,,2012
Bullet Vanishes,CL Western Town,118000.0,,2012
The Woman in the Fifth,Art Takes Over Films,114000.0,,2012
5 Broken Cameras,Kino Lorber,110000.0,,2012
Hello I Must Be Going,Oscilloscope Laboratories,107000.0,,2012
The Magic of Belle Isle,Magnolia Pictures,102000.0,,2012
"Oslo, August 31st",Strand,101000.0,,2012
Wuthering Heights (2012),Oscilloscope Laboratories,101000.0,,2012
Mugamoodi,UTV,101000.0,,2012
V/H/S,Magnolia Pictures,100000.0,,2012
Goodbye First Love,IFC Films,95000.0,,2012
Marina Abramovic: The Artist is Present,MBox,86600.0,,2012
Wagner & Me,First Run Features,37700.0,41000,2012
The Innkeepers,Magnolia Pictures,78400.0,,2012
The Island President,MGM,76400.0,,2012
Detachment,Tribeca Film,72700.0,,2012
Attenberg,Strand,24000.0,45900,2012
Deadfall (2012),Magnolia Pictures,66400.0,,2012
Girlfriend Boyfriend - GF BF,CL Western Town,64400.0,,2012
Vulgaria,CL Western Town,59100.0,,2012
Jodi Breakers,Yash Raj Films,52600.0,,2012
Painted Skin: The Resurrection,Well Go USA Inc.,50400.0,,2012
"All's Well, End's Well (2012)",CL Western Town,47900.0,,2012
North Sea Texas,Strand,28300.0,16700,2012
Double Trouble,CL Western Town,44800.0,,2012
The Fairy,Kino Lorber,38400.0,,2012
Hit So Hard,VVariance Films,34000.0,,2012
Kalakalappu@Masala Cafe,UTV,30900.0,,2012
The Bay,Roadside Attractions,30700.0,,2012
Here (2012),Strand,26700.0,,2012
In Another Country,Kino Lorber,25100.0,,2012
The First Time,MGM,22800.0,,2012
Bonsai,Strand,21300.0,,2012
The Day,Anchor Bay Films,21000.0,,2012
28 Hotel Rooms,Oscilloscope Laboratories,18900.0,,2012
Lovely Molly,Image Entertainment,18500.0,,2012
4:44: Last Day on Earth,IFC Films,17800.0,,2012
Little Birds,Millenium Entertainment,17700.0,,2012
Alps,Kino Lorber,16100.0,,2012
Take Me Home,Monterey Media,15800.0,,2012
Reuniting the Rubins,Monterey Media,13600.0,,2012
Cirkus Columbia,Strand,3500.0,9500,2012
Grassroots,MGM,12400.0,,2012
Husbands in Goa,UTV,10100.0,,2012
Starry Starry Night,CL Western Town,10000.0,,2012
Corpo Celeste,Film Movement,8900.0,,2012
Dreams of a Life,Strand,8400.0,,2012
The Babymakers,Millenium Entertainment,7900.0,,2012
The Good Doctor,Magnolia Pictures,5200.0,,2012
