,title,max_theaters,year,total_dom_gross($),studio
471,You Don't Mess with the Zohan,3466,2008,100018837,Sony
472,Tammy,3465,2014,84525432,Warner Bros.
473,True Grit,3464,2011,171243005,Paramount Pictures
474,Jurassic Park III,3462,2001,181171875,Universal Pictures
475,Avatar,3461,2010,749766139,Twentieth Century Fox
476,Knives Out,3461,2019,165363234,Lionsgate
477,Ad Astra,3460,2019,50188370,Twentieth Century Fox
478,The Santa Clause 3: The Escape Clause,3458,2006,84500122,Disney
479,Good Boys,3458,2019,83140306,Universal Pictures
480,Transcendence,3455,2014,23022309,Warner Bros.
481,"10,000 BC",3454,2008,94784201,Warner Bros.
482,Last Christmas,3454,2019,35150750,Universal Pictures
483,Signs,3453,2002,227966634,Disney
484,Star Wars: The Clone Wars,3452,2008,35161554,Warner Bros.
485,Charlie's Angels,3452,2019,17803077,Sony
486,Mr. & Mrs. Smith,3451,2005,186336279,Twentieth Century Fox
487,TRON: Legacy,3451,2010,172062763,Disney
488,The Dark Tower,3451,2017,50701325,Sony
489,Ted 2,3448,2015,81476385,Universal Pictures
490,Scooby-Doo,3447,2002,153294164,Warner Bros.
491,Sex and the City 2,3445,2010,95347692,Warner Bros.
492,We're the Millers,3445,2013,150394119,Warner Bros.
493,The Day After Tomorrow,3444,2004,186740799,Twentieth Century Fox
494,2012,3444,2009,166112167,Sony
495,Isn't It Romantic,3444,2019,48791187,Warner Bros.
496,Casino Royale,3443,2006,167445960,Sony
497,Prometheus,3442,2012,126477084,Twentieth Century Fox
498,Real Steel,3440,2011,85468508,Disney
499,The Muppets,3440,2011,88631237,Disney
500,Ghost in the Shell,3440,2017,40563557,Paramount Pictures
501,Jack and Jill,3438,2011,74158157,Sony
502,Meet the Robinsons,3435,2007,97822171,Disney
503,Yes Man,3434,2008,97690976,Warner Bros.
504,Into the Storm,3434,2014,47602194,Warner Bros.
505,Jumper,3430,2008,80172128,Twentieth Century Fox
506,Vacation,3430,2015,58884188,Warner Bros.
507,The Smurfs,3427,2011,142614158,Sony
508,10 Cloverfield Lane,3427,2016,72082998,Paramount Pictures
509,22 Jump Street,3426,2014,191719337,Sony
510,Instant Family,3426,2018,67363237,Paramount Pictures
511,Finding Nemo,3425,2003,339714978,Disney
512,Babylon A.D.,3425,2008,22532572,Twentieth Century Fox
513,Old Dogs,3425,2009,49492060,Disney
514,Flightplan,3424,2005,89707299,Disney
515,Super 8,3424,2011,127004179,Paramount Pictures
516,2 Fast 2 Furious,3418,2003,127154901,Universal Pictures
517,Zoolander 2,3418,2016,28848693,Paramount Pictures
518,Blockers,3418,2018,60311495,Universal Pictures
519,Battle Los Angeles,3417,2011,83552429,Sony
520,Pirates of the Caribbean: The Curse of the Black Pearl,3416,2003,305413918,Disney
521,Neighbors 2: Sorority Rising,3416,2016,55455765,Universal Pictures
522,Hidden Figures,3416,2017,169607287,Twentieth Century Fox
523,Paranormal Activity 4,3412,2012,53885000,Paramount Pictures
524,The Mummy,3411,1999,155385488,Universal Pictures
525,Troy,3411,2004,133378256,Warner Bros.
526,Live Free or Die Hard,3411,2007,134529403,Twentieth Century Fox
527,Cloverfield,3411,2008,80048433,Paramount Pictures
528,The Perfect Storm,3407,2000,182618434,Warner Bros.
529,The Blind Side,3407,2009,255959475,Warner Bros.
530,Ender's Game,3407,2013,61737191,Lionsgate
531,Warcraft,3406,2016,47365290,Universal Pictures
532,42,3405,2013,95020213,Warner Bros.
533,Deepwater Horizon,3403,2016,61433527,Lionsgate
534,The Accountant,3402,2016,86260045,Warner Bros.
535,Alien vs. Predator,3401,2004,80282231,Twentieth Century Fox
536,Wild Hogs,3401,2007,168273550,Disney
537,Diary of a Wimpy Kid: Dog Days,3401,2012,49008662,Twentieth Century Fox
538,After Earth,3401,2013,60522097,Sony
539,Horrible Bosses 2,3400,2014,54445357,Warner Bros.
540,The Internship,3399,2013,44672764,Twentieth Century Fox
541,The Expendables,3398,2010,103068524,Lionsgate
542,Percy Jackson & the Olympians: The Lightning Thief,3396,2010,88768303,Twentieth Century Fox
543,The BFG,3392,2016,55483770,Disney
544,The Equalizer 2,3388,2018,102084362,Sony
545,Jack Ryan: Shadow Recruit,3387,2014,50577412,Paramount Pictures
546,Tag,3382,2018,54730625,Warner Bros.
547,The Lord of the Rings: The Fellowship of the Ring,3381,2002,313364114,New Line Cinema
548,Max Payne,3381,2008,40689393,Twentieth Century Fox
549,Date Night,3380,2010,98711404,Twentieth Century Fox
550,Cats,3380,2019,27166770,Universal Pictures
551,Die Another Day,3377,2002,160942139,Metro-Goldwyn-Mayer (MGM)
552,The Hitman's Bodyguard,3377,2017,75468583,Lionsgate
553,Arthur Christmas,3376,2011,46462469,Sony
554,Magic Mike XXL,3376,2015,66013057,Warner Bros.
555,Legally Blonde 2,3375,2003,90186328,Metro-Goldwyn-Mayer (MGM)
556,Hotel Transylvania,3375,2012,148313048,Sony
557,Hansel & Gretel: Witch Hunters,3375,2013,55703475,Paramount Pictures
558,Split,3373,2017,138291365,Universal Pictures
559,RoboCop,3372,2014,58607007,Sony
560,The Curse of la Llorona,3372,2019,54733739,Warner Bros.
561,The Longest Ride,3371,2015,37446117,Twentieth Century Fox
562,Tower Heist,3370,2011,78046570,Universal Pictures
563,Agent Cody Banks,3369,2003,47938330,Metro-Goldwyn-Mayer (MGM)
564,Parental Guidance,3368,2013,77267296,Twentieth Century Fox
565,V for Vendetta,3365,2006,70511035,Warner Bros.
566,Due Date,3365,2010,100539043,Warner Bros.
567,Red Dragon,3363,2002,93149898,Universal Pictures
568,Spirit: Stallion of the Cimarron,3362,2002,73280117,DreamWorks Distribution
569,The Pirates! Band of Misfits,3358,2012,31051126,Sony
570,How to Be Single,3357,2016,46843513,Warner Bros.
571,Shutter Island,3356,2010,128012934,Paramount Pictures
572,The Conjuring 2,3356,2016,102470008,Warner Bros.
573,The Expendables 2,3355,2012,85028192,Lionsgate
574,Murder on the Orient Express,3354,2017,102826543,Twentieth Century Fox
575,The Santa Clause 2,3352,2002,139236327,Disney
576,Jack Reacher,3352,2012,80070736,Paramount Pictures
577,Lara Croft: Tomb Raider,3349,2001,131168070,Paramount Pictures
578,The Grudge,3348,2004,110359362,Sony
579,Ice Age,3345,2002,176387405,Twentieth Century Fox
580,Tooth Fairy,3345,2010,60022256,Twentieth Century Fox
581,Jackass Presents: Bad Grandpa,3345,2013,102003019,Paramount Pictures
582,Wild Wild West,3342,1999,113804681,Warner Bros.
583,The Game Plan,3342,2007,90648202,Disney
584,Mr. Popper's Penguins,3342,2011,68224452,Twentieth Century Fox
585,The Greatest Showman,3342,2018,174340174,Twentieth Century Fox
586,The Ring Two,3341,2005,76231249,DreamWorks Distribution
587,The Fault in Our Stars,3340,2014,124872350,Twentieth Century Fox
588,Public Enemies,3336,2009,97104620,Universal Pictures
589,Angel Has Fallen,3336,2019,69030436,Lionsgate
590,A Nightmare on Elm Street,3332,2010,63075011,Warner Bros.
591,Paranormal Activity 3,3329,2011,104028807,Paramount Pictures
592,The Mule,3329,2019,103804407,Warner Bros.
593,The Great Wall,3328,2017,45540830,Universal Pictures
594,Sex and the City,3325,2008,152647258,Warner Bros.
595,The Amityville Horror,3323,2005,65233369,Metro-Goldwyn-Mayer (MGM)
596,Focus,3323,2015,53862963,Warner Bros.
597,Transporter 2,3320,2005,43095856,Twentieth Century Fox
598,The Intern,3320,2015,75764672,Warner Bros.
599,Dinosaur,3319,2000,137748063,Disney
600,Sweet Home Alabama,3313,2002,127223418,Disney
601,Fury,3313,2014,85817906,Sony
602,Scooby-Doo 2: Monsters Unleashed,3312,2004,84216833,Warner Bros.
603,Barnyard,3311,2006,72637803,Paramount Pictures
604,Neighbors,3311,2014,150157400,Universal Pictures
605,Godzilla,3310,1998,136314294,Sony
606,Little Women,3308,2019,108101214,Sony
607,Battlefield Earth,3307,2000,21471685,Warner Bros.
608,Cheaper by the Dozen,3307,2004,138614544,Twentieth Century Fox
609,The SpongeBob SquarePants Movie,3307,2004,85417988,Paramount Pictures
610,Lost in Space,3306,1998,69117629,New Line Cinema
611,The Other Woman,3306,2014,83911193,Twentieth Century Fox
612,The Bourne Supremacy,3304,2004,176241941,Universal Pictures
613,Ted,3303,2012,218815487,Universal Pictures
614,Pain & Gain,3303,2013,49875291,Paramount Pictures
615,Hellboy,3303,2019,21903748,Lionsgate
616,The Campaign,3302,2012,86907746,Warner Bros.
617,Unbroken,3301,2015,115637895,Universal Pictures
618,Hannibal,3292,2001,165092268,Metro-Goldwyn-Mayer (MGM)
619,Ocean's Twelve,3290,2004,125544280,Warner Bros.
620,Prisoners,3290,2013,61002302,Warner Bros.
621,Once Upon a Time in Mexico,3289,2003,56359780,Sony
622,Pacific Rim,3285,2013,101802906,Warner Bros.
623,Lone Survivor,3285,2014,125095601,Universal Pictures
624,Elysium,3284,2013,93050117,TriStar Pictures
625,Gone Girl,3284,2014,167767189,Twentieth Century Fox
626,Stuart Little 2,3282,2002,64956806,Sony
627,Kingsman: The Secret Service,3282,2015,128261724,Twentieth Century Fox
628,Deep Impact,3280,1998,140464664,Paramount Pictures
629,300,3280,2007,210614939,Warner Bros.
630,A Dog's Journey,3279,2019,22782371,Universal Pictures
631,Arthur,3276,2011,33035397,Warner Bros.
632,Fever Pitch,3275,2005,42071069,Twentieth Century Fox
633,Hitman: Agent 47,3273,2015,22467450,Twentieth Century Fox
634,Son of God,3271,2014,59700064,Twentieth Century Fox
635,Race to Witch Mountain,3268,2009,67172594,Disney
636,Titanic,3265,1998,600788188,Paramount Pictures
637,Ladder 49,3261,2004,74541707,Disney
638,Big Momma's House 2,3261,2006,70165972,Twentieth Century Fox
639,The Mountain Between Us,3259,2017,30348555,Twentieth Century Fox
640,War Dogs,3258,2016,43034523,Warner Bros.
641,Toy Story 2,3257,1999,245852179,Disney
642,How the Grinch Stole Christmas,3256,2000,260044825,Universal Pictures
643,Pearl Harbor,3255,2001,198542554,Disney
644,What Happens in Vegas,3255,2008,80277646,Twentieth Century Fox
645,17 Again,3255,2009,64167069,Warner Bros.
646,Big Daddy,3254,1999,163479795,Sony
647,Nutty Professor II: The Klumps,3251,2000,123309890,Universal Pictures
648,I Still Believe,3250,2020,9868521,Lionsgate
649,Beowulf,3249,2007,82280579,Paramount Pictures
650,Argo,3247,2012,136025503,Warner Bros.
651,Geostorm,3246,2017,33700160,Warner Bros.
652,The Pink Panther 2,3245,2009,35922978,Sony
653,National Treasure,3243,2004,173008894,Disney
654,Walking with Dinosaurs 3D,3243,2013,36076121,Twentieth Century Fox
655,A.I. Artificial Intelligence,3242,2001,78616689,Warner Bros.
656,Poltergeist,3242,2015,47425125,Twentieth Century Fox
657,Midway,3242,2019,56846802,Lionsgate
658,The Guardian,3241,2006,55011732,Disney
659,The Girl on the Train,3241,2016,75395035,Universal Pictures
660,Runaway Bride,3240,1999,152257509,Paramount Pictures
661,Mr. Deeds,3239,2002,126293452,Sony
662,Fun with Dick and Jane,3239,2006,110332737,Sony
663,Beverly Hills Chihuahua,3239,2008,94514402,Disney
664,Paranormal Activity 2,3239,2010,84752907,Paramount Pictures
665,The Equalizer,3236,2014,101530738,Sony
666,La La Land,3236,2017,151101803,Lionsgate
667,Lady in the Water,3235,2006,42285169,Warner Bros.
668,Miss Congeniality 2: Armed & Fabulous,3233,2005,48478006,Warner Bros.
669,Vampires Suck,3233,2010,36661504,Twentieth Century Fox
670,Zathura: A Space Adventure,3232,2005,29258869,Disney
671,Now You See Me 2,3232,2016,65075540,Lionsgate
672,Hannah Montana: The Movie,3231,2009,79576189,Disney
673,The Sum of All Fears,3230,2002,118907036,Paramount Pictures
674,Identity Thief,3230,2013,134506920,Universal Pictures
675,Long Shot,3230,2019,30316271,Lionsgate
676,Bride Wars,3228,2009,58715510,Twentieth Century Fox
677,Treasure Planet,3227,2002,38176783,Disney
678,Baby Driver,3226,2017,107825862,TriStar Pictures
679,Catch Me If You Can,3225,2003,164615351,DreamWorks Distribution
680,Good Boy,3225,2003,37667746,Metro-Goldwyn-Mayer (MGM)
681,The Road to El Dorado,3223,2000,50863742,DreamWorks Distribution
682,The Wolfman,3223,2010,61979680,Universal Pictures
683,Lilo & Stitch,3222,2002,145794338,Disney
684,Lara Croft Tomb Raider: The Cradle of Life,3222,2003,65660196,Paramount Pictures
685,Contagion,3222,2011,75658097,Warner Bros.
686,White House Down,3222,2013,73103784,Sony
687,The Expendables 3,3221,2014,39322544,Lionsgate
688,Rules of Engagement,3220,2000,61335230,Paramount Pictures
689,S.W.A.T.,3220,2003,116934650,Sony
690,Kingdom of Heaven,3219,2005,47398413,Twentieth Century Fox
691,The Prince of Egypt,3218,1998,101413188,DreamWorks Distribution
692,Be Cool,3216,2005,56046979,Metro-Goldwyn-Mayer (MGM)
693,Annabelle,3215,2014,84273813,Warner Bros.
694,The Grudge 2,3214,2006,39143839,Sony
695,Marmaduke,3213,2010,33644788,Twentieth Century Fox
696,Hellboy II: The Golden Army,3212,2008,75986503,Universal Pictures
697,Trouble with the Curve,3212,2012,35763137,Warner Bros.
698,Get Hard,3212,2015,90411453,Warner Bros.
699,Happy Death Day 2U,3212,2019,28148130,Universal Pictures
700,Cheaper by the Dozen 2,3211,2006,82571173,Twentieth Century Fox
701,"Yours, Mine & Ours",3210,2005,53412862,Paramount Pictures
702,Bridge to Terabithia,3210,2007,82272442,Disney
703,Office Christmas Party,3210,2016,54767494,Paramount Pictures
704,Bandits,3207,2001,41575141,Metro-Goldwyn-Mayer (MGM)
705,Paul Blart: Mall Cop,3206,2009,146336178,Sony
706,Collateral,3205,2004,101005703,DreamWorks Distribution
707,Deck the Halls,3205,2006,35093569,Twentieth Century Fox
708,Elektra,3204,2005,24409722,Twentieth Century Fox
709,Corpse Bride,3204,2005,53359111,Warner Bros.
710,The Last Airbender,3203,2010,131772187,Paramount Pictures
711,American Reunion,3203,2012,57011521,Universal Pictures
712,Bad Boys II,3202,2003,138608444,Sony
713,Failure to Launch,3202,2006,88715192,Paramount Pictures
714,Lucy,3202,2014,126663600,Universal Pictures
715,Chappie,3201,2015,31569268,Sony
716,Sahara,3200,2005,68671925,Paramount Pictures
717,Annie,3197,2014,85911262,Sony
718,Mamma Mia!,3194,2008,144130063,Universal Pictures
719,Muppets Most Wanted,3194,2014,51183113,Disney
720,Ride Along 2,3192,2016,91221830,Universal Pictures
721,This Means War,3189,2012,54760791,Twentieth Century Fox
722,Gladiator,3188,2000,187705427,DreamWorks Distribution
723,Because of Winn-Dixie,3188,2005,32647042,Twentieth Century Fox
724,Bewitched,3188,2005,63313159,Sony
725,Dumb and Dumber To,3188,2014,86208010,Universal Pictures
726,Black Mass,3188,2015,62575678,Warner Bros.
727,Teen Titans GO! to the Movies,3188,2018,29790236,Warner Bros.
728,Starsky & Hutch,3185,2004,88237754,Warner Bros.
729,Racing Stripes,3185,2005,49772522,Warner Bros.
730,Wanted,3185,2008,134508551,Universal Pictures
731,The X Files: I Want to Believe,3185,2008,20982478,Twentieth Century Fox
732,Fist Fight,3185,2017,32187017,Warner Bros.
733,Playing with Fire,3185,2019,44451847,Paramount Pictures
734,Armageddon,3184,1998,201578182,Disney
735,Taken,3184,2009,145000989,Twentieth Century Fox
736,The Heat,3184,2013,159582188,Twentieth Century Fox
737,Bad News Bears,3183,2005,32868349,Paramount Pictures
738,Saw IV,3183,2007,63300095,Lionsgate
739,Non-Stop,3183,2014,92168600,Universal Pictures
740,I Spy,3182,2002,33561137,Sony
741,Step Brothers,3182,2008,100468793,Sony
742,The Pacifier,3181,2005,113086868,Sony
743,Jupiter Ascending,3181,2015,47387723,Warner Bros.
744,Men in Black,3180,1997,250690539,Sony
745,District 9,3180,2009,115646235,TriStar Pictures
746,My Big Fat Greek Wedding 2,3179,2016,59689605,Universal Pictures
747,A Dog's Purpose,3178,2017,64508620,Universal Pictures
748,American Wedding,3175,2003,104565114,Universal Pictures
749,He's Just Not That Into You,3175,2009,93953653,Warner Bros.
750,Ghosts of Girlfriends Past,3175,2009,55250026,Warner Bros.
751,The Lucky One,3175,2012,60457138,Warner Bros.
752,Ghost Rider: Spirit of Vengeance,3174,2012,51774002,Sony
753,Diary of a Wimpy Kid: The Long Haul,3174,2017,20738724,Twentieth Century Fox
754,The Seeker: The Dark Is Rising,3173,2007,8794452,Twentieth Century Fox
755,Zombieland,3171,2009,75590286,Sony
756,Run All Night,3171,2015,26461644,Warner Bros.
757,Trainwreck,3171,2015,110212700,Universal Pictures
758,Sky Captain and the World of Tomorrow,3170,2004,37762677,Paramount Pictures
759,We Bought a Zoo,3170,2012,75624550,Twentieth Century Fox
760,Crawl,3170,2019,39014193,Paramount Pictures
761,The Pursuit of Happyness,3169,2007,163566459,Sony
762,Diary of a Wimpy Kid: Rodrick Rules,3169,2011,52698535,Twentieth Century Fox
763,Book Club,3169,2018,68566296,Paramount Pictures
764,Mr. Magorium's Wonder Emporium,3168,2007,32061555,Twentieth Century Fox
765,The Watch,3168,2012,35353000,Twentieth Century Fox
766,Ouija: Origin of Evil,3168,2016,35144505,Universal Pictures
767,Saw III,3167,2006,80238724,Lionsgate
768,The World Is Not Enough,3163,1999,126943684,Metro-Goldwyn-Mayer (MGM)
769,Vantage Point,3163,2008,72266306,Sony
770,The Mexican,3162,2001,66845033,DreamWorks Distribution
771,Rough Night,3162,2017,22105643,Sony
772,Star Wars: Episode II - Attack of the Clones,3161,2002,302191252,Twentieth Century Fox
773,Walk the Line,3160,2005,119519402,Twentieth Century Fox
774,The Incredible Burt Wonderstone,3160,2013,22537881,Warner Bros.
775,A Million Ways to Die in the West,3160,2014,43139300,Universal Pictures
776,Allied,3160,2016,40098064,Paramount Pictures
777,The Proposal,3158,2009,163958031,Disney
778,American Pie 2,3157,2001,145103595,Universal Pictures
779,If I Stay,3157,2014,50474843,Warner Bros.
780,I Am Number Four,3156,2011,55100437,Disney
781,Final Destination 5,3155,2011,42587643,Warner Bros.
782,Miracles from Heaven,3155,2016,61705123,TriStar Pictures
783,The Rundown,3154,2003,47726342,Universal Pictures
784,American Assassin,3154,2017,36249674,Lionsgate
785,Stuart Little,3151,2000,140035367,Sony
786,Jimmy Neutron: Boy Genius,3151,2001,80936232,Paramount Pictures
787,The Forbidden Kingdom,3151,2008,52075270,Lionsgate
788,Garfield,3150,2004,75369589,Twentieth Century Fox
789,Cop Out,3150,2010,44875481,Warner Bros.
790,Life as We Know It,3150,2010,53374681,Warner Bros.
791,Insidious: The Last Key,3150,2018,67745330,Universal Pictures
792,21 Jump Street,3148,2012,138447667,Sony
793,The Visit,3148,2015,65206105,Universal Pictures
794,Guess Who,3147,2005,68915888,Sony
795,The Break-Up,3146,2006,118703275,Universal Pictures
796,Life,3146,2017,30234022,Sony
797,We Were Soldiers,3143,2002,78122718,Paramount Pictures
798,Captain Phillips,3143,2013,107100855,Sony
799,The Finest Hours,3143,2016,27569558,Disney
800,Get Out,3143,2017,176040665,Universal Pictures
801,Straight Outta Compton,3142,2015,161197785,Universal Pictures
802,Let's Be Cops,3140,2014,82390774,Twentieth Century Fox
803,Jackass 3D,3139,2010,117229692,Paramount Pictures
804,The Island,3138,2005,35818913,DreamWorks Distribution
805,"You, Me and Dupree",3137,2006,75628110,Universal Pictures
806,Sausage Party,3135,2016,97685686,Sony
807,Scary Stories to Tell in the Dark,3135,2019,68947075,Lionsgate
808,Red Eye,3134,2005,57891803,DreamWorks Distribution
809,Horrible Bosses,3134,2011,117538559,Warner Bros.
810,The House,3134,2017,25584504,Warner Bros.
811,The Hitchhiker's Guide to the Galaxy,3133,2005,51085416,Disney
812,Fame,3133,2009,22455510,Metro-Goldwyn-Mayer (MGM)
813,Tarzan,3131,1999,171091819,Disney
814,Wedding Crashers,3131,2005,209255921,New Line Cinema
815,Deuce Bigalow: European Gigolo,3127,2005,22400154,Sony
816,The Darkest Minds,3127,2018,12695691,Twentieth Century Fox
817,Star Wars: Episode I - The Phantom Menace,3126,1999,431088295,Twentieth Century Fox
818,The Flintstones in Viva Rock Vegas,3125,2000,35268275,Universal Pictures
819,Fool's Gold,3125,2008,70231041,Warner Bros.
820,Jeepers Creepers 2,3124,2003,35667218,United Artists
821,The Haunted Mansion,3122,2003,75847266,Disney
822,Eight Below,3122,2006,81612565,Disney
823,The Final Destination,3121,2009,66477700,Warner Bros.
824,Safe House,3121,2012,126373434,Universal Pictures
825,Blair Witch,3121,2016,20777061,Lionsgate
826,TMNT,3120,2007,54149098,Warner Bros.
827,Magic Mike,3120,2012,113721571,Warner Bros.
828,Patriots Day,3120,2017,31886361,Lionsgate
829,Panic Room,3119,2002,96397334,Sony
830,Cloudy with a Chance of Meatballs,3119,2009,124870275,Sony
831,Monster Trucks,3119,2017,33370166,Paramount Pictures
832,Rush Hour 2,3118,2001,226164286,New Line Cinema
833,The Bounty Hunter,3118,2010,67061228,Sony
834,Justin Bieber: Never Say Never,3118,2011,73013910,Paramount Pictures
835,Abduction,3118,2011,28087155,Lionsgate
836,Lethal Weapon 4,3117,1998,130444603,Warner Bros.
837,Catwoman,3117,2004,40202379,Warner Bros.
838,Mars Needs Moms,3117,2011,21392758,Disney
839,Riddick,3117,2013,42025135,Universal Pictures
840,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",3117,2014,66954149,Disney
841,Gods of Egypt,3117,2016,31153464,Lionsgate
842,The Conjuring,3115,2013,137400141,Warner Bros.
843,Need for Speed,3115,2014,43577636,Disney
844,Arrival,3115,2016,100546139,Paramount Pictures
845,Fright Night,3114,2011,18302607,Disney
846,The Book of Life,3113,2014,50151543,Twentieth Century Fox
847,John Wick: Chapter 2,3113,2017,92029184,Lionsgate
848,X-Men,3112,2000,157299718,Twentieth Century Fox
849,House of Wax,3111,2005,32064800,Warner Bros.
850,The Book of Eli,3111,2010,94835059,Warner Bros.
851,The Spy Who Dumped Me,3111,2018,33562069,Lionsgate
852,American Gangster,3110,2007,130164645,Universal Pictures
853,Abraham Lincoln: Vampire Hunter,3109,2012,37519139,Twentieth Century Fox
854,Deja Vu,3108,2006,64038616,Disney
855,Aliens in the Attic,3108,2009,25200412,Twentieth Century Fox
856,Eat Pray Love,3108,2010,80574010,Sony
857,Secretariat,3108,2010,59713955,Disney
858,Entourage,3108,2015,32363404,Warner Bros.
859,Quest for Camelot,3107,1998,22510798,Warner Bros.
860,The Tale of Despereaux,3107,2008,50877145,Universal Pictures
861,Friday the 13th,3105,2009,65002019,Warner Bros.
862,Shorts,3105,2009,20919166,Warner Bros.
863,Anchorman: The Legend of Ron Burgundy,3104,2004,85288303,DreamWorks Distribution
864,Knight and Day,3104,2010,76423035,Twentieth Century Fox
865,Money Monster,3104,2016,41012075,TriStar Pictures
866,Gangster Squad,3103,2013,46000903,Warner Bros.
867,In the Heart of the Sea,3103,2015,25020758,Warner Bros.
868,Mortal Engines,3103,2018,15951040,Universal Pictures
869,A Simple Favor,3102,2018,53548586,Lionsgate
870,The Man in the Iron Mask,3101,1998,56968902,Metro-Goldwyn-Mayer (MGM)
871,Mission to Mars,3101,2000,60883407,Disney
872,Master and Commander: The Far Side of the World,3101,2003,93927920,Twentieth Century Fox
873,American Made,3098,2017,51342000,Universal Pictures
874,What Women Want,3092,2001,182811707,Paramount Pictures
875,A Dog's Way Home,3090,2019,42004346,Sony
876,Gone in 60 Seconds,3089,2000,101648571,Disney
877,Gulliver's Travels,3089,2011,42779261,Twentieth Century Fox
878,"Me, Myself & Irene",3087,2000,90570999,Twentieth Century Fox
879,The Adventures of Tintin,3087,2011,77591831,Paramount Pictures
880,Sinbad: Legend of the Seven Seas,3086,2003,26483452,DreamWorks Distribution
881,King Arthur,3086,2004,51882244,Disney
882,Saw V,3084,2008,56746769,Lionsgate
883,Ben-Hur,3084,2016,26410477,Paramount Pictures
884,Nacho Libre,3083,2006,80197993,Paramount Pictures
885,Diary of a Wimpy Kid,3083,2010,64003625,Twentieth Century Fox
886,The Monuments Men,3083,2014,78031620,Sony
887,Now You See Me,3082,2013,117723989,Lionsgate
888,The Last Witch Hunter,3082,2015,27367660,Lionsgate
889,Like a Boss,3081,2020,22169514,Paramount Pictures
890,Percy Jackson: Sea of Monsters,3080,2013,68559554,Twentieth Century Fox
891,The Taking of Pelham 123,3077,2009,65452312,Sony
892,Out of Time,3076,2003,41088845,Metro-Goldwyn-Mayer (MGM)
893,Going in Style,3076,2017,45018541,Warner Bros.
894,Ocean's Eleven,3075,2001,183417150,Warner Bros.
895,27 Dresses,3074,2008,76808654,Twentieth Century Fox
896,Couples Retreat,3074,2009,109204945,Universal Pictures
897,Pineapple Express,3072,2008,87341380,Sony
898,Atlantis: The Lost Empire,3071,2001,84056472,Disney
899,Erin Brockovich,3070,2000,125595205,Universal Pictures
900,The Age of Adaline,3070,2015,42629776,Lionsgate
901,Sleepy Hollow,3069,1999,101071502,Paramount Pictures
902,Superbad,3069,2007,121463226,Sony
903,Truth or Dare,3068,2018,41411015,Universal Pictures
904,Freaky Friday,3067,2003,110230332,Disney
905,Edge of Darkness,3066,2010,43313890,Warner Bros.
906,Hidalgo,3065,2004,67303450,Disney
907,Kick-Ass,3065,2010,48071303,Lionsgate
908,Red Sparrow,3064,2018,46874505,Twentieth Century Fox
909,Jackass Number Two,3063,2006,72778712,Paramount Pictures
910,Sex Tape,3062,2014,38543473,Sony
911,The Patriot,3061,2000,113330342,Sony
912,Cast Away,3061,2001,233632142,Twentieth Century Fox
913,Drillbit Taylor,3061,2008,32862104,Paramount Pictures
914,Home on the Range,3058,2004,50030461,Disney
915,The Stepford Wives,3057,2004,59484742,Paramount Pictures
916,Project X,3055,2012,54731865,Warner Bros.
917,This Is the End,3055,2013,101470202,Sony
918,Sicario: Day of the Soldado,3055,2018,50072235,Sony
919,Mean Girls,3054,2004,86058055,Paramount Pictures
920,Dr. Dolittle 2,3053,2001,112952899,Twentieth Century Fox
921,Along Came Polly,3052,2004,88097164,Universal Pictures
922,The Ant Bully,3050,2006,28142535,Warner Bros.
923,No Strings Attached,3050,2011,70662220,Paramount Pictures
924,Stuber,3050,2019,22370452,Twentieth Century Fox
925,Bad Teacher,3049,2011,100292856,Sony
926,The Rhythm Section,3049,2020,5437971,Paramount Pictures
927,Heaven Is for Real,3048,2014,91443253,TriStar Pictures
928,Gran Torino,3045,2009,148095302,Warner Bros.
929,Doom,3044,2005,28212337,Universal Pictures
930,The Counselor,3044,2013,16973715,Twentieth Century Fox
931,Pokémon: The First Movie - Mewtwo Strikes Back,3043,1999,85744662,Warner Bros.
932,Unknown,3043,2011,63686397,Warner Bros.
933,The 15:17 to Paris,3042,2018,36276286,Warner Bros.
934,Rugrats Go Wild,3041,2003,39402572,Paramount Pictures
935,Cats & Dogs,3040,2001,93385515,Warner Bros.
936,The First Purge,3038,2018,69488745,Universal Pictures
937,Charlie's Angels,3037,2000,125305545,Sony
938,Gnomeo & Juliet,3037,2011,99967670,Disney
939,Hot Pursuit,3037,2015,34580201,Warner Bros.
940,Saw VI,3036,2009,27693292,Lionsgate
941,Delivery Man,3036,2013,30664106,Disney
942,Planet 51,3035,2009,42194060,Sony
943,Sucker Punch,3033,2011,36392502,Warner Bros.
944,Paper Towns,3031,2015,32000304,Twentieth Century Fox
945,Brother Bear,3030,2003,85336277,Disney
946,The Fast and the Furious: Tokyo Drift,3030,2006,62514415,Universal Pictures
947,Eragon,3030,2006,75030163,Twentieth Century Fox
948,Going the Distance,3030,2010,17804299,Warner Bros.
949,Red Riding Hood,3030,2011,37662162,Warner Bros.
950,That's My Boy,3030,2012,36931089,Sony
951,2 Guns,3028,2013,75612460,Universal Pictures
952,Collateral Beauty,3028,2016,31016021,Warner Bros.
953,The Hunt,3028,2020,5812500,Universal Pictures
954,Miami Vice,3026,2006,63450470,Universal Pictures
955,Runner Runner,3026,2013,19316646,Twentieth Century Fox
956,Evil Dead,3025,2013,54239856,TriStar Pictures
